root_key,root_asset_id,root_asset_name,dashboard_id,dashboard_name,dashcard_id,card_id,card_name,dashboard_tab_id,row,col
question-72394,72394,"Spot Offer, Referral Discount, & NCE Orders",,,,72394,"Spot Offer, Referral Discount, & NCE Orders",,,
question-83998,83998,Gx hourly utilization %,,,,83998,Gx hourly utilization %,,,
question-84466,84466,Gx class cancellation % - excludes no-booking classes,,,,84466,Gx class cancellation % - excludes no-booking classes,,,
question-84483,84483,Summary,,,,84483,Summary,,,
question-84486,84486,Apparel New Launch Style Id,,,,84486,Apparel New Launch Style Id,,,
question-84487,84487,Footwear New Launch Style Id,,,,84487,Footwear New Launch Style Id,,,
question-84562,84562,Financial Year Wise Cross Sell Percentage,,,,84562,Financial Year Wise Cross Sell Percentage,,,
question-84661,84661,Online Channel Percentage,,,,84661,Online Channel Percentage,,,
question-84704,84704,Total Transacting Customer,,,,84704,Total Transacting Customer,,,
question-74738,74738,How much data from wearbles v3,,,,74738,How much data from wearbles v3,,,
question-79589,79589,adhoc 20-04-2026,,,,79589,adhoc 20-04-2026,,,
dashboard-3324,3324,PR DASHBOARD,3324,PR DASHBOARD,26096,56424,PR BY PRODUCT,,0,0
dashboard-3324,3324,PR DASHBOARD,3324,PR DASHBOARD,26097,56862,PR BY CITY,,10,0
dashboard-3324,3324,PR DASHBOARD,3324,PR DASHBOARD,26098,56863,PR BY OWNERSHIP TYPE,,15,0
dashboard-3324,3324,PR DASHBOARD,3324,PR DASHBOARD,26099,56865,PR BY PRODUCT x CITY,,23,0
dashboard-3324,3324,PR DASHBOARD,3324,PR DASHBOARD,26100,56866,PR BY PRODUCT x OWNERSHIP TYPE,,28,0
dashboard-3324,3324,PR DASHBOARD,3324,PR DASHBOARD,26101,56867,PR BY PRODUCT x OWNERSHIP TYPE x CITY,,33,0
dashboard-3324,3324,PR DASHBOARD,3324,PR DASHBOARD,26102,56868,PR BY CENTER,,38,0
dashboard-3324,3324,PR DASHBOARD,3324,PR DASHBOARD,26103,56869,PR SERVICE TYPE WEEK TREND LINE,,4,0
dashboard-3324,3324,PR DASHBOARD,3324,PR DASHBOARD,26104,56872,RESPONSE FUNNEL,,18,0
dashboard-4042,4042,IPO Data,4042,IPO Data,35243,75736,Total Amount and Units,,0,0
dashboard-4042,4042,IPO Data,4042,IPO Data,35320,75865,Business Unit Level Amount and Units,,30,12
dashboard-4042,4042,IPO Data,4042,IPO Data,35321,75868,Month_Category_itemcode Level Amount and Units,,39,0
dashboard-4042,4042,IPO Data,4042,IPO Data,35322,75869,Category_itemcode Level Amount and Units,,39,12
dashboard-4042,4042,IPO Data,4042,IPO Data,35319,75864,Month_Business Unit Level Amount and Units,,30,0
dashboard-4042,4042,IPO Data,4042,IPO Data,35324,75871,Unique Sku Code,,48,12
dashboard-4042,4042,IPO Data,4042,IPO Data,35325,75872,Raw Data - 2,,108,0
dashboard-4042,4042,IPO Data,4042,IPO Data,35318,75867,Financial Year Level Amount and Units,,21,12
dashboard-4042,4042,IPO Data,4042,IPO Data,35314,75860,Month_Category Level Amount and Units,,3,12
dashboard-4042,4042,IPO Data,4042,IPO Data,35315,75859,Month_Pincode Level  Units,,12,0
dashboard-4042,4042,IPO Data,4042,IPO Data,35316,75863,Month_Skucode Level  Units,,12,12
dashboard-4042,4042,IPO Data,4042,IPO Data,35317,75866,Quarter Level Amount and Units,,21,0
dashboard-4042,4042,IPO Data,4042,IPO Data,35313,75854,Month Level Amount and Units,,3,0
dashboard-4042,4042,IPO Data,4042,IPO Data,35323,75870,Unique Pincodes,,48,0
dashboard-4042,4042,IPO Data,4042,IPO Data,35326,75876,Financial Year Wise Summary,,57,0
dashboard-4042,4042,IPO Data,4042,IPO Data,35329,75881,New Launch SKU,,90,0
dashboard-4042,4042,IPO Data,4042,IPO Data,35331,75894,New Launch Style Id,,90,12
