root_key,source_rows,normalized_source_url,asset_type,root_asset_id,root_asset_name,node_card_id,node_card_name,parent_card_id,recursion_depth,node_role,query_type,nested_card_ids,cte_names,query_file,metadata_file,evidence_status,csv_path,json_path,output_preview_html,lineage_preview_html,row_count,column_count,notes
question-75109,1,https://metabase.curefit.co/question/75109-memberships-by-each-business-line-end-of-each-month-including-all-packs?start_date=2025-09-01&end_date=2026-01-31,question,75109,Memberships by Each Business Line - End of Each Month - including all packs,75109,Memberships by Each Business Line - End of Each Month - including all packs,,0,root_question,native,,dates,queries/75109__memberships-by-each-business-line-end-of-each-month-including-all-packs.sql,metadata/75109__memberships-by-each-business-line-end-of-each-month-including-all-packs.json,query_sql|metadata_json|raw_csv|output_preview_html|lineage_preview_html,results/question-75109__75109__memberships-by-each-business-line-end-of-each-month-including-all-packs.csv,results/question-75109__75109__memberships-by-each-business-line-end-of-each-month-including-all-packs.json,previews/question-75109__75109__memberships-by-each-business-line-end-of-each-month-including-all-packs.html,previews/question-75109__75109__memberships-by-each-business-line-end-of-each-month-including-all-packs__lineage.html,94,3,
question-77280,2,https://metabase.curefit.co/question/77280-memberships-by-each-business-line-end-of-each-month-including-all-packs-city-level?start_date=2025-09-12&end_date=2026-03-12,question,77280,Memberships by Each Business Line - End of Each Month - including all packs -city level,77280,Memberships by Each Business Line - End of Each Month - including all packs -city level,,0,root_question,native,,dates,queries/77280__memberships-by-each-business-line-end-of-each-month-including-all-packs-city-level.sql,metadata/77280__memberships-by-each-business-line-end-of-each-month-including-all-packs-city-level.json,query_sql|metadata_json|raw_csv|output_preview_html|lineage_preview_html,results/question-77280__77280__memberships-by-each-business-line-end-of-each-month-including-all-packs-city-level.csv,results/question-77280__77280__memberships-by-each-business-line-end-of-each-month-including-all-packs-city-level.json,previews/question-77280__77280__memberships-by-each-business-line-end-of-each-month-including-all-packs-city-level.html,previews/question-77280__77280__memberships-by-each-business-line-end-of-each-month-including-all-packs-city-level__lineage.html,1002,4,
question-75114,3,https://metabase.curefit.co/question/75114-monthly-active-memberships-elite-pro-play-lux?Start_Date=2023-04-01&end_date=2025-12-31,question,75114,"Monthly active memberships ELITE, PRO, PLAY, LUX",75114,"Monthly active memberships ELITE, PRO, PLAY, LUX",,0,root_question,native,,activememberships|livememberships,queries/75114__monthly-active-memberships-elite-pro-play-lux.sql,metadata/75114__monthly-active-memberships-elite-pro-play-lux.json,query_sql|metadata_json|result_blocked,,,,,,,The read operation timed out
question-55566,4|21,https://metabase.curefit.co/question/55566-footfalls-grained?Start_Date=2023-01-01&End_Date=2024-11-12&grain=quarter,question,55566,#Footfalls - Grained,55566,#Footfalls - Grained,,0,root_question,native,,b,queries/55566__footfalls-grained.sql,metadata/55566__footfalls-grained.json,query_sql|metadata_json|raw_csv|output_preview_html|lineage_preview_html,results/question-55566__55566__footfalls-grained.csv,results/question-55566__55566__footfalls-grained.json,previews/question-55566__55566__footfalls-grained.html,previews/question-55566__55566__footfalls-grained__lineage.html,0,0,
question-75753,5|22,https://metabase.curefit.co/question/75753-at-home-footfalls?grain=month,question,75753,'At Home' footfalls,75753,'At Home' footfalls,,0,root_question,native,,,queries/75753__at-home-footfalls.sql,metadata/75753__at-home-footfalls.json,query_sql|metadata_json|result_blocked,,,,,,,The read operation timed out
question-47810,6,https://metabase.curefit.co/question/47810-which-of-these-below-mentioned-statements-best-describes-your-fitness-history,question,47810,Which of these below- mentioned statements best describes your fitness history.,47810,Which of these below- mentioned statements best describes your fitness history.,,0,root_question,native,,,queries/47810__which-of-these-below-mentioned-statements-best-describes-your-fitness-history.sql,metadata/47810__which-of-these-below-mentioned-statements-best-describes-your-fitness-history.json,query_sql|metadata_json|raw_csv|output_preview_html|lineage_preview_html,results/question-47810__47810__which-of-these-below-mentioned-statements-best-describes-your-fitness-history.csv,results/question-47810__47810__which-of-these-below-mentioned-statements-best-describes-your-fitness-history.json,previews/question-47810__47810__which-of-these-below-mentioned-statements-best-describes-your-fitness-history.html,previews/question-47810__47810__which-of-these-below-mentioned-statements-best-describes-your-fitness-history__lineage.html,14,2,
question-75630,7,https://metabase.curefit.co/question/75630-gender-split?ed=2023-03-31,question,75630,Gender Split,75630,Gender Split,,0,root_question,native,,b|birthday_b|gender_b,queries/75630__gender-split.sql,metadata/75630__gender-split.json,query_sql|metadata_json|result_blocked,,,,,,,The read operation timed out
question-83969,8,https://metabase.curefit.co/question/83969-12m-packs-sold-monthly-jun-2026?Start_Date=2023-04-01&End_Date=2026-03-31,question,83969,12M Packs Sold Monthly Jun 2026,83969,12M Packs Sold Monthly Jun 2026,,0,root_question,native,,original_pack_grain|period_rollup,queries/83969__12m-packs-sold-monthly-jun-2026.sql,metadata/83969__12m-packs-sold-monthly-jun-2026.json,query_sql|metadata_json|raw_csv,results/question-83969__83969__12m-packs-sold-monthly-jun-2026.csv,results/question-83969__83969__12m-packs-sold-monthly-jun-2026.json,,,,36,5,
question-75647,9,https://metabase.curefit.co/question/75647-same-center-vs-other-center?Last_date=2026-02-09,question,75647,Same center vs other center,75647,Same center vs other center,,0,root_question,native,,b,queries/75647__same-center-vs-other-center.sql,metadata/75647__same-center-vs-other-center.json,query_sql|metadata_json|raw_csv|output_preview_html|lineage_preview_html,results/question-75647__75647__same-center-vs-other-center.csv,results/question-75647__75647__same-center-vs-other-center.json,previews/question-75647__75647__same-center-vs-other-center.html,previews/question-75647__75647__same-center-vs-other-center__lineage.html,0,0,
question-75650,10,https://metabase.curefit.co/question/75650-same-city-vs-other-city-modified?Last_date=2026-02-09,question,75650,Same city vs other city - Modified,75650,Same city vs other city - Modified,,0,root_question,native,,b,queries/75650__same-city-vs-other-city-modified.sql,metadata/75650__same-city-vs-other-city-modified.json,query_sql|metadata_json|result_blocked,,,,,,,The read operation timed out
