source_row,normalized_source_url,asset_type,root_key,root_asset_id,root_asset_name,node_card_id,node_card_name,parent_card_id,recursion_depth,dependency_type,schema_name,object_name,normalized_object,derived_lineage_status,upstream_core_objects,evidence_status,notes,unresolved_reason
1,https://metabase.curefit.co/question/75109-memberships-by-each-business-line-end-of-each-month-including-all-packs?start_date=2025-09-01&end_date=2026-01-31,question,question-75109,75109,Memberships by Each Business Line - End of Each Month - including all packs,75109,Memberships by Each Business Line - End of Each Month - including all packs,,0,table,dwh_curefit,dim_date,dwh_curefit.dim_date,source_table,dwh_curefit.dim_date,query_sql|metadata_json|raw_csv|output_preview_html|lineage_preview_html,,
1,https://metabase.curefit.co/question/75109-memberships-by-each-business-line-end-of-each-month-including-all-packs?start_date=2025-09-01&end_date=2026-01-31,question,question-75109,75109,Memberships by Each Business Line - End of Each Month - including all packs,75109,Memberships by Each Business Line - End of Each Month - including all packs,,0,cte,,dates,dates,unresolved,,query_sql|metadata_json|raw_csv|output_preview_html|lineage_preview_html,,Relation not found in local dbt manifest.
1,https://metabase.curefit.co/question/75109-memberships-by-each-business-line-end-of-each-month-including-all-packs?start_date=2025-09-01&end_date=2026-01-31,question,question-75109,75109,Memberships by Each Business Line - End of Each Month - including all packs,75109,Memberships by Each Business Line - End of Each Month - including all packs,,0,table,dwh_fitness_mart,membership_dim,dwh_fitness_mart.membership_dim,source_table,dwh_fitness_mart.membership_dim,query_sql|metadata_json|raw_csv|output_preview_html|lineage_preview_html,,
2,https://metabase.curefit.co/question/77280-memberships-by-each-business-line-end-of-each-month-including-all-packs-city-level?start_date=2025-09-12&end_date=2026-03-12,question,question-77280,77280,Memberships by Each Business Line - End of Each Month - including all packs -city level,77280,Memberships by Each Business Line - End of Each Month - including all packs -city level,,0,table,dwh_curefit,dim_date,dwh_curefit.dim_date,source_table,dwh_curefit.dim_date,query_sql|metadata_json|raw_csv|output_preview_html|lineage_preview_html,,
2,https://metabase.curefit.co/question/77280-memberships-by-each-business-line-end-of-each-month-including-all-packs-city-level?start_date=2025-09-12&end_date=2026-03-12,question,question-77280,77280,Memberships by Each Business Line - End of Each Month - including all packs -city level,77280,Memberships by Each Business Line - End of Each Month - including all packs -city level,,0,cte,,dates,dates,unresolved,,query_sql|metadata_json|raw_csv|output_preview_html|lineage_preview_html,,Relation not found in local dbt manifest.
2,https://metabase.curefit.co/question/77280-memberships-by-each-business-line-end-of-each-month-including-all-packs-city-level?start_date=2025-09-12&end_date=2026-03-12,question,question-77280,77280,Memberships by Each Business Line - End of Each Month - including all packs -city level,77280,Memberships by Each Business Line - End of Each Month - including all packs -city level,,0,table,dwh_fitness_mart,membership_dim,dwh_fitness_mart.membership_dim,source_table,dwh_fitness_mart.membership_dim,query_sql|metadata_json|raw_csv|output_preview_html|lineage_preview_html,,
2,https://metabase.curefit.co/question/77280-memberships-by-each-business-line-end-of-each-month-including-all-packs-city-level?start_date=2025-09-12&end_date=2026-03-12,question,question-77280,77280,Memberships by Each Business Line - End of Each Month - including all packs -city level,77280,Memberships by Each Business Line - End of Each Month - including all packs -city level,,0,table,dwh_fitness_mart,center_dim,dwh_fitness_mart.center_dim,source_table,dwh_fitness_mart.center_dim,query_sql|metadata_json|raw_csv|output_preview_html|lineage_preview_html,,
3,https://metabase.curefit.co/question/75114-monthly-active-memberships-elite-pro-play-lux?Start_Date=2023-04-01&end_date=2025-12-31,question,question-75114,75114,"Monthly active memberships ELITE, PRO, PLAY, LUX",75114,"Monthly active memberships ELITE, PRO, PLAY, LUX",,0,table,dwh_curefit,dim_date,dwh_curefit.dim_date,source_table,dwh_curefit.dim_date,query_sql|metadata_json|result_blocked,,
3,https://metabase.curefit.co/question/75114-monthly-active-memberships-elite-pro-play-lux?Start_Date=2023-04-01&end_date=2025-12-31,question,question-75114,75114,"Monthly active memberships ELITE, PRO, PLAY, LUX",75114,"Monthly active memberships ELITE, PRO, PLAY, LUX",,0,table,dwh_fitness_mart,membership_dim,dwh_fitness_mart.membership_dim,source_table,dwh_fitness_mart.membership_dim,query_sql|metadata_json|result_blocked,,
3,https://metabase.curefit.co/question/75114-monthly-active-memberships-elite-pro-play-lux?Start_Date=2023-04-01&end_date=2025-12-31,question,question-75114,75114,"Monthly active memberships ELITE, PRO, PLAY, LUX",75114,"Monthly active memberships ELITE, PRO, PLAY, LUX",,0,cte,,liveMemberships,liveMemberships,unresolved,,query_sql|metadata_json|result_blocked,,Relation not found in local dbt manifest.
