,,,,,,,,,,,,,,,,,
,Sl. No,Metric,Definition,,Status,Timeline,PoC,,Units,FY23,FY24,FY25,FY26,9MFY25,9MFY26,Source,Data limitations
,1,# Centers,No. of fitness centers as on end of the period,Total number of fitness centers at the end of the relevant period/year.,Done,Done,Finance,,#,,605,697,708,,,Center level P&L,
,2,# Centers split by Supply type,No. of fitness centers by supply type as on end of the period,Total number of fitness centers by supply type at the end of the relevant period/year.,Done,Done,Finance,,#,"Refer to ""Business section metrics - Responses"" sheet",,,,,,Center level P&L,
,3,# Centers split by SKU,No. of fitness centers by SKU type as on end of the period,Total number of fitness centers by SKU type at the end of the relevant period/year.,Done,Done,Finance,,#,"Refer to ""Business section metrics - Responses"" sheet",,,,,,Center level P&L,
,4,# Centers split by cities,No. of fitness cities by city as on end of the period,Total number of fitness centers by city at the end of the relevant period/year.,Done,Done,Finance,,#,"Refer to ""Business section metrics - Responses"" sheet",,,,,,Center level P&L,
,5,# Centers split by Brand,No. of fitness cities by brand type as on end of the period,Total number of fitness centers by brand at the end of the relevant period/year.,Done,Done,Finance,,#,"Refer to ""Business section metrics - Responses"" sheet",,,,,,Center level P&L,
,6,# Cities,No. of cities in which Cult's fitness centers are present as on end of the period,Total number of fitness centres distributed across cities at the end of the relevant period/year,Done,Done,Finance,,#,,,,76,,,Center level P&L,
,7,# Subscribers,# members whose pack is active as on the end of period,Total number of CultPass subscribers with an active paid subscription as at the end of the relevant period/year.,Done,Done,Analytics,,#,"527,876","664,590","784,907","983,234","753,194","910,436","https://metabase.curefit.co/question/75109-memberships-by-each-business-line-end-of-each-month-including-all-packs?start_date=2025-09-01&end_date=2026-01-31;
https://docs.google.com/spreadsheets/d/1g3Qe9kRqUWMEIENNAjYpx-aJpZabPx99/edit?gid=1209808351#gid=1209808351
https://docs.google.com/spreadsheets/d/1g3Qe9kRqUWMEIENNAjYpx-aJpZabPx99/edit?gid=1209808351#gid=1209808351https://docs.google.com/spreadsheets/d/1eVGGUyReQgXWPsQ0a7QRLidKy3EsqC2azaFeI3GByqk/edit?gid=0#gid=0",
,8,# Subscribers split by type,# members by city whose pack is active as on the end of period,Split of of CultPass subscribers with an active paid subscription as at the end of the relevant period/year. by city ,Done,Done,Analytics,,#,,"Refer to ""Business section metrics - Responses"" sheet",,,,,https://metabase.curefit.co/question/77280-memberships-by-each-business-line-end-of-each-month-including-all-packs-city-level?start_date=2025-09-12&end_date=2026-03-12,
,9,# Sessions/MAU/month,# avg. fitness sessions per active user per month during a period of time,"Average number of fitness sessions that active fitness services members have completed in a month, for the relevant period/year.
Active members/month are members who have done at least one session in each month during the period",Done,Done,Analytics,,#,9.98,9.93,9.98,10.14,9.93,10.09,https://metabase.curefit.co/question/75114-monthly-active-memberships-elite-pro-play-lux?Start_Date=2023-04-01&end_date=2025-12-31,Lux not included; Analytics working oin including Athome no.s
,10,# Center footfalls,# fitness sessions during the period of time,Total number of fitness sessions conducted at the fitness centers during the relevant period/year.,Done,Done,Analytics,,#,"26,831,276","35,133,689","44,763,028","51,837,184","35,965,874","44,511,344","https://metabase.curefit.co/question/55566-footfalls-grained?Start_Date=2023-01-01&End_Date=2024-11-12&grain=quarter; 
https://metabase.curefit.co/question/75753-at-home-footfalls?grain=month",Lux not included
,11,First time user % ,% of users till that date whose first fitness membership is with Cult,Percentage of the Company’s users up to the relevant date whose first fitness membership was with the Company divided by total users up to that date.,Done,Done,Analytics,,%,,,,46%,,46%,https://metabase.curefit.co/question/47810-which-of-these-below-mentioned-statements-best-describes-your-fitness-history,Lux not included
,12,Female Ratio %,% of female users out of all users acquired till that date & have disclosed their gender,Female User Mix is computed as the number of female users acquired till the end of the relevant period/year divided by the total users acquired till the end of such period/year who have disclosed their gende,Done,Done,Analytics,,%,38%,,,34%,32%,34%,https://metabase.curefit.co/question/75630-gender-split?ed=2023-03-31,Includes LUX
,13,Pack Pricing,"Live pricing in respective cities for 3M, 6M & 9M duration","Live Pricing represents the prevailing membership fees charged across its centres in respective cities for membership durations of 3 months, 6 months and 9 months, as applicable at the end of the relevant period/year",Done,Done,NA,,INR,"Refer to ""Business section metrics - Responses"" sheet",,,,,,Cult App,
,14,% 12M packs sold,No. of packs with 12M+ duration sold / Total no. of packs sold during the period,"Total number of membership packs with a duration of 12 months or more, divided by the total membership packs sold during the relevant period/year",Done,Done,Analytics,,%,,73%,79%,85%,,,"https://metabase.curefit.co/question/83969-12m-packs-sold-monthly-jun-2026?Start_Date=2023-04-01&End_Date=2026-03-31;
https://docs.google.com/spreadsheets/d/1fma57grgBcmMQHkLDKkCtcuz7WMoC6He/edit?usp=drive_web&ouid=116981787178806296143&rtpof=true
",
,15,Cultpass data on % members using multiple centers,% of user who has used more than one centers till that date,Percentage of subscribers who has used more than one center during the relevant period/year,Done,Done,Analytics,,%,52.7%,,,64%,61.1%,63.0%,https://metabase.curefit.co/question/75647-same-center-vs-other-center?Last_date=2026-02-09,Lux not included
,16,Cultpass data on % members using multiple cities,% of user who has worked out in more than one cities till that date,Percentage of subscribers who has used fitness center in more than one city during the relevant period/year,Done,Done,Analytics,,%,5.8%,,,6%,6.1%,6.2%,https://metabase.curefit.co/question/75650-same-city-vs-other-city-modified?Last_date=2026-02-09,Lux not included
,17,Cultpass data on % members using multiple formats,% of user who has used more than one formats till that date,Percentage of subscribers who has used more than one format during the relevant period/year,Done,Done,Analytics,,%,,,,47%,,48%,https://metabase.curefit.co/question/75654-gx-formats?Last_date=2025-12-31,Lux not included
,18,% of users who have availed pause option ,"% of users who have availed pause option out of all the users, till the end of the specified period",Percentage of subscribers who has used pause option during the relevant period/year,Done,Done,Analytics,,%,8%,,,28%,35%,39%,https://metabase.curefit.co/question/75628-pauses-extensions?ed=2025-12-31,
,19,# Centers with ISO certifications,Total number of centers which has availed ISO certifications at the end of the relevant period/year,Total number of centers which has availed ISO certifications at the end of the relevant period/year,Done,Done,Email,,#,,,,46%,,,Suchet's email,
,21,Session rating out of 4,Average session rating received from the users out of 4 during the relevant period/year,Average session rating received from the users out of 4 during the relevant period/year,Done,Done,Analytics,,Rating out of 4,3.81,3.78,3.77,3.78,3.78,3.78,https://metabase.curefit.co/question/56424-pr-by-product?report_start_date=2025-04-01&report_end_date=2026-03-31&city_name=&center_service_id=&service_type=&ownership_type=&business_line=&center_name=,
,23,# Avg. Monthly users of app,No. app visits during the time period,"Average no. of unique customers per month who have visited the app and have done any activity in the fitness services (booked session/purchased pack) and the fitness products segments (purchased product).",Done,Done,Analytics,,#,,368719,461126,545155,,,https://metabase.curefit.co/question/84472-monthly-hometab-openers-any-activity-or-purchase,
,24,# Followers on social media,No of followers on each social media platforms as on today,Total number of social media followers on each platform as on the date of DRHP,Done,Done,NA,,#,"Refer to ""Business section metrics - Responses"" sheet",,,,,,Respective social media pages,
