Service Type,period,Product Rating (PR)
GX,Q-2023-04-01,3.87
GYM,Q-2023-04-01,3.62
PLAY,Q-2023-04-01,3.69
GX+GYM,Q-2023-04-01,3.8
GX+GYM+PLAY,Q-2023-04-01,3.79
GX,Q-2023-07-01,3.87
GYM,Q-2023-07-01,3.65
PLAY,Q-2023-07-01,3.68
GX+GYM,Q-2023-07-01,3.78
GX+GYM+PLAY,Q-2023-07-01,3.77
GX,Q-2023-10-01,3.88
GYM,Q-2023-10-01,3.66
PLAY,Q-2023-10-01,3.72
GX+GYM,Q-2023-10-01,3.79
GX+GYM+PLAY,Q-2023-10-01,3.78
GX,Q-2024-01-01,3.87
GYM,Q-2024-01-01,3.65
PLAY,Q-2024-01-01,3.7
GX+GYM,Q-2024-01-01,3.78
GX+GYM+PLAY,Q-2024-01-01,3.77
GX,Q-2024-04-01,3.88
GYM,Q-2024-04-01,3.62
PLAY,Q-2024-04-01,3.67
GX+GYM,Q-2024-04-01,3.8
GX+GYM+PLAY,Q-2024-04-01,3.78
GX,Q-2024-07-01,3.88
GYM,Q-2024-07-01,3.63
PLAY,Q-2024-07-01,3.68
GX+GYM,Q-2024-07-01,3.8
GX+GYM+PLAY,Q-2024-07-01,3.78
GX,Q-2024-10-01,3.87
GYM,Q-2024-10-01,3.62
PLAY,Q-2024-10-01,3.65
GX+GYM,Q-2024-10-01,3.79
GX+GYM+PLAY,Q-2024-10-01,3.78
GX,Q-2025-01-01,3.85
GYM,Q-2025-01-01,3.57
PLAY,Q-2025-01-01,3.65
GX+GYM,Q-2025-01-01,3.77
GX+GYM+PLAY,Q-2025-01-01,3.76
GX,Q-2025-04-01,3.85
GYM,Q-2025-04-01,3.55
PLAY,Q-2025-04-01,3.62
GX+GYM,Q-2025-04-01,3.77
GX+GYM+PLAY,Q-2025-04-01,3.76
GX,Q-2025-07-01,3.86
GYM,Q-2025-07-01,3.56
PLAY,Q-2025-07-01,3.64
GX+GYM,Q-2025-07-01,3.79
GX+GYM+PLAY,Q-2025-07-01,3.78
GX,Q-2025-10-01,3.86
GYM,Q-2025-10-01,3.59
PLAY,Q-2025-10-01,3.66
GX+GYM,Q-2025-10-01,3.8
GX+GYM+PLAY,Q-2025-10-01,3.8
GX,Q-2026-01-01,3.86
GYM,Q-2026-01-01,3.59
PLAY,Q-2026-01-01,3.66
GX+GYM,Q-2026-01-01,3.79
GX+GYM+PLAY,Q-2026-01-01,3.79
GX,M-2023-04-01,3.87
GYM,M-2023-04-01,3.62
PLAY,M-2023-04-01,3.7
GX+GYM,M-2023-04-01,3.81
GX+GYM+PLAY,M-2023-04-01,3.8
GX,M-2023-05-01,3.88
GYM,M-2023-05-01,3.62
PLAY,M-2023-05-01,3.71
GX+GYM,M-2023-05-01,3.81
GX+GYM+PLAY,M-2023-05-01,3.8
GX,M-2023-06-01,3.87
GYM,M-2023-06-01,3.62
PLAY,M-2023-06-01,3.68
GX+GYM,M-2023-06-01,3.78
GX+GYM+PLAY,M-2023-06-01,3.77
GX,M-2023-07-01,3.87
GYM,M-2023-07-01,3.67
PLAY,M-2023-07-01,3.67
GX+GYM,M-2023-07-01,3.8
GX+GYM+PLAY,M-2023-07-01,3.78
GX,M-2023-08-01,3.87
GYM,M-2023-08-01,3.63
PLAY,M-2023-08-01,3.69
GX+GYM,M-2023-08-01,3.77
GX+GYM+PLAY,M-2023-08-01,3.76
GX,M-2023-09-01,3.88
GYM,M-2023-09-01,3.64
PLAY,M-2023-09-01,3.69
GX+GYM,M-2023-09-01,3.77
GX+GYM+PLAY,M-2023-09-01,3.76
GX,M-2023-10-01,3.88
GYM,M-2023-10-01,3.65
PLAY,M-2023-10-01,3.71
GX+GYM,M-2023-10-01,3.78
GX+GYM+PLAY,M-2023-10-01,3.78
GX,M-2023-11-01,3.88
GYM,M-2023-11-01,3.66
PLAY,M-2023-11-01,3.73
GX+GYM,M-2023-11-01,3.79
GX+GYM+PLAY,M-2023-11-01,3.78
GX,M-2023-12-01,3.88
GYM,M-2023-12-01,3.67
PLAY,M-2023-12-01,3.73
GX+GYM,M-2023-12-01,3.8
