City,period,Product Rating (PR)
1. Bangalore,Q-2023-04-01,3.78
2. Hyderabad,Q-2023-04-01,3.79
3. NCR,Q-2023-04-01,3.78
4. Mumbai,Q-2023-04-01,3.85
5. Pune,Q-2023-04-01,3.76
6. Chennai,Q-2023-04-01,3.9
7. Others,Q-2023-04-01,3.82
1. Bangalore,Q-2023-07-01,3.76
2. Hyderabad,Q-2023-07-01,3.77
3. NCR,Q-2023-07-01,3.75
4. Mumbai,Q-2023-07-01,3.84
5. Pune,Q-2023-07-01,3.75
6. Chennai,Q-2023-07-01,3.91
7. Others,Q-2023-07-01,3.79
1. Bangalore,Q-2023-10-01,3.78
2. Hyderabad,Q-2023-10-01,3.77
3. NCR,Q-2023-10-01,3.78
4. Mumbai,Q-2023-10-01,3.85
5. Pune,Q-2023-10-01,3.75
6. Chennai,Q-2023-10-01,3.92
7. Others,Q-2023-10-01,3.8
1. Bangalore,Q-2024-01-01,3.75
2. Hyderabad,Q-2024-01-01,3.77
3. NCR,Q-2024-01-01,3.79
4. Mumbai,Q-2024-01-01,3.85
5. Pune,Q-2024-01-01,3.75
6. Chennai,Q-2024-01-01,3.92
7. Others,Q-2024-01-01,3.8
1. Bangalore,Q-2024-04-01,3.76
2. Hyderabad,Q-2024-04-01,3.79
3. NCR,Q-2024-04-01,3.75
4. Mumbai,Q-2024-04-01,3.85
5. Pune,Q-2024-04-01,3.77
6. Chennai,Q-2024-04-01,3.92
7. Others,Q-2024-04-01,3.83
1. Bangalore,Q-2024-07-01,3.77
2. Hyderabad,Q-2024-07-01,3.79
3. NCR,Q-2024-07-01,3.76
4. Mumbai,Q-2024-07-01,3.86
5. Pune,Q-2024-07-01,3.77
6. Chennai,Q-2024-07-01,3.91
7. Others,Q-2024-07-01,3.83
1. Bangalore,Q-2024-10-01,3.76
2. Hyderabad,Q-2024-10-01,3.76
3. NCR,Q-2024-10-01,3.78
4. Mumbai,Q-2024-10-01,3.85
5. Pune,Q-2024-10-01,3.77
6. Chennai,Q-2024-10-01,3.9
7. Others,Q-2024-10-01,3.81
1. Bangalore,Q-2025-01-01,3.74
2. Hyderabad,Q-2025-01-01,3.74
3. NCR,Q-2025-01-01,3.77
4. Mumbai,Q-2025-01-01,3.85
5. Pune,Q-2025-01-01,3.75
6. Chennai,Q-2025-01-01,3.87
7. Others,Q-2025-01-01,3.81
1. Bangalore,Q-2025-04-01,3.74
2. Hyderabad,Q-2025-04-01,3.73
3. NCR,Q-2025-04-01,3.76
4. Mumbai,Q-2025-04-01,3.84
5. Pune,Q-2025-04-01,3.76
6. Chennai,Q-2025-04-01,3.87
7. Others,Q-2025-04-01,3.82
1. Bangalore,Q-2025-07-01,3.77
2. Hyderabad,Q-2025-07-01,3.76
3. NCR,Q-2025-07-01,3.78
4. Mumbai,Q-2025-07-01,3.85
5. Pune,Q-2025-07-01,3.76
6. Chennai,Q-2025-07-01,3.87
7. Others,Q-2025-07-01,3.84
1. Bangalore,Q-2025-10-01,3.78
2. Hyderabad,Q-2025-10-01,3.78
3. NCR,Q-2025-10-01,3.82
4. Mumbai,Q-2025-10-01,3.86
5. Pune,Q-2025-10-01,3.8
6. Chennai,Q-2025-10-01,3.87
7. Others,Q-2025-10-01,3.85
1. Bangalore,Q-2026-01-01,3.77
2. Hyderabad,Q-2026-01-01,3.77
3. NCR,Q-2026-01-01,3.81
4. Mumbai,Q-2026-01-01,3.86
5. Pune,Q-2026-01-01,3.8
6. Chennai,Q-2026-01-01,3.87
7. Others,Q-2026-01-01,3.84
1. Bangalore,Q-2026-04-01,3.83
2. Hyderabad,Q-2026-04-01,3.85
3. NCR,Q-2026-04-01,3.87
4. Mumbai,Q-2026-04-01,3.89
5. Pune,Q-2026-04-01,3.88
6. Chennai,Q-2026-04-01,3.9
7. Others,Q-2026-04-01,3.9
1. Bangalore,M-2023-04-01,3.78
2. Hyderabad,M-2023-04-01,3.8
3. NCR,M-2023-04-01,3.8
4. Mumbai,M-2023-04-01,3.86
5. Pune,M-2023-04-01,3.76
6. Chennai,M-2023-04-01,3.9
7. Others,M-2023-04-01,3.83
1. Bangalore,M-2023-05-01,3.79
2. Hyderabad,M-2023-05-01,3.79
3. NCR,M-2023-05-01,3.8
4. Mumbai,M-2023-05-01,3.86
5. Pune,M-2023-05-01,3.77
6. Chennai,M-2023-05-01,3.9
7. Others,M-2023-05-01,3.82
1. Bangalore,M-2023-06-01,3.77
2. Hyderabad,M-2023-06-01,3.77
3. NCR,M-2023-06-01,3.75
4. Mumbai,M-2023-06-01,3.83
5. Pune,M-2023-06-01,3.76
6. Chennai,M-2023-06-01,3.9
7. Others,M-2023-06-01,3.8
1. Bangalore,M-2023-07-01,3.78
2. Hyderabad,M-2023-07-01,3.79
3. NCR,M-2023-07-01,3.75
4. Mumbai,M-2023-07-01,3.85
5. Pune,M-2023-07-01,3.77
6. Chennai,M-2023-07-01,3.91
7. Others,M-2023-07-01,3.8
1. Bangalore,M-2023-08-01,3.75
2. Hyderabad,M-2023-08-01,3.76
3. NCR,M-2023-08-01,3.74
4. Mumbai,M-2023-08-01,3.83
5. Pune,M-2023-08-01,3.75
6. Chennai,M-2023-08-01,3.91
