Ownership Type,period,Product Rating (PR)
COCO,Q-2023-04-01,3.83
FOFO,Q-2023-04-01,3.79
MARKETPLACE,Q-2023-04-01,3.64
COCO,Q-2023-07-01,3.81
FOFO,Q-2023-07-01,3.76
MARKETPLACE,Q-2023-07-01,3.65
COCO,Q-2023-10-01,3.83
FOFO,Q-2023-10-01,3.77
MARKETPLACE,Q-2023-10-01,3.67
COCO,Q-2024-01-01,3.81
FOFO,Q-2024-01-01,3.76
MARKETPLACE,Q-2024-01-01,3.65
COCO,Q-2024-04-01,3.81
FOFO,Q-2024-04-01,3.78
MARKETPLACE,Q-2024-04-01,3.62
COCO,Q-2024-07-01,3.81
FOFO,Q-2024-07-01,3.78
MARKETPLACE,Q-2024-07-01,3.61
COCO,Q-2024-10-01,3.81
FOFO,Q-2024-10-01,3.78
MARKETPLACE,Q-2024-10-01,3.59
COCO,Q-2025-01-01,3.79
FOFO,Q-2025-01-01,3.75
MARKETPLACE,Q-2025-01-01,3.52
COCO,Q-2025-04-01,3.79
FOFO,Q-2025-04-01,3.75
MARKETPLACE,Q-2025-04-01,3.48
COCO,Q-2025-07-01,3.8
FOFO,Q-2025-07-01,3.78
MARKETPLACE,Q-2025-07-01,3.49
COCO,Q-2025-10-01,3.82
FOFO,Q-2025-10-01,3.79
MARKETPLACE,Q-2025-10-01,3.51
COCO,Q-2026-01-01,3.82
FOFO,Q-2026-01-01,3.78
MARKETPLACE,Q-2026-01-01,3.51
COCO,M-2023-04-01,3.84
FOFO,M-2023-04-01,3.8
MARKETPLACE,M-2023-04-01,3.64
COCO,M-2023-05-01,3.84
FOFO,M-2023-05-01,3.8
MARKETPLACE,M-2023-05-01,3.64
COCO,M-2023-06-01,3.82
FOFO,M-2023-06-01,3.77
MARKETPLACE,M-2023-06-01,3.64
COCO,M-2023-07-01,3.82
FOFO,M-2023-07-01,3.77
MARKETPLACE,M-2023-07-01,3.68
COCO,M-2023-08-01,3.81
FOFO,M-2023-08-01,3.75
MARKETPLACE,M-2023-08-01,3.64
COCO,M-2023-09-01,3.81
FOFO,M-2023-09-01,3.76
MARKETPLACE,M-2023-09-01,3.65
COCO,M-2023-10-01,3.82
FOFO,M-2023-10-01,3.77
MARKETPLACE,M-2023-10-01,3.66
COCO,M-2023-11-01,3.83
FOFO,M-2023-11-01,3.78
MARKETPLACE,M-2023-11-01,3.66
COCO,M-2023-12-01,3.83
FOFO,M-2023-12-01,3.78
MARKETPLACE,M-2023-12-01,3.68
COCO,M-2024-01-01,3.8
FOFO,M-2024-01-01,3.75
MARKETPLACE,M-2024-01-01,3.67
COCO,M-2024-02-01,3.81
FOFO,M-2024-02-01,3.76
MARKETPLACE,M-2024-02-01,3.65
COCO,M-2024-03-01,3.82
FOFO,M-2024-03-01,3.77
MARKETPLACE,M-2024-03-01,3.65
COCO,M-2024-04-01,3.8
FOFO,M-2024-04-01,3.78
MARKETPLACE,M-2024-04-01,3.63
COCO,M-2024-05-01,3.8
FOFO,M-2024-05-01,3.77
MARKETPLACE,M-2024-05-01,3.62
COCO,M-2024-06-01,3.81
FOFO,M-2024-06-01,3.78
MARKETPLACE,M-2024-06-01,3.62
COCO,M-2024-07-01,3.81
FOFO,M-2024-07-01,3.78
MARKETPLACE,M-2024-07-01,3.63
COCO,M-2024-08-01,3.81
FOFO,M-2024-08-01,3.78
MARKETPLACE,M-2024-08-01,3.6
COCO,M-2024-09-01,3.82
FOFO,M-2024-09-01,3.78
MARKETPLACE,M-2024-09-01,3.6
COCO,M-2024-10-01,3.82
FOFO,M-2024-10-01,3.79
MARKETPLACE,M-2024-10-01,3.61
COCO,M-2024-11-01,3.81
FOFO,M-2024-11-01,3.78
MARKETPLACE,M-2024-11-01,3.59
COCO,M-2024-12-01,3.8
FOFO,M-2024-12-01,3.77
MARKETPLACE,M-2024-12-01,3.56
COCO,M-2025-01-01,3.79
FOFO,M-2025-01-01,3.75
MARKETPLACE,M-2025-01-01,3.54
COCO,M-2025-02-01,3.79
FOFO,M-2025-02-01,3.75
MARKETPLACE,M-2025-02-01,3.52
COCO,M-2025-03-01,3.8
FOFO,M-2025-03-01,3.75
MARKETPLACE,M-2025-03-01,3.51
COCO,M-2025-04-01,3.79
FOFO,M-2025-04-01,3.75
MARKETPLACE,M-2025-04-01,3.5
COCO,M-2025-05-01,3.79
FOFO,M-2025-05-01,3.75
MARKETPLACE,M-2025-05-01,3.48
COCO,M-2025-06-01,3.79
FOFO,M-2025-06-01,3.76
MARKETPLACE,M-2025-06-01,3.47
COCO,M-2025-07-01,3.79
FOFO,M-2025-07-01,3.77
MARKETPLACE,M-2025-07-01,3.47
COCO,M-2025-08-01,3.81
FOFO,M-2025-08-01,3.79
MARKETPLACE,M-2025-08-01,3.5
COCO,M-2025-09-01,3.81
FOFO,M-2025-09-01,3.78
MARKETPLACE,M-2025-09-01,3.5
COCO,M-2025-10-01,3.82
FOFO,M-2025-10-01,3.79
MARKETPLACE,M-2025-10-01,3.49
COCO,M-2025-11-01,3.82
FOFO,M-2025-11-01,3.79
MARKETPLACE,M-2025-11-01,3.51
COCO,M-2025-12-01,3.83
FOFO,M-2025-12-01,3.81
MARKETPLACE,M-2025-12-01,3.53
COCO,M-2026-01-01,3.82
FOFO,M-2026-01-01,3.79
MARKETPLACE,M-2026-01-01,3.52
COCO,M-2026-02-01,3.82
FOFO,M-2026-02-01,3.78
MARKETPLACE,M-2026-02-01,3.51
COCO,M-2026-03-01,3.81
FOFO,M-2026-03-01,3.78
MARKETPLACE,M-2026-03-01,3.5
