Product X City,period,Product Rating (PR)
GX - 1. Bangalore,Q-2023-04-01,3.86
GX - 2. Hyderabad,Q-2023-04-01,3.88
GX - 3. NCR,Q-2023-04-01,3.88
GX - 4. Mumbai,Q-2023-04-01,3.89
GX - 5. Pune,Q-2023-04-01,3.87
GX - 6. Chennai,Q-2023-04-01,3.9
GX - 7. Others,Q-2023-04-01,3.89
GYM - 1. Bangalore,Q-2023-04-01,3.59
GYM - 2. Hyderabad,Q-2023-04-01,3.64
GYM - 3. NCR,Q-2023-04-01,3.65
GYM - 4. Mumbai,Q-2023-04-01,3.68
GYM - 5. Pune,Q-2023-04-01,3.62
GYM - 6. Chennai,Q-2023-04-01,3.67
GYM - 7. Others,Q-2023-04-01,3.63
SPORTS - 1. Bangalore,Q-2023-04-01,3.73
SPORTS - 2. Hyderabad,Q-2023-04-01,3.67
SPORTS - 3. NCR,Q-2023-04-01,3.67
GX - 1. Bangalore,Q-2023-07-01,3.86
GX - 2. Hyderabad,Q-2023-07-01,3.88
GX - 3. NCR,Q-2023-07-01,3.88
GX - 4. Mumbai,Q-2023-07-01,3.9
GX - 5. Pune,Q-2023-07-01,3.89
GX - 6. Chennai,Q-2023-07-01,3.91
GX - 7. Others,Q-2023-07-01,3.89
GYM - 1. Bangalore,Q-2023-07-01,3.63
GYM - 2. Hyderabad,Q-2023-07-01,3.67
GYM - 3. NCR,Q-2023-07-01,3.65
GYM - 4. Mumbai,Q-2023-07-01,3.71
GYM - 5. Pune,Q-2023-07-01,3.63
GYM - 7. Others,Q-2023-07-01,3.62
SPORTS - 1. Bangalore,Q-2023-07-01,3.71
SPORTS - 2. Hyderabad,Q-2023-07-01,3.73
SPORTS - 3. NCR,Q-2023-07-01,3.63
GX - 1. Bangalore,Q-2023-10-01,3.87
GX - 2. Hyderabad,Q-2023-10-01,3.89
GX - 3. NCR,Q-2023-10-01,3.89
GX - 4. Mumbai,Q-2023-10-01,3.9
GX - 5. Pune,Q-2023-10-01,3.88
GX - 6. Chennai,Q-2023-10-01,3.92
GX - 7. Others,Q-2023-10-01,3.89
GYM - 1. Bangalore,Q-2023-10-01,3.64
GYM - 2. Hyderabad,Q-2023-10-01,3.66
GYM - 3. NCR,Q-2023-10-01,3.67
GYM - 4. Mumbai,Q-2023-10-01,3.73
GYM - 5. Pune,Q-2023-10-01,3.64
GYM - 6. Chennai,Q-2023-10-01,
