Product X Ownership,period,Product Rating (PR)
GX - COCO,Q-2023-04-01,3.87
GX - FOFO,Q-2023-04-01,3.87
GYM - COCO,Q-2023-04-01,3.58
GYM - FOFO,Q-2023-04-01,3.63
GYM - MARKETPLACE,Q-2023-04-01,3.64
SPORTS - COCO,Q-2023-04-01,3.69
SPORTS - FOFO,Q-2023-04-01,3.76
SPORTS - MARKETPLACE,Q-2023-04-01,3.77
GX - COCO,Q-2023-07-01,3.88
GX - FOFO,Q-2023-07-01,3.86
GYM - COCO,Q-2023-07-01,3.63
GYM - FOFO,Q-2023-07-01,3.65
GYM - MARKETPLACE,Q-2023-07-01,3.65
SPORTS - COCO,Q-2023-07-01,3.68
SPORTS - FOFO,Q-2023-07-01,3.81
SPORTS - MARKETPLACE,Q-2023-07-01,3.85
GX - COCO,Q-2023-10-01,3.88
GX - FOFO,Q-2023-10-01,3.88
GYM - COCO,Q-2023-10-01,3.64
GYM - FOFO,Q-2023-10-01,3.66
GYM - MARKETPLACE,Q-2023-10-01,3.66
SPORTS - COCO,Q-2023-10-01,3.72
SPORTS - FOFO,Q-2023-10-01,3.73
SPORTS - MARKETPLACE,Q-2023-10-01,3.82
GX - COCO,Q-2024-01-01,3.88
GX - FOFO,Q-2024-01-01,3.87
GYM - COCO,Q-2024-01-01,3.63
GYM - FOFO,Q-2024-01-01,3.65
GYM - MARKETPLACE,Q-2024-01-01,3.65
SPORTS - COCO,Q-2024-01-01,3.7
SPORTS - MARKETPLACE,Q-2024-01-01,3.73
GX - COCO,Q-2024-04-01,3.88
GX - FOFO,Q-2024-04-01,3.88
GYM - COCO,Q-2024-04-01,3.63
GYM - FOFO,Q-2024-04-01,3.63
GYM - MARKETPLACE,Q-2024-04-01,3.62
SPORTS - COCO,Q-2024-04-01,3.67
SPORTS - MARKETPLACE,Q-2024-04-01,3.67
GX - COCO,Q-2024-07-01,3.88
GX - FOFO,Q-2024-07-01,3.89
GYM - COCO,Q-2024-07-01,3.65
GYM - FOFO,Q-2024-07-01,3.62
GYM - MARKETPLACE,Q-2024-07-01,3.61
SPORTS - COCO,Q-2024-07-01,3.68
SPORTS - MARKETPLACE,Q-2024-07-01,3.63
GX - COCO,Q-2024-10-01,3.87
GX - FOFO,Q-2024-10-01,3.87
GYM - COCO,Q-2024-10-01,3.66
GYM - FOFO,Q-2024-10-01,3.64
GYM - MARKETPLACE,Q-2024-10-01,3.59
SPORTS - COCO,Q-2024-10-01,3.65
SPORTS - MARKETPLACE,Q-2024-10-01,3.66
GX - COCO,Q-2025-01-01,3.85
GX - FOFO,Q-2025-01-01,3.85
GYM - COCO,Q-2025-01-01,3.61
GYM - FOFO,Q-2025-01-01,3.57
GYM - MARKETPLACE,Q-2025-01-01,3.52
SPORTS - COCO,Q-2025-01-01,3.65
SPORTS - MARKETPLACE,Q-2025-01-01,3.63
GX - COCO,Q-2025-04-01,3.85
GX - FOFO,Q-2025-04-01,3.84
GYM - COCO,Q-2025-04-01,3.6
GYM - FOFO,Q-2025-04-01,3.57
GYM - MARKETPLACE,Q-2025-04-01,3.48
SPORTS - COCO,Q-2025-04-01,3.62
SPORTS - MARKETPLACE,Q-2025-04-01,3.57
GX - COCO,Q-2025-07-01,3.86
GX - FOFO,Q-2025-07-01,3.86
GYM - COCO,Q-2025-07-01,3.6
GYM - FOFO,Q-2025-07-01,3.59
GYM - MARKETPLACE,Q-2025-07-01,3.48
SPORTS - COCO,Q-2025-07-01,3.64
SPORTS - MARKETPLACE,Q-2025-07-01,3.6
GX - COCO,Q-2025-10-01,3.86
GX - FOFO,Q-2025-10-01,3.86
GYM - COCO,Q-2025-10-01,3.63
GYM - FOFO,Q-2025-10-01,3.62
GYM - MARKETPLACE,Q-2025-10-01,3.51
SPORTS - COCO,Q-2025-10-01,3.66
SPORTS - MARKETPLACE,Q-2025-10-01,3.61
GX - COCO,Q-2026-01-01,3.86
GX - FOFO,Q-2026-01-01,3.86
GYM - COCO,Q-2026-01-01,3.62
GYM - FOFO,Q-2026-01-01,3.6
GYM - MARKETPLACE,Q-2026-01-01,3.51
SPORTS - COCO,Q-2026-01-01,3.67
SPORTS - MARKETPLACE,Q-2026-01-01,3.55
GX - COCO,M-2023-04-01,3.88
GX - FOFO,M-2023-04-01,3.87
GYM - COCO,M-2023-04-01,3.57
GYM - FOFO,M-2023-04-01,3.63
GYM - MARKETPLACE,M-2023-04-01,3.64
SPORTS - COCO,M-2023-04-01,3.7
SPORTS - FOFO,M-2023-04-01,3.86
SPORTS - MARKETPLACE,M-2023-04-01,3.7
GX - COCO,M-2023-05-01,3.88
GX - FOFO,M-2023-05-01,3.87
GYM - COCO,M-2023-05-01,3.58
GYM - FOFO,M-2023-05-01,3.63
GYM - MARKETPLACE,M-2023-05-01,3.63
SPORTS - COCO,M-2023-05-01,3.71
SPORTS - FOFO,M-2023-05-01,3.78
SPORTS - MARKETPLACE,M-2023-05-01,3.75
GX - COCO,M-2023-06-01,3.87
GX - FOFO,M-2023-06-01,3.87
GYM - COCO,M-2023-06-01,3.58
GYM - FOFO,M-2023-06-01,3.64
GYM - MARKETPLACE,M-2023-06-01,3.63
SPORTS - COCO,M-2023-06-01,3.67
SPORTS - FOFO,M-2023-06-01,3.68
SPORTS - MARKETPLACE,M-2023-06-01,3.85
GX - COCO,M-2023-07-01,3.87
GX - FOFO,M-2023-07-01,3.86
GYM - COCO,M-2023-07-01,3.64
GYM - FOFO,M-2023-07-01,3.66
GYM - MARKETPLACE,M-2023-07-01,3.68
SPORTS - COCO,M-2023-07-01,3.67
SPORTS - FOFO,M-2023-07-01,3.67
SPORTS - MARKETPLACE,M-2023-07-01,3.91
GX - COCO,M-2023-08-01,3.88
GX - FOFO,M-2023-08-01,3.86
GYM - COCO,M-2023-08-01,3.61
GYM - FOFO,M-2023-08-01,3.64
GYM - MARKETPLACE,M-2023-08-01,3.64
SPORTS - COCO,M-2023-08-01,3.68
SPORTS - FOFO,M-2023-08-01,3.77
SPORTS - MARKETPLACE,M-2023-08-01,3.82
GX - COCO,M-2023-09-01,3.88
GX - FOFO,M-2023-09-01,3.87
GYM - COCO,M-2023-09-01,3.63
GYM - FOFO,M-2023-09-01,3.64
GYM - MARKETPLACE,M-2023-09-01,3.65
SPORTS - COCO,M-2023-09-01,3.68
SPORTS - FOFO,M-2023-09-01,3.85
SPORTS - MARKETPLACE,M-2023-09-01,3.8
GX - COCO,M-2023-10-01,3.88
GX - FOFO,M-2023-10-01,3.87
GYM - COCO,M-2023-10-01,3.63
GYM - FOFO,M-2023-10-01,3.65
GYM - MARKETPLACE,M-2023-10-01,3.66
SPORTS - COCO,M-2023-10-01,3.71
SPORTS - FOFO,M-2023-10-01,3.73
SPORTS - MARKETPLACE,M-2023-10-01,3.81
GX - COCO,M-2023-11-01,3.88
GX - FOFO,M-2023-11-01,3.88
GYM - COCO,M-2023-11-01,3.65
GYM - FOFO,M-2023-11-01,3.66
GYM - MARKETPLACE,M-2023-11-01,3.66
SPORTS - COCO,M-2023-11-01,3.73
SPORTS - MARKETPLACE,M-2023-11-01,3.8
GX - COCO,M-2023-12-01,3.88
GX - FOFO,M-2023-12-01,3.88
GYM - COCO,M-2023-12-01,3.65
GYM - FOFO,M-2023-12-01,3.67
GYM - MARKETPLACE,M-2023-12-01,3.67
SPORTS - COCO,M-2023-12-01,3.73
