Product X Ownership X City,period,Product Rating (PR)
GX - COCO - 1. Bangalore,Q-2023-04-01,3.86
GX - COCO - 2. Hyderabad,Q-2023-04-01,3.88
GX - COCO - 3. NCR,Q-2023-04-01,3.89
GX - COCO - 4. Mumbai,Q-2023-04-01,3.89
GX - COCO - 5. Pune,Q-2023-04-01,3.87
GX - COCO - 6. Chennai,Q-2023-04-01,3.91
GX - COCO - 7. Others,Q-2023-04-01,3.9
GX - FOFO - 1. Bangalore,Q-2023-04-01,3.85
GX - FOFO - 2. Hyderabad,Q-2023-04-01,3.87
GX - FOFO - 3. NCR,Q-2023-04-01,3.85
GX - FOFO - 4. Mumbai,Q-2023-04-01,3.86
GX - FOFO - 6. Chennai,Q-2023-04-01,3.89
GX - FOFO - 7. Others,Q-2023-04-01,3.88
GYM - COCO - 1. Bangalore,Q-2023-04-01,3.57
GYM - COCO - 2. Hyderabad,Q-2023-04-01,3.59
GYM - COCO - 3. NCR,Q-2023-04-01,3.62
GYM - COCO - 4. Mumbai,Q-2023-04-01,3.62
GYM - COCO - 5. Pune,Q-2023-04-01,3.47
GYM - FOFO - 1. Bangalore,Q-2023-04-01,3.61
GYM - FOFO - 2. Hyderabad,Q-2023-04-01,3.65
GYM - FOFO - 3. NCR,Q-2023-04-01,3.63
GYM - FOFO - 4. Mumbai,Q-2023-04-01,3.72
GYM - FOFO - 7. Others,Q-2023-04-01,3.65
GYM - MARKETPLACE - 1. Bangalore,Q-2023-04-01,3.59
GYM - MARKETPLACE - 2. Hyderabad,Q-2023-04-01,3.65
GYM - MARKETPLACE - 3. NCR,Q-2023-04-01,3.67
GYM - MARKETPLACE - 4. Mumbai,Q-2023-04-01,3.68
GYM - MARKETPLACE - 5. Pune,Q-2023-04-01,3.66
GYM - MARKETPLACE - 6. Chennai,Q-2023-04-01,3.67
GYM - MARKETPLACE - 7. Others,Q-2023-04-01,3.6
SPORTS - COCO - 1. Bangalore,Q-2023-04-01,3.73
SPORTS - COCO - 2. Hyderabad,Q-2023-04-01,3.67
SPORTS - COCO - 3. NCR,Q-2023-04-01,3.67
SPORTS - FOFO - 3. NCR,Q-2023-04-01,3.76
SPORTS - MARKETPLACE - 1. Bangalore,Q-2023-04-01,3.84
SPORTS - MARKETPLACE - 2. Hyderabad,Q-2023-04-01,3.65
SPORTS - MARKETPLACE - 3. NCR,Q-2023-04-01,3.65
GX - COCO - 1. Bangalore,Q-2023-07-01,3.86
