Center,period,Product Rating (PR)
10 - Fuerza Koramangala,Q-2023-04-01,3.57
100 - Play On Fitness,Q-2023-04-01,3.48
1000 - Sai Sports Academy,Q-2023-04-01,3.75
1001 - Fitso Bellandur Game Theory,Q-2023-04-01,3.74
"1002 - Fitso Sector 21, Noida",Q-2023-04-01,3.7
1004 - Fitso Next Level Badminton Academy,Q-2023-04-01,3.73
1005 - Fitso BBPS Sector-14 Rohini,Q-2023-04-01,3.65
1007 - Fitso Olympus Sports Arena,Q-2023-04-01,3.71
1008 - Fitness Zone (Hafeezpet),Q-2023-04-01,3.71
101 - Play On Fitness,Q-2023-04-01,3.52
1012 - Fitness Freaks,Q-2023-04-01,3.75
1013 - GymX Prime (Whitefield),Q-2023-04-01,3.65
1014 - Cult Gym Marathahalli,Q-2023-04-01,3.52
1015 - Gold's Gym Sinhagad Road,Q-2023-04-01,3.64
1016 - Cloud 9 Fitness,Q-2023-04-01,3.5
1017 - F7 Fitness by Prasad Konda,Q-2023-04-01,3.76
1019 - Cult Gym Gachibowli,Q-2023-04-01,3.68
1020 - Gold's Gym Aundh,Q-2023-04-01,3.65
1021 - Gold's Gym Lower Parel,Q-2023-04-01,3.85
1023 - Cult Harlur 1st Main,Q-2023-04-01,3.81
1025 - Cult Kalyan Nagar 5th Block,Q-2023-04-01,3.88
1026 - Cult Gym Kalyan Nagar 5th Block,Q-2023-04-01,3.66
1027 - Cult Gym Janakpuri,Q-2023-04-01,3.69
103 - Mani's Core Fit,Q-2023-04-01,3.81
1030 - Cult Gym Siripuram,Q-2023-04-01,3.76
1032 - Cult Gym Panchkula Sector 9,Q-2023-04-01,3.7
1033 - Fitmax (Madhapur),Q-2023-04-01,3.65
1034 - Stark Fitness Studio (Bachupally),Q-2023-04-01,3.76
1035 - Glint Fitness Center,Q-2023-04-01,3.49
1036 - Stark Fitness Studio (Sainikpuri),Q-2023-04-01,3.66
1037 - Stark Fitness Studio,Q-2023-04-01,3.74
1038 - Cult Gym Uttarahalli,Q-2023-04-01,3.69
1039 - Cult Gym C Scheme,Q-2023-04-01,3.67
104 - Fitt Lounge,Q-2023-04-01,3.6
1040 - Muscle Junkie (Model Town),Q-2023-04-01,3.63
1041 - Fitso Hennur Agon Sports,Q-2023-04-01,3.67
1042 - Fitso Sector 116 Spuddy,Q-2023-04-01,3.6
1046 - Fitso Whitefield AH Sportstreet,Q-2023-04-01,3.7
1047 - Moments Fitness Hub 1.0,Q-2023-04-01,3.68
1048 - Gold's Gym (Vasai),Q-2023-04-01,3.63
1049 - Gympoint The Fitness Studio,Q-2023-04-01,3.63
105 - The Fitness Lab,Q-2023-04-01,3.53
1050 - Cult Gym Miyapur X Roads,Q-2023-04-01,3.68
1051 - Supergym Prime (Varthur),Q-2023-04-01,3.65
1052 - Cult Uttarahalli,Q-2023-04-01,3.86
1053 - Cult Miyapur X Roads,Q-2023-04-01,3.88
"1054 - Black Vigor (Sector 49, Noida)",Q-2023-04-01,3.63
1055 - Cult Gym Fraser Road,Q-2023-04-01,3.71
1056 - Cult Gym Mahanagar,Q-2023-04-01,3.56
1057 - Cult Mahanagar,Q-2023-04-01,3.83
1058 - Move Max,Q-2023-04-01,3.58
1059 - G8 Fitness,Q-2023-04-01,3.75
106 - F7 Fitness Exclusive,Q-2023-04-01,3.61
1060 - Cult Fraser Road,Q-2023-04-01,3.92
1061 - Iron Sanctuary,Q-2023-04-01,3.72
"1062 - Cult Gym Universal Trade Tower, Sohna Rd",Q-2023-04-01,3.65
"1063 - Cult Universal Trade Tower, Sohna Rd",Q-2023-04-01,3.72
1064 - Cult Gym OIC Lower Parel,Q-2023-04-01,3.72
1065 - Cult OIC Lower Parel,Q-2023-04-01,3.86
1066 - Muscle Factory,Q-2023-04-01,3.68
1067 - Muscle Factory,Q-2023-04-01,3.6
1068 - Cult Gym Eros Sector 49,Q-2023-04-01,3.67
1069 - Cult Gym Himayatnagar Main(Hyderguda),Q-2023-04-01,3.47
107 - True Fit,Q-2023-04-01,3.51
1070 - Cult Gym Madhapur,Q-2023-04-01,3.53
1071 - Cult Gym Indiranagar 6th Main,Q-2023-04-01,3.57
1072 - Cult Gym AECS-Brookfield,Q-2023-04-01,3.54
1073 - Cult Himayatnagar Main,Q-2023-04-01,3.83
1074 - Cult Indiranagar 6th Main,Q-2023-04-01,3.83
1075 - Cult Kota,Q-2023-04-01,3.86
1076 - Cult Gym Mahadevpura,Q-2023-04-01,3.67
1077 - Cult Neo Gym Hoodi,Q-2023-04-01,3.59
1078 - Cult Gym Kundalahalli,Q-2023-04-01,3.5
1079 - GymPoint The Fitness Studio (Malakpet),Q-2023-04-01,3.71
108 - The Fitness Box by Umesh Chhabra,Q-2023-04-01,3.87
1080 - Gold's Gym (Ulubari),Q-2023-04-01,3.81
1081 - Pran Fitness,Q-2023-04-01,3.71
