week,GX Product Rating,GYM Product Rating,PLAY Product Rating
2023-03,3.88,3.64,3.69
2023-04,3.88,3.62,3.7
2023-04,3.88,3.63,3.71
2023-04,3.87,3.61,3.68
2023-04,3.88,3.63,3.7
2023-05,3.87,3.61,3.7
2023-05,3.88,3.63,3.73
2023-05,3.87,3.62,3.72
2023-05,3.88,3.63,3.7
2023-05,3.87,3.64,3.72
2023-06,3.87,3.62,3.66
2023-06,3.87,3.62,3.7
2023-06,3.87,3.62,3.67
2023-06,3.87,3.64,3.66
2023-07,3.87,3.72,3.68
2023-07,3.86,3.63,3.68
2023-07,3.87,3.63,3.68
2023-07,3.87,3.61,3.66
2023-07,3.87,3.7,3.65
2023-08,3.87,3.64,3.68
2023-08,3.87,3.63,3.7
2023-08,3.87,3.63,3.68
2023-08,3.88,3.64,3.69
2023-09,3.88,3.64,3.7
2023-09,3.88,3.64,3.66
2023-09,3.88,3.64,3.7
2023-09,3.88,3.64,3.69
2023-10,3.88,3.66,3.71
2023-10,3.88,3.65,3.71
2023-10,3.88,3.66,3.72
2023-10,3.88,3.65,3.71
2023-10,3.88,3.64,3.7
2023-11,3.88,3.66,3.74
2023-11,3.88,3.65,3.72
2023-11,3.88,3.66,3.73
2023-11,3.88,3.66,3.74
2023-12,3.89,3.68,3.74
2023-12,3.88,3.66,3.73
2023-12,3.88,3.67,3.72
2023-12,3.88,3.66,3.74
2024-01,3.86,3.66,3.71
2024-01,3.88,3.66,3.71
2024-01,3.87,3.65,3.72
2024-01,3.87,3.64,3.7
2024-01,3.87,3.65,3.71
2024-02,3.87,3.63,3.69
2024-02,3.87,3.63,3.71
2024-02,3.88,3.65,3.71
2024-02,3.88,3.64,3.71
2024-03,3.88,3.66,3.7
2024-03,3.88,3.65,3.69
2024-03,3.88,3.65,3.7
2024-03,3.88,3.64,3.71
2024-04,3.87,3.62,3.67
2024-04,3.88,3.61,3.65
2024-04,3.88,3.64,3.67
2024-04,3.88,3.63,3.67
2024-04,3.87,3.62,3.65
2024-05,3.88,3.61,3.67
2024-05,3.88,3.62,3.65
2024-05,3.88,3.62,3.66
2024-05,3.88,3.62,3.67
2024-06,3.88,3.64,3.68
2024-06,3.88,3.63,3.66
2024-06,3.88,3.63,3.68
2024-06,3.88,3.64,3.67
2024-07,3.88,3.63,3.67
2024-07,3.88,3.63,3.68
2024-07,3.88,3.63,3.67
2024-07,3.88,3.64,3.68
2024-07,3.88,3.62,3.66
2024-08,3.88,3.63,3.69
2024-08,3.88,3.62,3.67
2024-08,3.88,3.62,3.68
2024-08,3.88,3.62,3.68
2024-09,3.88,3.62,3.68
2024-09,3.88,3.64,3.64
2024-09,3.88,3.62,3.68
2024-09,3.89,3.64,3.67
2024-09,3.88,3.62,3.67
2024-10,3.9,3.65,3.66
2024-10,3.88,3.65,3.63
2024-10,3.88,3.65,3.62
2024-10,3.89,3.66,3.7
2024-11,3.86,3.6,3.63
2024-11,3.88,3.64,3.66
2024-11,3.87,3.6,3.65
2024-11,3.89,3.65,3.68
2024-12,3.86,3.59,3.65
2024-12,3.86,3.61,3.64
2024-12,3.85,3.61,3.63
2024-12,3.85,3.6,3.63
2024-12,3.86,3.61,3.65
2025-01,3.85,3.57,3.64
2025-01,3.85,3.57,3.65
2025-01,3.85,3.56,3.64
2025-01,3.85,3.58,3.66
2025-02,3.85,3.57,3.65
2025-02,3.85,3.57,3.64
2025-02,3.84,3.56,3.65
2025-02,3.85,3.56,3.65
2025-03,3.85,3.57,3.64
2025-03,3.85,3.56,3.64
2025-03,3.85,3.56,3.66
2025-03,3.85,3.56,3.62
2025-03,3.84,3.56,3.63
2025-04,3.85,3.55,3.62
2025-04,3.85,3.55,3.6
2025-04,3.84,3.56,3.62
2025-04,3.85,3.56,3.61
2025-05,3.85,3.54,3.61
2025-05,3.85,3.56,3.64
2025-05,3.85,3.55,3.62
2025-05,3.84,3.54,3.61
2025-06,3.85,3.54,3.62
2025-06,3.85,3.54,3.6
2025-06,3.85,3.54,3.62
2025-06,3.85,3.57,3.62
2025-06,3.85,3.55,3.63
2025-07,3.86,3.58,3.62
2025-07,3.85,3.56,3.63
2025-07,3.85,3.54,3.63
2025-07,3.86,3.58,3.63
2025-08,3.87,3.59,3.65
2025-08,3.86,3.57,3.65
2025-08,3.87,3.57,3.62
2025-08,3.86,3.59,3.66
2025-09,3.86,3.56,3.66
2025-09,3.87,3.58,3.65
2025-09,3.86,3.55,3.65
2025-09,3.86,3.55,3.62
2025-09,3.86,3.58,3.68
2025-10,3.86,3.59,3.67
2025-10,3.86,3.55,3.61
2025-10,3.86,3.59,3.66
2025-10,3.86,3.53,3.56
2025-11,3.85,3.58,3.65
2025-11,3.85,3.58,3.64
2025-11,3.86,3.59,3.66
2025-11,3.85,3.6,3.67
2025-12,3.86,3.59,3.69
2025-12,3.87,3.62,3.68
2025-12,3.86,3.61,3.67
2025-12,3.86,3.61,3.69
2025-12,3.86,3.61,3.65
2026-01,3.86,3.59,3.69
2026-01,3.86,3.58,3.66
2026-01,3.86,3.59,3.65
2026-01,3.86,3.59,3.67
2026-02,3.86,3.58,3.65
2026-02,3.86,3.59,3.67
2026-02,3.87,3.59,3.68
2026-02,3.86,3.58,3.67
2026-03,3.86,3.59,3.66
2026-03,3.87,3.58,3.65
2026-03,3.86,3.58,3.66
2026-03,3.86,3.57,3.66
2026-03,3.87,3.6,3.66
2026-04,4,,
