Month,Total Footfalls,Total Ratings (AGBT),BT Responses,BT %,Verbatim Count,Response Rate (%)
M-2023-04-01 00:00:00.000 UTC,2655433,967996,27965,2.89%,25717,36.45%
M-2023-05-01 00:00:00.000 UTC,2783478,1009023,29587,2.93%,26307,36.25%
M-2023-06-01 00:00:00.000 UTC,2814202,755965,27972,3.70%,24952,26.86%
M-2023-07-01 00:00:00.000 UTC,2997483,796996,29658,3.72%,27966,26.59%
M-2023-08-01 00:00:00.000 UTC,3097333,860305,33947,3.95%,28250,27.78%
M-2023-09-01 00:00:00.000 UTC,2893463,828788,31517,3.80%,26231,28.64%
M-2023-10-01 00:00:00.000 UTC,2991501,801759,27972,3.49%,24313,26.80%
M-2023-11-01 00:00:00.000 UTC,2633335,628451,20445,3.25%,19748,23.87%
M-2023-12-01 00:00:00.000 UTC,2799002,624670,19238,3.08%,20364,22.32%
M-2024-01-01 00:00:00.000 UTC,3208466,570475,21712,3.81%,20110,17.78%
M-2024-02-01 00:00:00.000 UTC,3312454,757522,27430,3.62%,27017,22.87%
M-2024-03-01 00:00:00.000 UTC,3356963,779834,27106,3.48%,25927,23.23%
M-2024-04-01 00:00:00.000 UTC,3537814,738405,27378,3.71%,27504,20.87%
M-2024-05-01 00:00:00.000 UTC,3820810,777764,29956,3.85%,29434,20.36%
M-2024-06-01 00:00:00.000 UTC,3692827,739196,26736,3.62%,27478,20.02%
M-2024-07-01 00:00:00.000 UTC,4097243,782520,28558,3.65%,30227,19.10%
M-2024-08-01 00:00:00.000 UTC,3916267,724056,26627,3.68%,28399,18.49%
M-2024-09-01 00:00:00.000 UTC,4003393,701710,24797,3.53%,27919,17.53%
M-2024-10-01 00:00:00.000 UTC,3766354,661006,22909,3.47%,26053,17.55%
M-2024-11-01 00:00:00.000 UTC,3757393,647836,24946,3.85%,24564,17.24%
M-2024-12-01 00:00:00.000 UTC,3691999,794275,32682,4.11%,22275,21.51%
M-2025-01-01 00:00:00.000 UTC,4320703,918836,39246,4.27%,27248,21.27%
M-2025-02-01 00:00:00.000 UTC,4023262,915059,38669,4.23%,26609,22.74%
M-2025-03-01 00:00:00.000 UTC,4429984,1057578,45093,4.26%,28916,23.87%
M-2025-04-01 00:00:00.000 UTC,4603898,1053109,47391,4.50%,29982,22.87%
M-2025-05-01 00:00:00.000 UTC,4707515,1101066,50229,4.56%,32259,23.39%
M-2025-06-01 00:00:00.000 UTC,4819056,1128768,50405,4.47%,31865,23.42%
M-2025-07-01 00:00:00.000 UTC,5482918,999743,43945,4.40%,29599,18.23%
M-2025-08-01 00:00:00.000 UTC,4710499,596523,24226,4.06%,20677,12.66%
M-2025-09-01 00:00:00.000 UTC,4907695,621598,24561,3.95%,20664,12.67%
M-2025-10-01 00:00:00.000 UTC,4357223,506097,19158,3.79%,18316,11.62%
M-2025-11-01 00:00:00.000 UTC,4862829,866009,30938,3.57%,26722,17.81%
M-2025-12-01 00:00:00.000 UTC,4766080,825804,25766,3.12%,24831,17.33%
M-2026-01-01 00:00:00.000 UTC,5138490,941940,32732,3.47%,27332,18.33%
M-2026-02-01 00:00:00.000 UTC,5027329,912052,32390,3.55%,26182,18.14%
M-2026-03-01 00:00:00.000 UTC,5109866,993592,39389,3.96%,27660,19.44%
