majority_service,category,total_gmv
OTHERS,Indoor Equipment,194497903.12000012
GYM,Indoor Equipment,67728472.07999998
GX,Indoor Equipment,43562524.08000001
HYBRID_GYM,Indoor Equipment,32202756.48000004
HYBRID_GX,Indoor Equipment,22719404.240000013
PLAY,Indoor Equipment,9766340.2
OTHERS,Indoor_Equipment-Strength,4479232.859999999
GYM,Indoor_Equipment-Strength,1832762.3500000003
GX,Indoor_Equipment-Strength,1182389.88
HYBRID_GYM,Indoor_Equipment-Strength,1020304.7400000001
HYBRID_GX,Indoor_Equipment-Strength,680625.2899999999
PLAY,Indoor_Equipment-Strength,322256.08
