new_vs_repeat,order_date,sort_key,total_gmv
NEW,April - 2025,2025-04-01T00:00:00Z,5335608
REPEAT,April - 2025,2025-04-01T00:00:00Z,2827268
NEW,May - 2025,2025-05-01T00:00:00Z,8255556
REPEAT,May - 2025,2025-05-01T00:00:00Z,4677614
NEW,June - 2025,2025-06-01T00:00:00Z,7869207
REPEAT,June - 2025,2025-06-01T00:00:00Z,5284073
REPEAT,July - 2025,2025-07-01T00:00:00Z,4325980
NEW,July - 2025,2025-07-01T00:00:00Z,7273146
NEW,August - 2025,2025-08-01T00:00:00Z,9454540
REPEAT,August - 2025,2025-08-01T00:00:00Z,5593051
NEW,September - 2025,2025-09-01T00:00:00Z,9889935
REPEAT,September - 2025,2025-09-01T00:00:00Z,5706467
NEW,October - 2025,2025-10-01T00:00:00Z,9274001
REPEAT,October - 2025,2025-10-01T00:00:00Z,5718302
NEW,November - 2025,2025-11-01T00:00:00Z,9929804
REPEAT,November - 2025,2025-11-01T00:00:00Z,4992266
REPEAT,December - 2025,2025-12-01T00:00:00Z,6418403
NEW,December - 2025,2025-12-01T00:00:00Z,9705143
REPEAT,January - 2026,2026-01-01T00:00:00Z,6347475
NEW,January - 2026,2026-01-01T00:00:00Z,9774902
NEW,February - 2026,2026-02-01T00:00:00Z,8842524
REPEAT,February - 2026,2026-02-01T00:00:00Z,5423416
REPEAT,March - 2026,2026-03-01T00:00:00Z,7376913
NEW,March - 2026,2026-03-01T00:00:00Z,11753029
NEW,April - 2026,2026-04-01T00:00:00Z,8805283
REPEAT,April - 2026,2026-04-01T00:00:00Z,5946377
