source,cohort,category,total_gmv
CULTSPORT_APP,Active Complimentary,Indoor Equipment,155282
CULTSPORT_APP,Active Elite,Indoor Equipment,90346
CULTSPORT_APP,Expired Elite,Indoor Equipment,263178
CULTSPORT_APP,Active Athome,Indoor Equipment,35999
CULTSPORT_APP,Expired B2B,Indoor Equipment,77170
CULTSPORT_APP,Expired Pro,Indoor Equipment,131496
CULTSPORT_APP,Expired Complimentary,Indoor Equipment,1224059
CULTSPORT_APP,Active Play,Indoor Equipment,11299
CULTSPORT_APP,Expired Play,Indoor Equipment,54498
CULTSPORT_APP,Active B2B,Indoor Equipment,178344
CULTSPORT_WEBSITE,Expired B2B,Indoor_Equipment-Strength,17518
CULTSPORT_WEBSITE,Expired Athome,Indoor_Equipment-Strength,13121
CULTSPORT_WEBSITE,Active Pro,Indoor_Equipment-Strength,13123
CULTSPORT_WEBSITE,Active Lux,Indoor_Equipment-Strength,4499
CULTSPORT_WEBSITE,Expired Pro,Indoor_Equipment-Strength,17151
CULTSPORT_WEBSITE,Active Complimentary,Indoor_Equipment-Strength,27218
CULTSPORT_WEBSITE,Active Athome,Indoor_Equipment-Strength,36521
CULTSPORT_WEBSITE,Expired Elite,Indoor_Equipment-Strength,102668
CULTSPORT_WEBSITE,Expired Complimentary,Indoor_Equipment-Strength,214080
CULTSPORT_WEBSITE,Expired Play,Indoor_Equipment-Strength,9997
CULTSPORT_WEBSITE,Active B2B,Indoor_Equipment-Strength,42557
CULTSPORT_WEBSITE,Active Elite,Indoor_Equipment-Strength,82122
CULTSPORT_WEBSITE,Active Play,Indoor_Equipment-Strength,10998
CULTSPORT_WEBSITE,Expired Elite,Indoor Equipment,13556531
CULTSPORT_WEBSITE,Expired Play,Indoor Equipment,1160825
CULTSPORT_WEBSITE,Expired B2B,Indoor Equipment,3827432
CULTSPORT_WEBSITE,Expired Complimentary,Indoor Equipment,45701192
CULTSPORT_WEBSITE,Active B2B,Indoor Equipment,7153694
CULTSPORT_WEBSITE,Expired Pro,Indoor Equipment,2837930
CULTSPORT_WEBSITE,Active Elite,Indoor Equipment,12389736
CULTSPORT_WEBSITE,Active Lux,Indoor Equipment,159944
CULTSPORT_WEBSITE,Active Play,Indoor Equipment,1770903
