cohort,total_gmv,percentage
Expired Complimentary,104489978,0.27497726542281004
Active Elite,85860082,0.22595057448799763
Expired Elite,53358189,0.1404181451654001
Active B2B,40349326,0.10618384210142613
Active Athome,17712061,0.04661130370591141
Active Complimentary,15522552,0.040849361661683674
Expired B2B,14107792,0.03712625975779032
Expired Pro,12517082,0.032940125410238656
Active Pro,11632155,0.03061133932743547
Expired Athome,9834509,0.02588062935180266
Active Play,7897566,0.020783343472195584
Expired Play,3921740,0.010320505004788602
Active Lux,1819662,0.004788647584496586
Expired Lux,605325,0.0015929816081697566
MP Pro,137926,0.0003629679614891535
MP Elite,110031,0.000289559095243921
MP Complimentary,89497,0.00023552153799424888
MP B2B,19499,0.00005131383699285852
MP Play,9999,0.000026313506133216695
