cohort,majority_service,category,total_gmv
Active Athome,OTHERS,Indoor Equipment,16980161
Active Athome,OTHERS,Indoor_Equipment-Strength,731900
Active B2B,GX,Indoor Equipment,3782987
Active B2B,GX,Indoor_Equipment-Strength,74862
Active B2B,GYM,Indoor Equipment,10358276
Active B2B,GYM,Indoor_Equipment-Strength,215200
Active B2B,HYBRID_GX,Indoor Equipment,2313578
Active B2B,HYBRID_GX,Indoor_Equipment-Strength,58113
Active B2B,HYBRID_GYM,Indoor Equipment,7906722
Active B2B,HYBRID_GYM,Indoor_Equipment-Strength,163930
Active B2B,OTHERS,Indoor Equipment,14659820
Active B2B,OTHERS,Indoor_Equipment-Strength,332870
Active B2B,PLAY,Indoor Equipment,450434
Active B2B,PLAY,Indoor_Equipment-Strength,32533
Active Complimentary,GX,Indoor Equipment,132703
Active Complimentary,GYM,Indoor Equipment,214140
Active Complimentary,HYBRID_GX,Indoor Equipment,16998
Active Complimentary,HYBRID_GX,Indoor_Equipment-Strength,1399
Active Complimentary,HYBRID_GYM,Indoor Equipment,100832
Active Complimentary,OTHERS,Indoor Equipment,14859269
Active Complimentary,OTHERS,Indoor_Equipment-Strength,178834
Active Complimentary,PLAY,Indoor Equipment,18377
Active Elite,GX,Indoor Equipment,19940440
Active Elite,GX,Indoor_Equipment-Strength,453702
Active Elite,GYM,Indoor Equipment,23413342
Active Elite,GYM,Indoor_Equipment-Strength,602413
Active Elite,HYBRID_GX,Indoor Equipment,13938174
Active Elite,HYBRID_GX,Indoor_Equipment-Strength,410844
Active Elite,HYBRID_GYM,Indoor Equipment,17229995
Active Elite,HYBRID_GYM,Indoor_Equipment-Strength,577275
Active Elite,OTHERS,Indoor Equipment,9065366
Active Elite,OTHERS,Indoor_Equipment-Strength,228531
Active Lux,GYM,Indoor Equipment,608393
Active Lux,GYM,Indoor_Equipment-Strength,19846
Active Lux,HYBRID_GX,Indoor Equipment,49595
Active Lux,HYBRID_GYM,Indoor Equipment,21962
Active Lux,OTHERS,Indoor Equipment,1072299
Active Lux,OTHERS,Indoor_Equipment-Strength,47567
Active Play,OTHERS,Indoor Equipment,1341726
Active Play,OTHERS,Indoor_Equipment-Strength,13098
Active Play,PLAY,Indoor Equipment,6314200
Active Play,PLAY,Indoor_Equipment-Strength,228543
Active Pro,GX,Indoor Equipment,8999
Active Pro,GYM,Indoor Equipment,10179568
Active Pro,GYM,Indoor_Equipment-Strength,284581
Active Pro,HYBRID_GYM,Indoor Equipment,177909
Active Pro,OTHERS,Indoor Equipment,977270
Active Pro,OTHERS,Indoor_Equipment-Strength,3828
Expired Athome,OTHERS,Indoor Equipment,9554440
Expired Athome,OTHERS,Indoor_Equipment-Strength,280069
Expired B2B,GX,Indoor Equipment,1271525
Expired B2B,GX,Indoor_Equipment-Strength,65606
Expired B2B,GYM,Indoor Equipment,1760789
Expired B2B,GYM,Indoor_Equipment-Strength,102981
Expired B2B,HYBRID_GX,Indoor Equipment,378140
Expired B2B,HYBRID_GX,Indoor_Equipment-Strength,17097
Expired B2B,HYBRID_GYM,Indoor Equipment,502234
Expired B2B,HYBRID_GYM,Indoor_Equipment-Strength,28640
Expired B2B,OTHERS,Indoor Equipment,9604480
