cohort,majority_service,total_gmv
Active Athome,OTHERS,38951341.6515
Active B2B,OTHERS,41481230.99820004
Active B2B,GYM,30314747.792800013
Active B2B,HYBRID_GYM,23757759.0928
Active B2B,GX,17399334.249300003
Active B2B,HYBRID_GX,13698996.7356
Active B2B,PLAY,1286504.8800000001
Active Complimentary,OTHERS,47147683.840499975
Active Complimentary,GYM,814852.4414999998
Active Complimentary,GX,632539.57
Active Complimentary,HYBRID_GYM,533903.7309000001
Active Complimentary,HYBRID_GX,406600.7
Active Complimentary,PLAY,48046
Active Elite,GX,131373929.60849999
Active Elite,HYBRID_GX,97062258.36389999
Active Elite,GYM,82986079.46299998
Active Elite,HYBRID_GYM,76586429.8883
Active Elite,OTHERS,23912342.50820001
Active Elite,PLAY,36622.48
Active Lux,OTHERS,2700776.540000001
Active Lux,GYM,1652264.4408
Active Lux,HYBRID_GX,159883.1015
Active Lux,HYBRID_GYM,85054.12
Active Lux,GX,28535
Active Play,PLAY,17921946.62140001
Active Play,OTHERS,2538121.3
Active Play,GX,8081.8
Active Play,HYBRID_GYM,6503
Active Play,GYM,6423
Active Play,HYBRID_GX,6078.959999999999
Active Pro,GYM,40436705.74500001
Active Pro,OTHERS,2747149.8068000004
Active Pro,HYBRID_GYM,705521.043
Active Pro,GX,30036.7574
Active Pro,HYBRID_GX,16335.05
Expired Athome,OTHERS,17798179.809999984
Expired B2B,OTHERS,17519250.7993
Expired B2B,GYM,3660206.2658999986
Expired B2B,GX,2289084.7600000007
Expired B2B,HYBRID_GYM,1106052.8630000006
Expired B2B,HYBRID_GX,842155.46
Expired B2B,PLAY,228377.35
Expired Complimentary,OTHERS,208171316.64489996
Expired Complimentary,GX,632079.2
Expired Complimentary,GYM,590961.65
Expired Complimentary,HYBRID_GYM,286067.3
Expired Complimentary,HYBRID_GX,146487.63999999998
Expired Complimentary,PLAY,1018
Expired Elite,GX,33041617.7415
Expired Elite,OTHERS,19450388.514399987
Expired Elite,GYM,17514673.446
Expired Elite,HYBRID_GX,11275222.03
Expired Elite,HYBRID_GYM,9945911.141500004
Expired Lux,OTHERS,734350.44
Expired Lux,GYM,106729
Expired Lux,HYBRID_GX,24009.489999999998
Expired Lux,HYBRID_GYM,8999
Expired Play,PLAY,5376597.3799
Expired Play,OTHERS,1660176.7999999998
Expired Play,GYM,10984
Expired Play,HYBRID_GX,1699
Expired Pro,GYM,18905703.1838
Expired Pro,OTHERS,2888204.590000001
Expired Pro,HYBRID_GYM,67015.94
Expired Pro,HYBRID_GX,60532
Expired Pro,GX,48612.4
MP Athome,OTHERS,12358
MP B2B,OTHERS,74219.42
MP B2B,HYBRID_GYM,16730.4
MP B2B,HYBRID_GX,15816.6
MP B2B,GYM,6884
MP B2B,GX,2888.15
MP Complimentary,OTHERS,177274.75
MP Complimentary,HYBRID_GYM,3994
MP Complimentary,GX,1529
MP Complimentary,HYBRID_GX,1480
MP Elite,HYBRID_GYM,1578766.3200000003
MP Elite,OTHERS,1262425.3399999996
MP Elite,GYM,1048551.1629999997
MP Elite,HYBRID_GX,907084.8399999999
MP Elite,GX,634836.1799999999
MP Elite,PLAY,3738.2
MP Lux,GYM,6012
MP Lux,OTHERS,5095
MP Play,PLAY,81632.1
MP Play,OTHERS,18695.300000000003
MP Pro,GYM,720253.1215
MP Pro,OTHERS,332653.9
MP Pro,HYBRID_GYM,28094.15
MP Pro,GX,0
