order_date,sort_key,is_fs_member,gmv,percentage,total_gmv
April - 2025,2025-04-01T00:00:00Z,CROSS-SELL,8162875,0.24226555447771503,33693915
April - 2025,2025-04-01T00:00:00Z,NON-FS MEMBER,25531040,0.757734445522285,33693915
May - 2025,2025-05-01T00:00:00Z,CROSS-SELL,12933171,0.2588353384317864,49966790
May - 2025,2025-05-01T00:00:00Z,NON-FS MEMBER,37033619,0.7411646615682136,49966790
June - 2025,2025-06-01T00:00:00Z,NON-FS MEMBER,41551578,0.7595591967353247,54704858
June - 2025,2025-06-01T00:00:00Z,CROSS-SELL,13153280,0.24044080326467532,54704858
July - 2025,2025-07-01T00:00:00Z,CROSS-SELL,11599125,0.20941700893734644,55387693
July - 2025,2025-07-01T00:00:00Z,NON-FS MEMBER,43788568,0.7905829910626536,55387693
August - 2025,2025-08-01T00:00:00Z,NON-FS MEMBER,53538442,0.7806026807148523,68586034
August - 2025,2025-08-01T00:00:00Z,CROSS-SELL,15047592,0.21939731928514777,68586034
September - 2025,2025-09-01T00:00:00Z,CROSS-SELL,15596401,0.22515264252188497,69270344
September - 2025,2025-09-01T00:00:00Z,NON-FS MEMBER,53673943,0.7748473574781151,69270344
October - 2025,2025-10-01T00:00:00Z,NON-FS MEMBER,51888550,0.7758356491057313,66880853
October - 2025,2025-10-01T00:00:00Z,CROSS-SELL,14992303,0.22416435089426864,66880853
November - 2025,2025-11-01T00:00:00Z,NON-FS MEMBER,44698163,0.7497146648185692,59620233
November - 2025,2025-11-01T00:00:00Z,CROSS-SELL,14922070,0.25028533518143076,59620233
December - 2025,2025-12-01T00:00:00Z,CROSS-SELL,16123546,0.2388538626359925,67503811
December - 2025,2025-12-01T00:00:00Z,NON-FS MEMBER,51380265,0.7611461373640075,67503811
January - 2026,2026-01-01T00:00:00Z,CROSS-SELL,16122377,0.22846459764374363,70568382
January - 2026,2026-01-01T00:00:00Z,NON-FS MEMBER,54446005,0.7715354023562564,70568382
February - 2026,2026-02-01T00:00:00Z,CROSS-SELL,14265940,0.22259259077801227,64089914
February - 2026,2026-02-01T00:00:00Z,NON-FS MEMBER,49823974,0.7774074092219877,64089914
March - 2026,2026-03-01T00:00:00Z,NON-FS MEMBER,68181810,0.7809007199855524,87311752
March - 2026,2026-03-01T00:00:00Z,CROSS-SELL,19129942,0.21909928001444753,87311752
April - 2026,2026-04-01T00:00:00Z,CROSS-SELL,14751660,0.23515485412443257,62731684
April - 2026,2026-04-01T00:00:00Z,NON-FS MEMBER,47980024,0.7648451458755674,62731684
