cohort,category,total_gmv
Active Athome,Indoor Equipment,16980161
Active Athome,Indoor_Equipment-Strength,731900
Active B2B,Indoor Equipment,39471817
Active B2B,Indoor_Equipment-Strength,877509
Active Complimentary,Indoor Equipment,15342319
Active Complimentary,Indoor_Equipment-Strength,180233
Active Elite,Indoor Equipment,83587318
Active Elite,Indoor_Equipment-Strength,2272765
Active Lux,Indoor Equipment,1752248
Active Lux,Indoor_Equipment-Strength,67413
Active Play,Indoor Equipment,7655926
Active Play,Indoor_Equipment-Strength,241641
Active Pro,Indoor Equipment,11343746
Active Pro,Indoor_Equipment-Strength,288409
Expired Athome,Indoor Equipment,9554440
Expired Athome,Indoor_Equipment-Strength,280069
Expired B2B,Indoor Equipment,13641000
Expired B2B,Indoor_Equipment-Strength,466792
Expired Complimentary,Indoor Equipment,102624303
Expired Complimentary,Indoor_Equipment-Strength,1865675
Expired Elite,Indoor Equipment,51520627
Expired Elite,Indoor_Equipment-Strength,1837562
Expired Lux,Indoor Equipment,582127
Expired Lux,Indoor_Equipment-Strength,23198
Expired Play,Indoor Equipment,3829001
Expired Play,Indoor_Equipment-Strength,92738
Expired Pro,Indoor Equipment,12229912
Expired Pro,Indoor_Equipment-Strength,287170
MP B2B,Indoor Equipment,19499
MP Complimentary,Indoor Equipment,89497
MP Elite,Indoor Equipment,105532
MP Elite,Indoor_Equipment-Strength,4499
MP Play,Indoor Equipment,9999
MP Pro,Indoor Equipment,137926
