new_vs_repeat,order_date,sort_key,total_orders
NEW,April - 2025,2025-04-01T00:00:00Z,240
REPEAT,April - 2025,2025-04-01T00:00:00Z,168
NEW,May - 2025,2025-05-01T00:00:00Z,394
REPEAT,May - 2025,2025-05-01T00:00:00Z,243
REPEAT,June - 2025,2025-06-01T00:00:00Z,298
NEW,June - 2025,2025-06-01T00:00:00Z,443
REPEAT,July - 2025,2025-07-01T00:00:00Z,274
NEW,July - 2025,2025-07-01T00:00:00Z,388
NEW,August - 2025,2025-08-01T00:00:00Z,504
REPEAT,August - 2025,2025-08-01T00:00:00Z,321
NEW,September - 2025,2025-09-01T00:00:00Z,506
REPEAT,September - 2025,2025-09-01T00:00:00Z,366
NEW,October - 2025,2025-10-01T00:00:00Z,451
REPEAT,October - 2025,2025-10-01T00:00:00Z,344
NEW,November - 2025,2025-11-01T00:00:00Z,583
REPEAT,November - 2025,2025-11-01T00:00:00Z,404
REPEAT,December - 2025,2025-12-01T00:00:00Z,425
NEW,December - 2025,2025-12-01T00:00:00Z,541
NEW,January - 2026,2026-01-01T00:00:00Z,626
REPEAT,January - 2026,2026-01-01T00:00:00Z,433
NEW,February - 2026,2026-02-01T00:00:00Z,585
REPEAT,February - 2026,2026-02-01T00:00:00Z,449
NEW,March - 2026,2026-03-01T00:00:00Z,826
REPEAT,March - 2026,2026-03-01T00:00:00Z,625
NEW,April - 2026,2026-04-01T00:00:00Z,513
REPEAT,April - 2026,2026-04-01T00:00:00Z,431
