gender,age,user_count,total_gmv
NO-GENDER,NO-AGE,6751,16891381.189999994
male,21-30,3752,8674443.109999998
male,31-40,3277,9351187.909999998
female,21-30,1982,4152999.372799999
female,31-40,1915,4688216.47
male,41-50,977,2524499.3
female,41-50,727,1596172.6200000003
male,NO-AGE,246,752593.12
male,11-20,167,211852.88999999998
female,NO-AGE,167,499910.28
male,50+,165,655767.55
NO-GENDER,21-30,135,459160.07999999996
female,50+,124,274291.61
NO-GENDER,31-40,72,169408.87000000002
female,0-10,62,169306.05000000005
female,11-20,56,107916.18999999999
male,0-10,52,102539.35
NO-GENDER,41-50,30,70171.29999999999
NO-GENDER,0-10,30,58787.47000000001
NO-GENDER,50+,8,16737.4
undisclosed,21-30,6,13274.550000000001
undisclosed,31-40,4,8530.5
non-binary,21-30,2,1798.0
non-binary,NO-AGE,1,3498.0
undisclosed,41-50,1,1276.0
NO-GENDER,11-20,1,359.0
undisclosed,NO-AGE,1,2807.0
