order_date,sort_key,cohort,category,total_gmv
April - 2023,2023-04-01T00:00:00Z,Active Complimentary,Indoor Equipment,3122447
April - 2023,2023-04-01T00:00:00Z,Expired Complimentary,Indoor Equipment,2491720
April - 2023,2023-04-01T00:00:00Z,Active Elite,Indoor Equipment,1616645
April - 2023,2023-04-01T00:00:00Z,Active B2B,Indoor Equipment,507857
April - 2023,2023-04-01T00:00:00Z,Expired Elite,Indoor Equipment,478270
April - 2023,2023-04-01T00:00:00Z,Active Athome,Indoor Equipment,394875
April - 2023,2023-04-01T00:00:00Z,Active Pro,Indoor Equipment,280756
April - 2023,2023-04-01T00:00:00Z,Expired B2B,Indoor Equipment,237071
April - 2023,2023-04-01T00:00:00Z,Expired Athome,Indoor Equipment,172235
April - 2023,2023-04-01T00:00:00Z,Active Play,Indoor Equipment,58516
April - 2023,2023-04-01T00:00:00Z,MP Complimentary,Indoor Equipment,38499
April - 2023,2023-04-01T00:00:00Z,Expired Pro,Indoor Equipment,24788
April - 2023,2023-04-01T00:00:00Z,Active Complimentary,Indoor_Equipment-Strength,10838
April - 2023,2023-04-01T00:00:00Z,Active Elite,Indoor_Equipment-Strength,9518
April - 2023,2023-04-01T00:00:00Z,Expired Complimentary,Indoor_Equipment-Strength,4899
April - 2023,2023-04-01T00:00:00Z,Active B2B,Indoor_Equipment-Strength,4199
May - 2023,2023-05-01T00:00:00Z,Expired Complimentary,Indoor Equipment,2271966
May - 2023,2023-05-01T00:00:00Z,Active Elite,Indoor Equipment,1565643
May - 2023,2023-05-01T00:00:00Z,Active Complimentary,Indoor Equipment,1477172
May - 2023,2023-05-01T00:00:00Z,Active Athome,Indoor Equipment,569520
May - 2023,2023-05-01T00:00:00Z,Active B2B,Indoor Equipment,460209
May - 2023,2023-05-01T00:00:00Z,Expired Elite,Indoor Equipment,378796
May - 2023,2023-05-01T00:00:00Z,Active Pro,Indoor Equipment,346620
May - 2023,2023-05-01T00:00:00Z,Expired Athome,Indoor Equipment,135928
May - 2023,2023-05-01T00:00:00Z,Active Play,Indoor Equipment,103110
May - 2023,2023-05-01T00:00:00Z,Expired B2B,Indoor Equipment,82092
May - 2023,2023-05-01T00:00:00Z,Expired Pro,Indoor Equipment,77022
May - 2023,2023-05-01T00:00:00Z,MP B2B,Indoor Equipment,19499
May - 2023,2023-05-01T00:00:00Z,Expired Play,Indoor Equipment,15499
May - 2023,2023-05-01T00:00:00Z,Active Elite,Indoor_Equipment-Strength,5699
May - 2023,2023-05-01T00:00:00Z,MP Elite,Indoor Equipment,1673
May - 2023,2023-05-01T00:00:00Z,MP Pro,Indoor Equipment,1049
June - 2023,2023-06-01T00:00:00Z,Expired Complimentary,Indoor Equipment,2588371
June - 2023,2023-06-01T00:00:00Z,Active Elite,Indoor Equipment,1662542
June - 2023,2023-06-01T00:00:00Z,Expired Elite,Indoor Equipment,629589
June - 2023,2023-06-01T00:00:00Z,Active Athome,Indoor Equipment,552247
June - 2023,2023-06-01T00:00:00Z,Active Complimentary,Indoor Equipment,515814
June - 2023,2023-06-01T00:00:00Z,Active B2B,Indoor Equipment,506854
June - 2023,2023-06-01T00:00:00Z,Active Pro,Indoor Equipment,309789
June - 2023,2023-06-01T00:00:00Z,Expired B2B,Indoor Equipment,194227
June - 2023,2023-06-01T00:00:00Z,Expired Athome,Indoor Equipment,181155
June - 2023,2023-06-01T00:00:00Z,Expired Pro,Indoor Equipment,140001
June - 2023,2023-06-01T00:00:00Z,Active Play,Indoor Equipment,96942
June - 2023,2023-06-01T00:00:00Z,MP Elite,Indoor Equipment,5655
June - 2023,2023-06-01T00:00:00Z,Active Pro,Indoor_Equipment-Strength,4559
June - 2023,2023-06-01T00:00:00Z,MP Pro,Indoor Equipment,0
June - 2023,2023-06-01T00:00:00Z,Active Elite,Indoor_Equipment-Strength,0
July - 2023,2023-07-01T00:00:00Z,Expired Complimentary,Indoor Equipment,2853674
July - 2023,2023-07-01T00:00:00Z,Active Elite,Indoor Equipment,1602391
July - 2023,2023-07-01T00:00:00Z,Active B2B,Indoor Equipment,617743
July - 2023,2023-07-01T00:00:00Z,Expired Elite,Indoor Equipment,525998
July - 2023,2023-07-01T00:00:00Z,Active Athome,Indoor Equipment,511115
July - 2023,2023-07-01T00:00:00Z,Active Complimentary,Indoor Equipment,361067
July - 2023,2023-07-01T00:00:00Z,Expired Pro,Indoor Equipment,265243
July - 2023,2023-07-01T00:00:00Z,Expired B2B,Indoor Equipment,197450
July - 2023,2023-07-01T00:00:00Z,Expired Athome,Indoor Equipment,154365
July - 2023,2023-07-01T00:00:00Z,Active Pro,Indoor Equipment,137360
July - 2023,2023-07-01T00:00:00Z,Active Play,Indoor Equipment,130963
July - 2023,2023-07-01T00:00:00Z,MP Complimentary,Indoor Equipment,14999
July - 2023,2023-07-01T00:00:00Z,Active Elite,Indoor_Equipment-Strength,4759
July - 2023,2023-07-01T00:00:00Z,Expired Play,Indoor Equipment,2477
August - 2023,2023-08-01T00:00:00Z,Expired Complimentary,Indoor Equipment,2399982
August - 2023,2023-08-01T00:00:00Z,Active Elite,Indoor Equipment,1361740
August - 2023,2023-08-01T00:00:00Z,Expired Elite,Indoor Equipment,542053
August - 2023,2023-08-01T00:00:00Z,Active B2B,Indoor Equipment,470306
August - 2023,2023-08-01T00:00:00Z,Active Complimentary,Indoor Equipment,419306
August - 2023,2023-08-01T00:00:00Z,Active Athome,Indoor Equipment,394442
August - 2023,2023-08-01T00:00:00Z,Expired B2B,Indoor Equipment,322039
August - 2023,2023-08-01T00:00:00Z,Active Pro,Indoor Equipment,284494
August - 2023,2023-08-01T00:00:00Z,Expired Pro,Indoor Equipment,224769
August - 2023,2023-08-01T00:00:00Z,Expired Athome,Indoor Equipment,200583
August - 2023,2023-08-01T00:00:00Z,Active Play,Indoor Equipment,122688
August - 2023,2023-08-01T00:00:00Z,Expired Play,Indoor Equipment,32699
August - 2023,2023-08-01T00:00:00Z,MP Elite,Indoor Equipment,15898
August - 2023,2023-08-01T00:00:00Z,Expired Elite,Indoor_Equipment-Strength,15499
September - 2023,2023-09-01T00:00:00Z,Expired Complimentary,Indoor Equipment,2038035
September - 2023,2023-09-01T00:00:00Z,Active Elite,Indoor Equipment,1086640
September - 2023,2023-09-01T00:00:00Z,Expired Elite,Indoor Equipment,537347
September - 2023,2023-09-01T00:00:00Z,Active B2B,Indoor Equipment,481675
September - 2023,2023-09-01T00:00:00Z,Active Pro,Indoor Equipment,293572
September - 2023,2023-09-01T00:00:00Z,Active Athome,Indoor Equipment,262111
September - 2023,2023-09-01T00:00:00Z,Expired Pro,Indoor Equipment,216670
September - 2023,2023-09-01T00:00:00Z,Expired Athome,Indoor Equipment,185134
September - 2023,2023-09-01T00:00:00Z,Active Complimentary,Indoor Equipment,172903
September - 2023,2023-09-01T00:00:00Z,Expired B2B,Indoor Equipment,139151
September - 2023,2023-09-01T00:00:00Z,Active Play,Indoor Equipment,122438
September - 2023,2023-09-01T00:00:00Z,Active Elite,Indoor_Equipment-Strength,46651
September - 2023,2023-09-01T00:00:00Z,Expired Elite,Indoor_Equipment-Strength,34675
September - 2023,2023-09-01T00:00:00Z,Active B2B,Indoor_Equipment-Strength,33956
September - 2023,2023-09-01T00:00:00Z,Expired Complimentary,Indoor_Equipment-Strength,33289
September - 2023,2023-09-01T00:00:00Z,Active Athome,Indoor_Equipment-Strength,24832
September - 2023,2023-09-01T00:00:00Z,Expired Play,Indoor Equipment,16499
September - 2023,2023-09-01T00:00:00Z,Active Complimentary,Indoor_Equipment-Strength,14771
September - 2023,2023-09-01T00:00:00Z,MP Pro,Indoor Equipment,14482
September - 2023,2023-09-01T00:00:00Z,Expired Athome,Indoor_Equipment-Strength,11746
September - 2023,2023-09-01T00:00:00Z,Active Play,Indoor_Equipment-Strength,8957
September - 2023,2023-09-01T00:00:00Z,MP Elite,Indoor Equipment,7499
September - 2023,2023-09-01T00:00:00Z,Active Pro,Indoor_Equipment-Strength,2848
September - 2023,2023-09-01T00:00:00Z,Expired Pro,Indoor_Equipment-Strength,2624
October - 2023,2023-10-01T00:00:00Z,Expired Complimentary,Indoor Equipment,1830207
October - 2023,2023-10-01T00:00:00Z,Active Elite,Indoor Equipment,1420332
October - 2023,2023-10-01T00:00:00Z,Active B2B,Indoor Equipment,332081
October - 2023,2023-10-01T00:00:00Z,Expired Elite,Indoor Equipment,293839
October - 2023,2023-10-01T00:00:00Z,Expired Pro,Indoor Equipment,254441
October - 2023,2023-10-01T00:00:00Z,Active Complimentary,Indoor Equipment,253360
October - 2023,2023-10-01T00:00:00Z,Active Athome,Indoor Equipment,250087
October - 2023,2023-10-01T00:00:00Z,Expired B2B,Indoor Equipment,241099
October - 2023,2023-10-01T00:00:00Z,Expired Athome,Indoor Equipment,165412
October - 2023,2023-10-01T00:00:00Z,Active Play,Indoor Equipment,142862
October - 2023,2023-10-01T00:00:00Z,Active Pro,Indoor Equipment,123482
October - 2023,2023-10-01T00:00:00Z,Expired Complimentary,Indoor_Equipment-Strength,39862
October - 2023,2023-10-01T00:00:00Z,Active Elite,Indoor_Equipment-Strength,31406
October - 2023,2023-10-01T00:00:00Z,Active Complimentary,Indoor_Equipment-Strength,12852
October - 2023,2023-10-01T00:00:00Z,Active Athome,Indoor_Equipment-Strength,11217
October - 2023,2023-10-01T00:00:00Z,Active B2B,Indoor_Equipment-Strength,9615
October - 2023,2023-10-01T00:00:00Z,Active Pro,Indoor_Equipment-Strength,5713
October - 2023,2023-10-01T00:00:00Z,Expired Play,Indoor_Equipment-Strength,3749
October - 2023,2023-10-01T00:00:00Z,MP Elite,Indoor Equipment,124
November - 2023,2023-11-01T00:00:00Z,Expired Complimentary,Indoor Equipment,2152518
November - 2023,2023-11-01T00:00:00Z,Active Elite,Indoor Equipment,1327061
November - 2023,2023-11-01T00:00:00Z,Active B2B,Indoor Equipment,612058
November - 2023,2023-11-01T00:00:00Z,Expired Elite,Indoor Equipment,450372
November - 2023,2023-11-01T00:00:00Z,Active Athome,Indoor Equipment,444558
November - 2023,2023-11-01T00:00:00Z,Expired B2B,Indoor Equipment,263668
November - 2023,2023-11-01T00:00:00Z,Expired Athome,Indoor Equipment,244132
November - 2023,2023-11-01T00:00:00Z,Expired Pro,Indoor Equipment,233910
November - 2023,2023-11-01T00:00:00Z,Active Pro,Indoor Equipment,225790
November - 2023,2023-11-01T00:00:00Z,Active Complimentary,Indoor Equipment,195999
November - 2023,2023-11-01T00:00:00Z,Active Play,Indoor Equipment,166146
November - 2023,2023-11-01T00:00:00Z,Expired Play,Indoor Equipment,112205
November - 2023,2023-11-01T00:00:00Z,Active Elite,Indoor_Equipment-Strength,18957
November - 2023,2023-11-01T00:00:00Z,Expired Complimentary,Indoor_Equipment-Strength,15592
November - 2023,2023-11-01T00:00:00Z,Active Athome,Indoor_Equipment-Strength,14194
November - 2023,2023-11-01T00:00:00Z,Expired Pro,Indoor_Equipment-Strength,9553
November - 2023,2023-11-01T00:00:00Z,Expired Elite,Indoor_Equipment-Strength,9147
November - 2023,2023-11-01T00:00:00Z,Active Play,Indoor_Equipment-Strength,5510
November - 2023,2023-11-01T00:00:00Z,Active B2B,Indoor_Equipment-Strength,5337
November - 2023,2023-11-01T00:00:00Z,Expired B2B,Indoor_Equipment-Strength,4521
November - 2023,2023-11-01T00:00:00Z,Expired Play,Indoor_Equipment-Strength,4319
November - 2023,2023-11-01T00:00:00Z,Active Complimentary,Indoor_Equipment-Strength,4146
November - 2023,2023-11-01T00:00:00Z,Active Pro,Indoor_Equipment-Strength,1873
November - 2023,2023-11-01T00:00:00Z,Expired Athome,Indoor_Equipment-Strength,1525
December - 2023,2023-12-01T00:00:00Z,Expired Complimentary,Indoor Equipment,2877500
December - 2023,2023-12-01T00:00:00Z,Active Elite,Indoor Equipment,1807721
December - 2023,2023-12-01T00:00:00Z,Expired Elite,Indoor Equipment,855328
December - 2023,2023-12-01T00:00:00Z,Active B2B,Indoor Equipment,607626
December - 2023,2023-12-01T00:00:00Z,Active Complimentary,Indoor Equipment,532555
December - 2023,2023-12-01T00:00:00Z,Active Athome,Indoor Equipment,378286
December - 2023,2023-12-01T00:00:00Z,Expired B2B,Indoor Equipment,257068
December - 2023,2023-12-01T00:00:00Z,Expired Athome,Indoor Equipment,256668
December - 2023,2023-12-01T00:00:00Z,Active Pro,Indoor Equipment,247051
December - 2023,2023-12-01T00:00:00Z,Active Play,Indoor Equipment,244911
December - 2023,2023-12-01T00:00:00Z,Expired Pro,Indoor Equipment,136964
December - 2023,2023-12-01T00:00:00Z,Expired Play,Indoor Equipment,62997
December - 2023,2023-12-01T00:00:00Z,MP Complimentary,Indoor Equipment,35999
December - 2023,2023-12-01T00:00:00Z,Active Athome,Indoor_Equipment-Strength,34306
December - 2023,2023-12-01T00:00:00Z,Active Elite,Indoor_Equipment-Strength,34167
December - 2023,2023-12-01T00:00:00Z,Expired B2B,Indoor_Equipment-Strength,20443
December - 2023,2023-12-01T00:00:00Z,Active Complimentary,Indoor_Equipment-Strength,18357
