city,total_gmv
Bangalore,12453468.0
BANGALURU,6507175.0
BENGALURU URBAN,2700838.0
HYDERABAD,2265302.0
Hyderabad,2091117.0
,2074668.0
Mumbai,1779849.0
Pune,1497354.0
Gurgaon,1238521.0
K.V.Rangareddy,1209550.0
MUMBAI,765361.0
NEW DELHI,726449.0
GACHIBOWLI,722032.0
RANGA REDDY,664173.0
MEDCHAL MALKAJGIRI,581569.0
Gautam Buddha Nagar,472880.0
Chennai,459950.0
South West Delhi,431969.0
West Delhi,356290.0
Ghaziabad,321083.0
Bengaluru,300760.0
South Delhi,293996.0
North West Delhi,270715.0
Thane,243936.0
PUNE,228381.0
CHENNAI,227401.0
SOUTH,208378.0
North Delhi,181735.0
ANANTAPUR,169904.0
Indore,166885.0
MADURAI,163505.0
Kanchipuram,162675.0
East Delhi,153835.0
GAUTAM BUDDHA NAGAR,150559.0
Hisar,146485.0
VISAKHAPATANAM,146457.0
GURUGRAM,140773.0
Faridabad,135001.0
Medak,126051.0
MYSURU,122284.0
Kolkata,122064.0
MUMBAI SUBURBAN,111128.0
KANPUR NAGAR,110045.0
Mysore,101232.0
East Khasi Hills,99999.0
Khorda,94948.0
Gurugram (Gurgaon),92888.0
Jaipur,92085.0
LUCKNOW,91716.0
THANE,83951.0
Ahmedabad,82847.0
BENGALURU RURAL,82259.0
NTR,79366.0
COIMBATORE,77621.0
North East Delhi,75894.0
RANCHI,75724.0
KHORDHA,74894.0
WEST,74038.0
KOLKATA,72295.0
Lucknow,70810.0
CHENGALPATTU,69236.0
Kalahandi,68499.0
KOLAR,67997.0
KRISHNA,67596.0
CENTRAL,67447.0
VIZIANAGARAM,66615.0
Krishna,65690.0
Kumbakonam,63347.0
SAHARANPUR,62999.0
SANGAREDDY,60350.0
ERNAKULAM,60325.0
SAMBHAL,60298.0
South East,60257.0
Surat,59659.0
Mathura,59498.0
Dakshina Kannada,59212.0
EAST,58292.0
Meerut,57638.0
TUMAKURU,56762.0
Ananthapur,55370.0
GHAZIABAD,54726.0
Vadodara,54091.0
BELAGAVI,53061.0
WARANGAL,52499.0
PATNA,51859.0
Agra,50694.0
Raigarh(MH),50221.0
Central Delhi,50217.0
Mira Road,49498.0
JAIPUR,48501.0
RAMANAGARA,43127.0
SPSR NELLORE,43064.0
Nagpur,42188.0
GORAKHPUR,41595.0
VADODARA,40238.0
Jhajjar,39999.0
NORTH GOA,39843.0
Tiruvallur,38611.0
JAMMU,38246.0
Beawar,37999.0
WEST GODAVARI,37499.0
Kanpur Dehat,36999.0
JABALPUR,36482.0
Moradabad,35760.0
KALABURAGI,35714.0
Kamrup,35710.0
SHAMLI,34999.0
THRISSUR,34181.0
West Tripura,33838.0
UDUPI,33150.0
Rajkot,32955.0
NAGPUR,32591.0
THIRUVANANTHAPURAM,32253.0
Coimbatore,32127.0
Bhopal,31696.0
Bangalore Rural,31347.0
LUDHIANA,30825.0
MANDYA,30758.0
GUNTUR,30709.0
AMRITSAR,30402.0
Aurangabad,30200.0
Visakhapatnam,29683.0
Patna,29681.0
THIRUVALLUR,29552.0
CHITTOOR,28631.0
KOZHIKODE,28562.0
BIJNOR,28518.0
KODAGU,28397.0
Tirupati,28326.0
INDORE,28223.0
New Delhi,27784.0
Dehradun,27777.0
PONDICHERRY,27572.0
PRATAPGARH,27499.0
Chirala,27358.0
Raipur,27159.0
Nainital,26790.0
Jabalpur,26455.0
NAGARKURNOOL,26297.0
BAGHPAT,26055.0
Proddatur,25999.0
Bulandshahr,25698.0
Kanpur Nagar,25502.0
CHANDIGARH,24591.0
Chandigarh,24073.0
Shahid Bhagat Singh Nagar,23997.0
Jagitial,23842.0
KAMRUP METRO,23830.0
East Godavari,23478.0
PRAKASAM,23340.0
Dharwad,23326.0
Kota,23051.0
SIDDIPET,22999.0
REWARI,22974.0
Yavatmal,22937.0
Delhi,22631.0
Tumkur,22505.0
PRAYAGRAJ,22472.0
SALEM,22149.0
MAINPURI,21748.0
Udaipur,21701.0
RAYAGADA,21646.0
Kurnool,21563.0
BENGALURU,21280.0
Karnal,21155.0
HAPUR,20793.0
Secunderabad,20706.0
Ernakulam,20683.0
CHITRADURGA,20495.0
DAKSHINA KANNADA,20423.0
Hassan,19919.0
Bellary,19704.0
North 24 Parganas,19644.0
Gwalior,19261.0
Rangareddy,18892.0
RAJKOT,18723.0
Mau,18398.0
HANUMAKONDA,18106.0
CHIKKAMAGALURU,18045.0
PANIPAT,18030.0
BANGALORE,17811.0
KOPPAL,17666.0
TIRUVANNAMALAI,17647.0
HAVERI,17258.0
DHARWAD,17184.0
GANGANAGAR,17014.0
Phagwara,16999.0
Karimnagar,16998.0
Davangere,16928.0
SUNDARGARH,16872.0
Khandwa,16499.0
North Goa,16414.0
Suryapet,16098.0
ALAPPUZHA,15999.0
PILIBHIT,15627.0
South 24 Parganas,15358.0
RAIGAD,15358.0
Banglore,14999.0
kinwat,14999.0
Wardha,14999.0
BHOPAL,14950.0
SHIVAMOGGA,14720.0
CUTTACK,14351.0
PALGHAR,14338.0
Y.S.R.,14261.0
DELHI,14069.0
PORBANDAR,14017.0
HISAR,13964.0
Gurugram,13952.0
Saharanpur,13870.0
GIRIDIH,13538.0
Kolar,13525.0
Ludhiana,13335.0
South,13248.0
Gandhi Nagar,13135.0
PUDUKKOTTAI,12999.0
RAE BARELI,12799.0
Udham Singh Nagar,12602.0
TINSUKIA,12394.0
Jammu,12263.0
Eluru,12232.0
Konaseema,12176.0
HOWRAH,12077.0
Palamaner,12077.0
AGRA,12002.0
WANAPARTHY,11999.0
Navi Mumbai,11918.0
BOKARO,11497.0
MAHABUBNAGAR,11318.0
Silvassa,11256.0
