age,category,user_count,total_gmv
NO-AGE,Indoor Equipment,332,5638038.0
31-40,Indoor Equipment,253,4547288.0
21-30,Indoor Equipment,230,3354336.0
41-50,Indoor Equipment,60,815161.0
NO-AGE,Indoor_Equipment-Strength,52,465433.0
50+,Indoor Equipment,19,400966.0
31-40,Indoor_Equipment-Strength,60,371282.0
21-30,Indoor_Equipment-Strength,31,347564.0
41-50,Indoor_Equipment-Strength,13,92963.0
11-20,Indoor Equipment,2,25248.0
0-10,Indoor Equipment,3,24087.0
0-10,Indoor_Equipment-Strength,1,23999.0
50+,Indoor_Equipment-Strength,2,16011.0
