order_date,is_fs_member,is_weekend,week_of_month,day_of_week,day_name,gmv,total_gmv
2026-05-01T00:00:00Z,CROSS-SELL,0,1,5,Friday,491333,1755045
2026-05-01T00:00:00Z,NON-FS MEMBER,0,1,5,Friday,1263712,1755045
2026-05-02T00:00:00Z,CROSS-SELL,1,1,6,Saturday,621997,2476823
2026-05-02T00:00:00Z,NON-FS MEMBER,1,1,6,Saturday,1854826,2476823
2026-05-03T00:00:00Z,CROSS-SELL,1,1,7,Sunday,518532,2100241
2026-05-03T00:00:00Z,NON-FS MEMBER,1,1,7,Sunday,1581709,2100241
2026-05-04T00:00:00Z,CROSS-SELL,0,2,1,Monday,269738,1826160
2026-05-04T00:00:00Z,NON-FS MEMBER,0,2,1,Monday,1556422,1826160
2026-05-05T00:00:00Z,CROSS-SELL,0,2,2,Tuesday,485719,2147426
2026-05-05T00:00:00Z,NON-FS MEMBER,0,2,2,Tuesday,1661707,2147426
2026-05-06T00:00:00Z,CROSS-SELL,0,2,3,Wednesday,577597,2590892
2026-05-06T00:00:00Z,NON-FS MEMBER,0,2,3,Wednesday,2013295,2590892
2026-05-07T00:00:00Z,CROSS-SELL,0,2,4,Thursday,453964,2028553
2026-05-07T00:00:00Z,NON-FS MEMBER,0,2,4,Thursday,1574589,2028553
2026-05-08T00:00:00Z,CROSS-SELL,0,2,5,Friday,419191,1945608
2026-05-08T00:00:00Z,NON-FS MEMBER,0,2,5,Friday,1526417,1945608
2026-05-09T00:00:00Z,CROSS-SELL,1,2,6,Saturday,596537,2478976
2026-05-09T00:00:00Z,NON-FS MEMBER,1,2,6,Saturday,1882439,2478976
2026-05-10T00:00:00Z,CROSS-SELL,1,2,7,Sunday,745775,2870194
2026-05-10T00:00:00Z,NON-FS MEMBER,1,2,7,Sunday,2124419,2870194
2026-05-11T00:00:00Z,CROSS-SELL,0,3,1,Monday,501314,2381487
2026-05-11T00:00:00Z,NON-FS MEMBER,0,3,1,Monday,1880173,2381487
2026-05-12T00:00:00Z,CROSS-SELL,0,3,2,Tuesday,787894,1836810
2026-05-12T00:00:00Z,NON-FS MEMBER,0,3,2,Tuesday,1048916,1836810
