store_name,category,order_count,total_gmv
Cult Store - Indiranagar,Indoor Equipment,79,998352
Cult Store - HSR,Indoor Equipment,46,489819
Cult Store - AECS Layout,Indoor Equipment,60,458253
Cult Store - JP Nagar,Indoor Equipment,33,452484
Cult Store - Tirumalagiri,Indoor Equipment,19,447790
Cult Store - VR Mall,Indoor Equipment,23,418469
Cult Store - Paschim Vihar,Indoor Equipment,11,321289
CS - Indiranagar,Indoor Equipment,56,315850
Cult Store - Dwarka,Indoor Equipment,19,303911
Cult Store - HSR Hardline,Indoor Equipment,5,196996
Cult Store - Atrium Mall,Indoor Equipment,14,196184
Cult Store - Irrum Manzil,Indoor Equipment,22,191558
CS- JP NAGAR,Indoor Equipment,10,149063
HSR Store,Indoor Equipment,41,139603
Cult Store - Tolichowki,Indoor Equipment,14,125021
CS - Marathahalli,Indoor Equipment,9,113661
VR MALL,Indoor Equipment,19,109089
Cult Store - Chikkajala,Indoor Equipment,11,108535
Cult Store - BTM Layout,Indoor Equipment,12,98449
HSR Hardline,Indoor Equipment,5,79149
CS-TRIMULGHERRY,Indoor Equipment,5,74331
Cult Store - Indiranagar,Indoor_Equipment-Strength,12,67215
Cult Store - JP Nagar,Indoor_Equipment-Strength,10,59740
CS - Indiranagar,Indoor_Equipment-Strength,31,58232
Cult Store - HSR,Indoor_Equipment-Strength,11,57811
Cult Store - Mantri Mall,Indoor Equipment,8,55891
Cult Store - AECS Layout,Indoor_Equipment-Strength,12,55401
Cult Store - Banashankari,Indoor Equipment,11,54467
HSR Store,Indoor_Equipment-Strength,30,51674
Cult Store - Moosarambagh Mall,Indoor Equipment,4,46996
VR MALL,Indoor_Equipment-Strength,20,42823
Cult Store - Necklace Mall,Indoor Equipment,7,42093
Cult Store - VR Mall,Indoor_Equipment-Strength,6,33094
Cult Store - Anzal Plaza,Indoor Equipment,5,31345
Cult Store - Kamlanagar,Indoor Equipment,4,27496
,Indoor Equipment,4,26541
Cult Store - Tirumalagiri,Indoor_Equipment-Strength,4,25295
CULT STORE - BANASHANKARI,Indoor Equipment,2,24761
Cult Store - Banashankari,Indoor_Equipment-Strength,3,21297
Cult Store - Global Divinity Mall,Indoor Equipment,3,17296
Cult store - Lake Shore,Indoor Equipment,6,15803
CULT STORE - DWARKA,Indoor Equipment,3,14320
CULT STORE - TOLICHOWKI,Indoor Equipment,3,13997
Cult Store - Amanora,Indoor Equipment,4,13795
CS- JP NAGAR,Indoor_Equipment-Strength,9,13562
CULT STORE - ANSAL PLAZA,Indoor Equipment,1,13294
,Indoor_Equipment-Strength,1,12998
Cult Store - Mantri Mall,Indoor_Equipment-Strength,2,12998
Cult Store - Vision One Wakad,Indoor Equipment,3,12347
Cult Store - Vision One Wakad,Indoor_Equipment-Strength,1,11999
Cult Store - Amanora,Indoor_Equipment-Strength,1,11999
Cult Store - Paschim Vihar,Indoor_Equipment-Strength,1,11998
CS - Marathahalli,Indoor_Equipment-Strength,6,11479
HSR Hardline,Indoor_Equipment-Strength,2,7916
Cult Store - Dwarka,Indoor_Equipment-Strength,2,6798
Cult Store - HSR Hardline,Indoor_Equipment-Strength,1,6399
Cult Store - Tolichowki,Indoor_Equipment-Strength,1,5899
CS-PASCHIM VIHAR,Indoor_Equipment-Strength,2,5761
CULT STORE - IRRAM MANZIL,Indoor_Equipment-Strength,1,5713
Cult Store - Gaur Central Mall,Indoor Equipment,2,5327
CS-TRIMULGHERRY,Indoor_Equipment-Strength,1,2966
Cult Store - Global Divinity Mall,Indoor_Equipment-Strength,1,2599
CULT STORE - IRRAM MANZIL,Indoor Equipment,2,2569
CULT STORE - DWARKA,Indoor_Equipment-Strength,2,2058
CULT STORE - BANASHANKARI,Indoor_Equipment-Strength,1,1513
Cult Store - Anzal Plaza,Indoor_Equipment-Strength,1,1259
Cult Store - Central 120,Indoor Equipment,2,898
