store_name,order_count,total_gmv
Cult Store - HSR,5007,12351724
Cult Store - Indiranagar,4364,11271313
Cult Store - AECS Layout,4377,10585230
Cult Store - VR Mall,3425,8057471
Cult Store - JP Nagar,2666,8046728
CS - Indiranagar,3639,7747584
HSR Store,3758,7528665
Cult Store - Atrium Mall,2654,6267911
Cult Store - Banashankari,1430,4657042
Cult Store - Mantri Mall,2049,4547606
Cult Store - Chikkajala,1436,4333845
Cult Store - Irrum Manzil,1654,3983875
VR MALL,1941,3981303
CS- JP NAGAR,1568,3723361
Cult Store - BTM Layout,1437,3659117
Cult Store - Tirumalagiri,1138,3456671
Cult Store - Dwarka,1212,3243993
Cult Store - Tolichowki,912,2518725
Cult Store - Paschim Vihar,829,2338087
Cult Store - Necklace Mall,906,1928226
Cult Store - Amanora,865,1882819
Cult Store - Global Divinity Mall,697,1685858
Cult Store - Moosarambagh Mall,656,1567548
CS-TRIMULGHERRY,569,1491312
CS - Marathahalli,583,1355231
Cult Store - Anzal Plaza,484,1300352
CULT STORE - BANASHANKARI,518,1246189
Cult store - Lake Shore,541,1211217
CULT STORE - TOLICHOWKI,417,1088944
Cult Store - Kamlanagar,391,1038265
,414,943996
Cult Store - Vision One Wakad,323,790343
CULT STORE - IRRAM MANZIL,366,770135
CS-PASCHIM VIHAR,242,595913
CULT STORE - DWARKA,260,570580
Cult Store - El Pro Mall,190,463385
Cult Store - Central 120,157,345898
Cult Store - Indirapuram Habitat Centre,111,301817
CULT STORE - ANSAL PLAZA,96,268280
Cult Store - HSR Hardline,41,267078
HSR Hardline,45,198321
Cult Store - Gaur Central Mall,36,98400
HSR - 14th Main,30,31620
