order_date,sort_key,total_gmv
April - 2025,2025-04-01T00:00:00Z,3995735
May - 2025,2025-05-01T00:00:00Z,6239235
June - 2025,2025-06-01T00:00:00Z,7623503
July - 2025,2025-07-01T00:00:00Z,8307672
August - 2025,2025-08-01T00:00:00Z,7432671
September - 2025,2025-09-01T00:00:00Z,6439932
October - 2025,2025-10-01T00:00:00Z,6425220
November - 2025,2025-11-01T00:00:00Z,8399052
December - 2025,2025-12-01T00:00:00Z,10548039
January - 2026,2026-01-01T00:00:00Z,11930994
February - 2026,2026-02-01T00:00:00Z,9351180
March - 2026,2026-03-01T00:00:00Z,10184439
April - 2026,2026-04-01T00:00:00Z,11162373
