active_vs_expired,order_date,sort_key,total_gmv
Active,April - 2025,2025-04-01T00:00:00Z,3973865
Expired,April - 2025,2025-04-01T00:00:00Z,4189011
Active,May - 2025,2025-05-01T00:00:00Z,6313580
Expired,May - 2025,2025-05-01T00:00:00Z,6619591
Active,June - 2025,2025-06-01T00:00:00Z,6327808
Expired,June - 2025,2025-06-01T00:00:00Z,6825471
Active,July - 2025,2025-07-01T00:00:00Z,5201175
Expired,July - 2025,2025-07-01T00:00:00Z,6397951
Active,August - 2025,2025-08-01T00:00:00Z,7058330
Expired,August - 2025,2025-08-01T00:00:00Z,7989261
Active,September - 2025,2025-09-01T00:00:00Z,6895385
Expired,September - 2025,2025-09-01T00:00:00Z,8701016
Expired,October - 2025,2025-10-01T00:00:00Z,8208760
Active,October - 2025,2025-10-01T00:00:00Z,6783543
Active,November - 2025,2025-11-01T00:00:00Z,6185398
Expired,November - 2025,2025-11-01T00:00:00Z,8736672
Active,December - 2025,2025-12-01T00:00:00Z,6666118
Expired,December - 2025,2025-12-01T00:00:00Z,9457428
Active,January - 2026,2026-01-01T00:00:00Z,7133571
Expired,January - 2026,2026-01-01T00:00:00Z,8988806
Active,February - 2026,2026-02-01T00:00:00Z,6053001
Expired,February - 2026,2026-02-01T00:00:00Z,8212939
Active,March - 2026,2026-03-01T00:00:00Z,8169212
Expired,March - 2026,2026-03-01T00:00:00Z,10960730
Active,April - 2026,2026-04-01T00:00:00Z,6583920
Expired,April - 2026,2026-04-01T00:00:00Z,8167740
