month,business_line,user_count
2026-03-01T00:00:00Z,Elite,6907
2026-03-01T00:00:00Z,B2B,3982
2026-03-01T00:00:00Z,Pro,3076
2026-03-01T00:00:00Z,Play,575
2026-03-01T00:00:00Z,Athome,252
2026-03-01T00:00:00Z,Lux,185
2026-03-01T00:00:00Z,Complimentary,175
2026-04-01T00:00:00Z,Elite,4774
2026-04-01T00:00:00Z,B2B,4410
2026-04-01T00:00:00Z,Pro,2343
2026-04-01T00:00:00Z,Play,719
2026-04-01T00:00:00Z,Athome,184
2026-04-01T00:00:00Z,Lux,184
2026-04-01T00:00:00Z,Complimentary,81
2026-05-01T00:00:00Z,Elite,6097
2026-05-01T00:00:00Z,B2B,4207
2026-05-01T00:00:00Z,Pro,2820
2026-05-01T00:00:00Z,Play,941
2026-05-01T00:00:00Z,Athome,264
2026-05-01T00:00:00Z,Lux,214
2026-05-01T00:00:00Z,Complimentary,206
