month,business_line,user_count
2026-03-01T00:00:00Z,Elite,14749
2026-03-01T00:00:00Z,B2B,9147
2026-03-01T00:00:00Z,Pro,4609
2026-03-01T00:00:00Z,Athome,1751
2026-03-01T00:00:00Z,Play,1140
2026-03-01T00:00:00Z,Complimentary,639
2026-03-01T00:00:00Z,Lux,434
2026-04-01T00:00:00Z,Elite,9086
2026-04-01T00:00:00Z,B2B,8967
2026-04-01T00:00:00Z,Pro,3445
2026-04-01T00:00:00Z,Athome,1521
2026-04-01T00:00:00Z,Play,1388
2026-04-01T00:00:00Z,Lux,485
2026-04-01T00:00:00Z,Complimentary,274
2026-05-01T00:00:00Z,Elite,12317
2026-05-01T00:00:00Z,B2B,9283
2026-05-01T00:00:00Z,Pro,4297
2026-05-01T00:00:00Z,Play,1630
2026-05-01T00:00:00Z,Athome,1605
2026-05-01T00:00:00Z,Lux,521
2026-05-01T00:00:00Z,Complimentary,444
