member_type,store_name,gmv
NON-FS-MEMBER,Cult Store - Indiranagar,2258023
CROSS-SELL,Cult Store - Indiranagar,1065567
NON-FS-MEMBER,Cult Store - HSR Hardline,2347079
CROSS-SELL,Cult Store - HSR Hardline,203395
NON-FS-MEMBER,Cult Store - AECS Layout,1218054
CROSS-SELL,Cult Store - AECS Layout,513654
NON-FS-MEMBER,Cult Store - Tirumalagiri,901425
CROSS-SELL,Cult Store - Tirumalagiri,473085
NON-FS-MEMBER,Cult Store - HSR,793133
CROSS-SELL,Cult Store - HSR,547629
NON-FS-MEMBER,Cult Store - Paschim Vihar,879807
CROSS-SELL,Cult Store - Paschim Vihar,333287
CROSS-SELL,Cult Store - JP Nagar,512224
NON-FS-MEMBER,Cult Store - JP Nagar,656628
NON-FS-MEMBER,CS - Indiranagar,729030
CROSS-SELL,CS - Indiranagar,374082
CROSS-SELL,Cult Store - Anzal Plaza,32604
NON-FS-MEMBER,Cult Store - Anzal Plaza,1062958
NON-FS-MEMBER,Cult Store - VR Mall,529770
CROSS-SELL,Cult Store - VR Mall,451563
CROSS-SELL,Cult Store - Tolichowki,130920
NON-FS-MEMBER,Cult Store - Tolichowki,760667
NON-FS-MEMBER,Cult Store - Atrium Mall,680480
CROSS-SELL,Cult Store - Atrium Mall,196184
NON-FS-MEMBER,Cult Store - Chikkajala,703865
CROSS-SELL,Cult Store - Chikkajala,108535
NON-FS-MEMBER,Cult Store - Irrum Manzil,619927
CROSS-SELL,Cult Store - Irrum Manzil,191558
NON-FS-MEMBER,Cult Store - Dwarka,403571
CROSS-SELL,Cult Store - Dwarka,310709
NON-FS-MEMBER,Cult Store - Kamlanagar,620283
CROSS-SELL,Cult Store - Kamlanagar,27496
CROSS-SELL,Cult Store - Banashankari,75764
NON-FS-MEMBER,Cult Store - Banashankari,547518
CROSS-SELL,HSR Store,191277
NON-FS-MEMBER,HSR Store,371843
NON-FS-MEMBER,CS-TRIMULGHERRY,422332
CROSS-SELL,CS-TRIMULGHERRY,77297
CROSS-SELL,Cult Store - BTM Layout,98449
NON-FS-MEMBER,Cult Store - BTM Layout,309316
CROSS-SELL,CULT STORE - TOLICHOWKI,13997
NON-FS-MEMBER,CULT STORE - TOLICHOWKI,362219
CROSS-SELL,VR MALL,151912
NON-FS-MEMBER,VR MALL,218905
NON-FS-MEMBER,CS- JP NAGAR,182142
CROSS-SELL,CS- JP NAGAR,162625
CROSS-SELL,Cult Store - Global Divinity Mall,19895
NON-FS-MEMBER,Cult Store - Global Divinity Mall,287389
NON-FS-MEMBER,Cult Store - Mantri Mall,190201
CROSS-SELL,Cult Store - Mantri Mall,68889
CROSS-SELL,HSR Hardline,87065
NON-FS-MEMBER,HSR Hardline,169422
NON-FS-MEMBER,Cult Store - Moosarambagh Mall,170087
CROSS-SELL,Cult Store - Moosarambagh Mall,46996
CROSS-SELL,CS - Marathahalli,125140
NON-FS-MEMBER,CS - Marathahalli,81464
CROSS-SELL,,39539
NON-FS-MEMBER,,100049
CROSS-SELL,Cult Store - Necklace Mall,42093
NON-FS-MEMBER,Cult Store - Necklace Mall,86956
CROSS-SELL,Cult Store - Vision One Wakad,24346
NON-FS-MEMBER,Cult Store - Vision One Wakad,83835
NON-FS-MEMBER,CULT STORE - BANASHANKARI,57788
CROSS-SELL,CULT STORE - BANASHANKARI,26274
NON-FS-MEMBER,Cult Store - Amanora,49584
CROSS-SELL,Cult Store - Amanora,25794
CROSS-SELL,CULT STORE - DWARKA,16378
NON-FS-MEMBER,CULT STORE - DWARKA,57589
CROSS-SELL,CULT STORE - IRRAM MANZIL,8282
NON-FS-MEMBER,CULT STORE - IRRAM MANZIL,49421
NON-FS-MEMBER,Cult Store - El Pro Mall,55241
CROSS-SELL,Cult store - Lake Shore,15803
NON-FS-MEMBER,Cult store - Lake Shore,36792
NON-FS-MEMBER,CS-PASCHIM VIHAR,37510
CROSS-SELL,CS-PASCHIM VIHAR,5761
CROSS-SELL,CULT STORE - ANSAL PLAZA,13294
NON-FS-MEMBER,CULT STORE - ANSAL PLAZA,28504
CROSS-SELL,Cult Store - Central 120,898
NON-FS-MEMBER,Cult Store - Central 120,34141
NON-FS-MEMBER,Cult Store - Gaur Central Mall,24946
CROSS-SELL,Cult Store - Gaur Central Mall,5327
NON-FS-MEMBER,Cult Store - Indirapuram Habitat Centre,10230
