freebie_article_type,category,user_count,order_count,total_gmv,average_gmv,avg_date_dff
Bags,Apparel,26,32,55146.81000000001,776.715633802817,34.014084507042256
Bags,Accessories,28,31,16432.47,357.2276086956522,44.97826086956522
Bags,CS Footwear,9,9,15333.42,1703.7133333333334,30.22222222222222
Bags,Indoor Equipment-Massagers,1,1,8499,8499,3
Bags,Avant Footwear,1,2,1794.8899999999999,897.4449999999999,0
Bags,Sportswear-Accessories,1,1,599,599,36
Bags,Accessories - 3P Brands,1,1,20,20,7
Bottles,Apparel,26,32,55146.810000000005,776.715633802817,34.014084507042256
Bottles,Accessories,28,31,16432.47,357.2276086956522,44.97826086956522
Bottles,CS Footwear,9,9,15333.42,1703.7133333333334,30.22222222222222
Bottles,Indoor Equipment-Massagers,1,1,8499,8499,3
Bottles,Avant Footwear,1,2,1794.8899999999999,897.4449999999999,0
Bottles,Sportswear-Accessories,1,1,599,599,36
Bottles,Accessories - 3P Brands,1,1,20,20,7
Gun massager,Apparel,42,49,73388.34,685.872336448598,25
Gun massager,Accessories,47,58,38557.600000000006,428.4177777777778,17.788888888888888
Gun massager,CS Footwear,15,19,35066.47,1593.9304545454545,24.09090909090909
Gun massager,Indoor Equipment-Massagers,2,5,14566.9,2913.38,8.4
Gun massager,Indoor_Equipment-Strength,1,1,13999,13999,133
Gun massager,Indoor Equipment,2,2,5206.75,2603.375,92.5
Gun massager,Avant Footwear,2,3,2297,765.6666666666666,74
Gun massager,UNMAPPED,2,2,393,131,75.33333333333333
