freebie_article_type,category,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12,Month 12+
Gun massager,Indoor Equipment-Massagers,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Gun massager,Indoor_Equipment-Strength,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Gun massager,Apparel,30,3,5,2,2,0,0,0,0,0,0,0,0,0
Gun massager,Indoor Equipment,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Gun massager,Avant Footwear,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Gun massager,CS Footwear,10,2,2,1,0,0,0,0,0,0,0,0,0,0
Gun massager,Accessories,36,4,3,2,2,0,0,0,0,0,0,0,0,0
Gun massager,UNMAPPED,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Bottles,Sportswear-Accessories,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bottles,Accessories,12,7,5,0,4,0,0,0,0,0,0,0,0,0
Bottles,Apparel,14,7,2,1,2,0,0,0,0,0,0,0,0,0
Bottles,Avant Footwear,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bottles,CS Footwear,5,3,0,1,0,0,0,0,0,0,0,0,0,0
Bottles,Accessories - 3P Brands,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bottles,Indoor Equipment-Massagers,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bags,Accessories - 3P Brands,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bags,Indoor Equipment-Massagers,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bags,Apparel,14,7,2,1,2,0,0,0,0,0,0,0,0,0
Bags,Avant Footwear,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bags,Accessories,12,7,5,0,4,0,0,0,0,0,0,0,0,0
Bags,Sportswear-Accessories,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bags,CS Footwear,5,3,0,1,0,0,0,0,0,0,0,0,0,0
