month,total_amount,base_amount,total_nlc,units,gm,gm_percent
2023-04-01T00:00:00Z,130239423,114065886,3621490144,81744,-3507424258,-30.74910809003842
2023-05-01T00:00:00Z,258696982,225658464,10758814766,135153.25,-10533156302,-46.67742620990277
2023-06-01T00:00:00Z,212406474,183758914,1639172203,56968,-1455413289,-7.920232315913665
2023-07-01T00:00:00Z,205925403,179490556,6846908141,64724.259999999995,-6667417585,-37.14634203372795
2023-08-01T00:00:00Z,253052261,218176995,8827185698,98833,-8609008703,-39.45882884215176
2023-09-01T00:00:00Z,371389640,320716887,1567248929,100214,-1246532042,-3.886705354557772
2023-10-01T00:00:00Z,532416519,458338087,4513446851,147311,-4055108764,-8.847418268340418
2023-11-01T00:00:00Z,286063540,249006575,2789466216,348721,-2540459641,-10.202379760454116
2023-12-01T00:00:00Z,294437197,252719180,13478521495,331842,-13225802315,-52.33398713544417
2024-01-01T00:00:00Z,195268883,168745584,593333354,43400,-424587770,-2.5161415187019056
2024-02-01T00:00:00Z,-34698379,-28639814,763470839,231535,-792110653,27.657674487690457
2024-03-01T00:00:00Z,365091908,312920570,698859263,263564,-385938693,-1.2333439537068465
2024-04-01T00:00:00Z,289885111,259032055,196435737,184625,62596318,0.2416547172125087
2024-05-01T00:00:00Z,169725517,149956781,391733138,259143,-241776357,-1.6123069286209872
2024-06-01T00:00:00Z,219377650,191621473,192843224,157543,-1221751,-0.006375856426069745
2024-07-01T00:00:00Z,205260503,178786030,485234501,281752.64,-306448471,-1.714051545302505
2024-08-01T00:00:00Z,358434433,310409202,612991520,304482,-302582318,-0.9747852707021231
2024-09-01T00:00:00Z,562302202,488133509,1464047635,454325.05,-975914126,-1.9992770584409931
2024-10-01T00:00:00Z,595761235,525192286,740226541,303221.55,-215034255,-0.4094390963693629
2024-11-01T00:00:00Z,262515385,230284033,7845065049,193448.36,-7614781016,-33.06690836007723
2024-12-01T00:00:00Z,366655505,321198995,254096588,205257,67102407,0.20891225702620894
2025-01-01T00:00:00Z,189776617,165630895,394027590,94395,-228396695,-1.3789498330006609
2025-02-01T00:00:00Z,59503570,42577114,35121319,-181575,7455795,0.17511273779617847
2025-03-01T00:00:00Z,484118273,424726771,1979865261,782156,-1555138490,-3.6615033385781093
2025-04-01T00:00:00Z,442308075,388013941,2860054059,924040,-2472040118,-6.371008504562984
2025-05-01T00:00:00Z,423587506,373554086,302632628,375884,70921458,0.18985592892162878
2025-06-01T00:00:00Z,404240731,356873271,300213226,287836,56660045,0.1587679706054534
2025-07-01T00:00:00Z,450116023,395409247,286579596,224541,108829651,0.2752329436544513
2025-08-01T00:00:00Z,605848955,534444687,898820367,537527,-364375680,-0.6817837072071034
2025-09-01T00:00:00Z,575143794,512163238,489620944,432327,22542294,0.04401388527616268
2025-10-01T00:00:00Z,506955228,462209553,6236142761,308729,-5773933208,-12.49202481974664
2025-11-01T00:00:00Z,412912842,371646696,342493534,232892,29153162,0.07844321586542505
2025-12-01T00:00:00Z,460848559,418331914,348495092,19247,69836822,0.166941176761379
2026-01-01T00:00:00Z,508846586,459448602,567678162,346146,-108229560,-0.23556402071716392
2026-02-01T00:00:00Z,473414894,429628095,839017335,286917,-409389240,-0.9528921519901998
2026-03-01T00:00:00Z,631522204,567887242,2757354013,263332.5,-2189466771,-3.8554603961326532
