month,business_category,total_amount,base_amount,total_nlc,units,gm,gm_percent
2023-04-01T00:00:00Z,3P Brand,0,0,0,169,0,NaN
2023-04-01T00:00:00Z,Accessories,845364,785798,434242,2476,351556,0.4473872420138509
2023-04-01T00:00:00Z,Apparel,12176046,11359876,7094369,16641,4265507,0.37548886977287427
2023-04-01T00:00:00Z,Asset Clearing-Furniture & Fixtures,-722662,-612425,308639,-21,-921064,1.5039621178103442
2023-04-01T00:00:00Z,Asset Clearing-Office Equipments,-152304,-126580,44303,-2,-170883,1.35
2023-04-01T00:00:00Z,Asset_Clearing-Furniture_&_Fixtures,-16727,-14175,4961,-1,-19136,1.3499823633156967
2023-04-01T00:00:00Z,Asset_Clearing-Office_Equipments,-862080,-673500,235725,-1,-909225,1.35
2023-04-01T00:00:00Z,Avant Footwear,13591110,12134855,296238790,31327,-284103935,-23.412223302214983
2023-04-01T00:00:00Z,CF.DEFAULT,6677520,5658916,9435190,1536,-3776274,-0.6673140226856168
2023-04-01T00:00:00Z,CS Footwear,4998860,4225402,2752523,1571,1472879,0.348577247797961
2023-04-01T00:00:00Z,CS-Nutra,179743,152324,2195775,129,-2043451,-13.415161103962607
2023-04-01T00:00:00Z,Civil & Interior.-Others,-3186,-2700,945,-1,-3645,1.35
2023-04-01T00:00:00Z,Civil & Interior.Furniture & Fixtures,-286976,-243200,803950,-22,-1047150,4.305715460526316
2023-04-01T00:00:00Z,Commercial Equipment,15318679,12982822,214427479,9642,-201444657,-15.51624577460894
2023-04-01T00:00:00Z,Electrical Fittings,-253936,-215200,75320,-1,-290520,1.35
2023-04-01T00:00:00Z,Facility,-8260,-7000,2450,-1,-9450,1.35
2023-04-01T00:00:00Z,Facility Item,0,0,8959,0,-8959,-Infinity
2023-04-01T00:00:00Z,Gym Equipment.Fabrication,-107616,-91200,80010,-6,-171210,1.8773026315789474
2023-04-01T00:00:00Z,Gym Equipment.Gymnastics Others,4295,3640,12740,10,-9100,-2.5
2023-04-01T00:00:00Z,Gym Equipment.Rubber Floor Exp,-371304,-314664,9251122,-84,-9565786,30.400001271197212
2023-04-01T00:00:00Z,HVAC.AC,-1120942,-875736,306508,-2,-1182244,1.3500004567586579
