month,business_unit,total_amount,base_amount,total_nlc,units,gm,gm_percent
2023-04-01T00:00:00Z,Cultgear Pvt Ltd,121761519,106612694,3292831281,63718,-3186218587,-29.885921342537316
2023-04-01T00:00:00Z,Cultsport Private Limited,8477904,7453192,328658863,18026,-321205671,-43.09639024460929
2023-05-01T00:00:00Z,Cultgear Pvt Ltd,239931507,209073833,7875721194,92952.25,-7666647361,-36.6695690751506
2023-05-01T00:00:00Z,Cultsport Private Limited,18765475,16584631,2883093572,42201,-2866508941,-172.8412854648379
2023-06-01T00:00:00Z,Cultgear Pvt Ltd,201749157,174359229,1132791868,37850,-958432639,-5.4968850487403795
2023-06-01T00:00:00Z,Cultsport Private Limited,10657316,9399684,506380336,19118,-496980652,-52.87205952880969
2023-07-01T00:00:00Z,Cultgear Pvt Ltd,225325607,195385528,2656330553,56003.26,-2460945025,-12.595329092132147
2023-07-01T00:00:00Z,Cultsport Private Limited,-19400204,-15894972,4190577588,8721,-4206472560,264.6417093405386
2023-08-01T00:00:00Z,Cultgear Pvt Ltd,240890543,207439896,7978751614,77536,-7771311718,-37.46295610368027
2023-08-01T00:00:00Z,Cultsport Private Limited,12161718,10737099,848434085,21297,-837696986,-78.01893099802842
2023-09-01T00:00:00Z,Cultgear Pvt Ltd,346860413,298939616,1096480064,61473,-797540448,-2.667898148367194
2023-09-01T00:00:00Z,Cultsport Private Limited,24529227,21777271,470768865,38741,-448991594,-20.61744072524055
2023-10-01T00:00:00Z,Cultgear Pvt Ltd,512484465,440642980,4068012777,109245,-3627369797,-8.231992705296246
2023-10-01T00:00:00Z,Cultsport Private Limited,19932054,17695107,445434074,38066,-427738967,-24.17272565800252
2023-11-01T00:00:00Z,Cultgear Pvt Ltd,271314653,235988491,875528432,328136,-639539941,-2.710047164969583
2023-11-01T00:00:00Z,Cultsport Private Limited,14748887,13018084,1913937784,20585,-1900919700,-146.02146521715486
2023-12-01T00:00:00Z,Cultgear Pvt Ltd,275611187,236234284,13402372047,305044,-13166137763,-55.73339119143265
2023-12-01T00:00:00Z,Cultsport Private Limited,18826010,16484896,76149448,26798,-59664552,-3.619346582471615
2024-01-01T00:00:00Z,Cultgear Pvt Ltd,183111886,158004198,436754916,17141,-278750718,-1.764198176557309
2024-01-01T00:00:00Z,Cultsport Private Limited,12156997,10741386,156578437,26259,-145837051,-13.577116677493947
2024-02-01T00:00:00Z,Cultgear Pvt Ltd,-45413820,-38053223,697958196,208831,-736011419,19.341631561668244
2024-02-01T00:00:00Z,Cultsport Private Limited,10715441,9413409,65512643,22704,-56099234,-5.959502450175064
2024-03-01T00:00:00Z,Cultgear Pvt Ltd,349506607,299058610,560596050,227516,-261537440,-0.8745357306382183
2024-03-01T00:00:00Z,Cultsport Private Limited,15585301,13861960,138263213,36048,-124401253,-8.974290287953508
2024-04-01T00:00:00Z,Cultgear Pvt Ltd,276998371,247587644,169959560,159008,77628084,0.3135377951251881
2024-04-01T00:00:00Z,Cultsport Private Limited,12886740,11444410,26476176,25617,-15031766,-1.3134592346831335
2024-05-01T00:00:00Z,Cultgear Pvt Ltd,158403134,139848835,361046615,236871,-221197780,-1.5816919747668974
2024-05-01T00:00:00Z,Cultsport Private Limited,11322382,10107946,30686523,22272,-20578577,-2.0358811770462566
2024-06-01T00:00:00Z,Cultgear Pvt Ltd,447106687,390158475,330528506,227182,59629969,0.1528352523932743
2024-06-01T00:00:00Z,Cultsport Private Limited,8596100,7647300,19779012,18800,-12131712,-1.5864046133929621
2024-06-01T00:00:00Z,,-236325137,-206184302,-157464293,-88439,-48720009,0.23629349338146993
