quarter_year,year,quarter,total_amount,base_amount,total_nlc,units,gm,gm_percent
Q1-2024,2024,1,525662412,453026339,2055663456,538499,-1602637117,-3.5376245905207733
Q1-2025,2025,1,733398460,632934780,2409014171,694976,-1776079391,-2.8061017455858566
Q1-2026,2026,1,1613783684,1456963939,4164049510,896395.5,-2707085571,-1.8580319653333575
Q2-2023,2023,2,601342878,523483264,16019477114,273865.25,-15495993850,-29.601698689645215
Q2-2024,2024,2,678988277,600610309,781012099,601311,-180401790,-0.300364125118605
Q2-2025,2025,2,1270136312,1118441298,3462899913,1587760,-2344458615,-2.0961838758926086
Q3-2023,2023,3,830367304,718384437,17241342769,263771.26,-16522958332,-23.00016186458672
Q3-2024,2024,3,1125997138,977328740,2562273655,1040559.69,-1584944915,-1.6217111501294845
Q3-2025,2025,3,1631108772,1442017172,1675020907,1194395,-233003735,-0.16158180327134136
Q4-2023,2023,4,1112917256,960063842,20781434563,827874,-19821370721,-20.645888173132555
Q4-2024,2024,4,1224932125,1076675315,8839388178,701926.9099999999,-7762712863,-7.209892114039969
Q4-2025,2025,4,1380716629,1252188163,6927131386,560868,-5674943223,-4.5320211376251445
