business_category,item_code,total_amount,base_amount,total_nlc,units,gm,gm_percent
,Sale Of Asset,79121,67052,3878214,5,-3811162,-56.838901151345226
,Sales Discount,-41311515,-39372015,46087340,-1230,-85459355,2.1705608666460177
3P Brand,AZAAA00000072,368,312,109,1,203,0.6506410256410257
3P Brand,AZAAA00000092,413,350,245,2,105,0.3
3P Brand,AZCOM026,0,0,0,16,0,NaN
3P Brand,AZCOM027,0,0,0,50,0,NaN
3P Brand,AZCOM028,0,0,0,54,0,NaN
3P Brand,AZCOM029,0,0,0,49,0,NaN
3P Brand,AZMT078OLBKL,784,700,245,1,455,0.65
3P Brand,BL803638,210,200,174,3,26,0.13
3P Brand,BL803639,-281,-267,-232,-4,-35,0.13108614232209737
3P Brand,BL803640,-145,-138,-120,-2,-18,0.13043478260869565
3P Brand,Bailey,8771133,7434217,6226464,474,1207753,0.16245866915103502
3P Brand,CK803686,-6440,-5458,-4750,-10,-708,0.12971784536460243
3P Brand,CK803687,-23188,-19651,-17088,-6,-2563,0.13042593252251794
3P Brand,CS700257S,-1626,-1549,-360,-1,-1189,0.7675919948353777
3P Brand,CS700500XXL,-6469,-6161,-1167,-3,-4994,0.8105826976140237
3P Brand,CSN0023,4012,3400,2720,8,680,0.2
3P Brand,DP803705,-172,-154,-220,-1,66,-0.42857142857142855
3P Brand,DSC803679,-18886,-16862,-26660,-5,9798,-0.5810698612264262
3P Brand,Drayton,16567334,14040113,10491256,1401,3548857,0.2527655582259203
3P Brand,EV803635,-2531,-2145,-1864,-8,-281,0.131002331002331
3P Brand,EV803636,-1540,-1305,-1165,-5,-140,0.10727969348659004
3P Brand,HRDB01RHBK10,129158,109456,75440,46,34016,0.31077327876041516
3P Brand,HRDB01RHBK12.5,21011,18272,4100,2,14172,0.7756129597197898
3P Brand,HRDB01RHBK2.5,48381,41001,34440,84,6561,0.16002048730518767
3P Brand,HRDB01RHBK5,133727,113328,80360,98,32968,0.29090780742623185
3P Brand,HRDB01RHBK7.5,189036,160200,110700,90,49500,0.3089887640449438
3P Brand,Hampson,13086251,11091513,8738104,953,2353409,0.2121810613213905
3P Brand,Kelly,2721052,2305977,2867996,458,-562019,-0.24372272576873055
3P Brand,MY803660,61,58,51,1,7,0.1206896551724138
3P Brand,Marsh,18215852,15437162,11960466,1162,3476696,0.22521600796830402
3P Brand,NAS804828,182,163,142,1,21,0.12883435582822086
3P Brand,NAS804829,2524,2254,1960,8,294,0.13043478260869565
3P Brand,NAS804830,2145,1915,1665,5,250,0.13054830287206268
3P Brand,NAS804831,183,163,142,1,21,0.12883435582822086
