business_category,year,total_amount,base_amount,total_nlc,total_units,gm,gm_percent,total_unique_sku_code,total_unique_styleid,total_unique_pincode
,FY23,0,0,0,2,0,NaN,1,1,1
,FY24,-6789107,-6789107,-1973323,580,-4815784,0.7093398292293818,2,1,242
,FY25,-7894017,-7766586,2739372,-336,-10505958,1.352712504567644,2,1,168
,FY26,-26549270,-24749270,49199505,-1469,-73948775,2.987917421402732,2,1,275
3P Brand,FY23,38871,37020,44087,119,-7067,-0.19089681253376553,2,2,10
3P Brand,FY24,60623771,51374703,45212679,4951,6162024,0.11994276638445968,57,12,21
3P Brand,FY25,37255107,31496210,25588665,934,5907545,0.18756367829653156,569,105,45
3P Brand,FY26,4549164,3902573,3818599,1619,83974,0.021517598773937094,312,34,66
Accessories,FY23,45272210,39102867,47923799,333396,-8820932,-0.22558274307610232,332,210,51
Accessories,FY24,6004256,5107450,8890379,31525,-3782929,-0.7406688269097104,427,277,56
Accessories,FY25,87442000,74704319,49355455,195054,25348864,0.3393226032888406,490,340,65
Accessories,FY26,403312331,350229397,177699188,687988,172530209,0.49262058090457783,652,531,835
Accessories.Bicycles,FY23,14784,13200,62524,30,-49324,-3.736666666666667,1,1,1
Accessories.Bicycles,FY24,0,0,16464000,0,-16464000,-Infinity,1,1,1
Accessories.Bicycles,FY25,42304,38880,720316800,500,-720277920,-18525.666666666668,2,1,2
Apparel,FY23,188386408,176591559,410580385,361254,-233988826,-1.3250283723923633,4624,1073,34
Apparel,FY24,108556571,101955833,87029751,241149,14926082,0.14639752882015097,6478,1413,35
Apparel,FY25,184973695,175544756,130098367,387834,45446389,0.2588877619334866,10376,2266,46
Apparel,FY26,737753122,700572998,269062475,1003838,431510523,0.6159394156381688,15628,3415,71
Asset Clearing-Furniture & Fixtures,FY23,722662,612425,308639,21,303786,0.4960378821896559,9,1,1
Asset Clearing-Furniture & Fixtures,FY24,-722662,-612425,26957639,-21,-27570064,45.01786177899334,10,1,2
Asset Clearing-Office Equipments,FY23,152304,126580,44303,2,82277,0.65,2,1,1
Asset Clearing-Office Equipments,FY24,-105104,-86580,11244303,798,-11330883,130.8718295218295,3,1,2
Asset Clearing-Office Equipments,FY25,126180,106932,158408842,6170,-158301910,-1480.3979164328732,1,1,7
Asset Clearing-Office Equipments,FY26,75502,63985,22160775,6700,-22096790,-345.34328358208955,1,1,3
Asset_Clearing-Furniture_&_Fixtures,FY23,16727,14175,4961,1,9214,0.6500176366843033,1,1,1
Asset_Clearing-Furniture_&_Fixtures,FY24,-16727,-14175,4961,-1,-19136,1.3499823633156967,1,1,1
Asset_Clearing-Office_Equipments,FY23,862080,673500,235725,1,437775,0.65,1,1,1
Asset_Clearing-Office_Equipments,FY24,-862080,-673500,235725,-1,-909225,1.35,1,1,1
Avant Footwear,FY23,16384830,14578062,7614136937,45640.07,-7599558875,-521.3010395346103,141,6,7
Avant Footwear,FY24,181572563,161653886,7925664412,335387,-7764010526,-48.02860431081749,877,92,25
Avant Footwear,FY25,246661635,219560862,244225967,1020778,-24665105,-0.11233835017463176,1571,164,102
Avant Footwear,FY26,294857885,270699461,328687138,1216086,-57987677,-0.21421423147938962,2478,345,161
Azani-Nutraceuticals,FY24,420994,356774,7772426,769,-7415652,-20.78529265024918,3,1,8
Azani-Nutraceuticals,FY25,-1284,-1088,952,-3,-2040,1.875,1,1,2
Box,FY24,258076,218709,139607,8671,79102,0.3616769314477228,3,3,6
Box,FY25,92239,78169,71264,10099,6905,0.08833425015031535,4,2,14
Box,FY26,327965,277937,217448,24961,60489,0.21763565124470655,6,1,148
CF.DEFAULT,FY23,42743467,36263566,293904236,9384,-257640670,-7.104670015077944,46,1,54
CF.DEFAULT,FY24,50132717,42486841,898030582,18468,-855543741,-20.136675753323246,27,1,38
CF.DEFAULT,FY25,30933403,26214706,893456549,10162,-867241843,-33.08226470287327,10,1,134
CF.DEFAULT,FY26,22205806,22044426,3487214702,16540,-3465170276,-157.19031541125182,16,2,24
CS Footwear,FY23,106216926,90897040,91812883,103773,-915843,-0.010075608622679023,767,138,18
CS Footwear,FY24,102391393,87470069,74542570,66727,12927499,0.147793401191898,1219,243,30
CS Footwear,FY25,78244915,67182393,53601163,50820,13581230,0.20215460321575623,1451,303,46
CS Footwear,FY26,330535385,303418672,160062438,170286,143356234,0.4724700462732234,2223,465,73
CS Nutra,FY24,1449,1228,860,4,368,0.2996742671009772,1,1,2
CS Nutra,FY25,-14607,-12379,-10764,-36,-1615,0.1304628806850311,1,1,0
CS-Nutra,FY24,1667774,1413367,18881787,1181,-17468420,-12.3594367209649,1,1,10
CS-Nutra,FY25,779,660,62044,-3,-61384,-93.0060606060606,1,1,4
Civil & Interior.-Others,FY23,3186,2700,945,1,1755,0.65,1,1,1
Civil & Interior.-Others,FY24,-3186,-2700,945,-1,-3645,1.35,1,1,1
Civil & Interior.Flooring-Rubber Tiles,FY23,373824,316800,121968000,1100,-121651200,-384,1,1,1
Civil & Interior.Furniture & Fixtures,FY23,918040,778000,7394450,213,-6616450,-8.50443444730077,5,1,7
Civil & Interior.Furniture & Fixtures,FY24,-286976,-243200,803950,-22,-1047150,4.305715460526316,5,1,1
Civil & Interior.Miscellaneous,FY23,0,0,11846507,0,-11846507,-Infinity,1,1,2
Commercial Equipment,FY23,141196096,119663994,1476372829,22106,-1356708835,-11.33765295348574,427,264,61
Commercial Equipment,FY24,422386313,357956964,8302395080,139713,-7944438116,-22.193835893635526,1107,926,120
Commercial Equipment,FY25,530114381,447980802,439512210,225277,8468592,0.018903917226345785,1247,991,141
Commercial Equipment,FY26,677052363,574317856,3079323244,312402,-2505005388,-4.36170556396561,1384,1158,216
Commercial Equipment - Trading,FY23,29500,25000,8750,1,16250,0.65,1,1,1
Commercial Equipment spare part,FY25,-2,-2,0,0,-2,1,5,1,1
Commercial Equipment-Install,FY25,-255720,-216712,75849,-1,-292561,1.3499990771161725,1,1,1
Debtors Knockoff,FY23,-13439506,-13439506,-4703827,51,-8735679,0.6500000074407497,1,1,29
Debtors Knockoff,FY24,-1923501,-1923501,679126,5,-2602627,1.3530676615192818,1,1,8
Debtors Knockoff,FY25,17363671,17363671,258121977,1243,-240758306,-13.865633943421296,1,1,84
Debtors Knockoff,FY26,-6739428,-6739428,2596857,4,-9336285,1.385323057090305,2,1,13
Dry Grocery,FY23,4378,3711,28571,22,-24860,-6.699002964160604,1,1,1
Dry Grocery,FY24,-35187,-29819,57956,-16,-87775,2.9435930111673767,3,1,1
Electrical Fittings,FY23,253936,215200,75320,1,139880,0.65,1,1,1
Electrical Fittings,FY24,-253936,-215200,75320,-1,-290520,1.35,1,1,1
Facility,FY23,8260,7000,2450,1,4550,0.65,1,1,1
Facility,FY24,204022,172900,117915,29,54985,0.3180161943319838,2,1,5
Facility,FY25,29913,25350,150987,17,-125637,-4.956094674556213,1,1,5
Facility,FY26,1462305,1239540,946820,225,292720,0.23615212094809365,3,1,38
Facility Item,FY23,-58608759,-49689642,19762752854,48801,-19812442496,398.7237922945792,5,1,9
Facility Item,FY24,15315880,13029399,312665405,4062,-299636006,-22.996916895399398,7,1,20
Facility Item,FY25,38310342,33266210,45321987,65,-12055777,-0.36240308108437963,3,1,15
Facility Item,FY26,-10761952,-10761952,36321033,12,-47082985,4.374948429429903,2,1,13
Furniture & Fixtures,FY25,7275,6165,2158,1,4007,0.6499594484995945,1,1,1
Gym Equipment,FY23,591829,501550,2741559,1,-2240009,-4.466172864121225,7,1,23
Gym Equipment,FY24,-36175,-30657,44288,-5,-74945,2.4446292853181983,5,1,6
Gym Equipment,FY26,12001,10171,3560,6,6611,0.6499852521875922,4,1,3
Gym Equipment.Bag,FY23,7058,5981,2093,1,3888,0.6500585186423675,1,1,1
Gym Equipment.Ball,FY23,37530,31805,13790,13,18015,0.5664203741550071,2,2,12
Gym Equipment.Ball,FY24,6837,5794,9634,3,-3840,-0.6627545736969278,2,2,7
Gym Equipment.Ball,FY26,1043,884,309,2,575,0.6504524886877828,1,1,2
Gym Equipment.Boxing,FY23,65271,55314,135519,7,-80205,-1.4499945764182667,1,1,1
Gym Equipment.Fabrication,FY23,235352,199451,688679,48,-489228,-2.4528731367604073,5,1,6
Gym Equipment.Fabrication,FY24,-107616,-91200,80010,-6,-171210,1.8773026315789474,3,1,1
Gym Equipment.Flooring,FY23,2762970,2341500,1849705778,7325,-1847364278,-788.9661661328208,1,1,4
Gym Equipment.Flooring,FY24,-791898,-671100,192553777,-1525,-193224877,287.9226300104306,1,1,1
Gym Equipment.Flooring,FY26,258278,218880,291110400,3800,-290891520,-1329,1,1,1
Gym Equipment.Gymnastics Others,FY23,23259980,19711847,1789973033,8000,-1770261186,-89.80696664295334,63,7,22
Gym Equipment.Gymnastics Others,FY24,693985,619190,283772467,1302,-283153277,-457.29626931959496,4,4,10
Gym Equipment.Gymnastics Others,FY25,0,0,11900,0,-11900,-Infinity,1,1,1
Gym Equipment.Gymnastics Others,FY26,839575,711505,49096772,2111,-48385267,-68.00411381508212,8,1,2
Gym Equipment.Rubber Floor Exp,FY23,7676317,6505353,3617776468,17764,-3611271115,-555.123006391813,1,1,17
Gym Equipment.Rubber Floor Exp,FY24,-671268,-568872,1045044564,-835,-1045613436,1838.0469349871323,1,1,4
Gym Equipment.Rubber Floor Exp,FY26,46445,39360,5510400,400,-5471040,-139,1,1,1
Gym Equipment.Weight lifting,FY23,542257,459540,160839,2,298701,0.65,1,1,1
Gym Equipment.Weight lifting,FY24,3658,3100,54250,50,-51150,-16.5,1,1,1
Gym Equipment.services,FY23,2360,2000,700,1,1300,0.65,1,1,1
Gym Equipments-Trading,FY23,14829761,12567594,45641918,176,-33074324,-2.6317148692104473,32,1,17
Gym Equipments-Trading,FY24,-2026041,-1716984,112922305,825,-114639289,66.76782602516971,10,1,6
Gym Equipments-Trading,FY26,851308,721448,1105199,17,-383751,-0.5319177542941418,8,1,3
HVAC.AC,FY23,1120942,875736,306508,2,569228,0.6499995432413421,1,1,1
HVAC.AC,FY24,-1120942,-875736,306508,-2,-1182244,1.3500004567586579,1,1,1
Health Supplements.Protein Supplements,FY24,-2326027,-1971209,315984819,-458,-317956028,161.3000082690369,1,1,1
IE Spare Parts,FY25,1297060,1099204,171267,72,927937,0.8441899774746089,23,1,7
IE Spare Parts,FY26,12071,10230,4,4,10226,0.9996089931573803,11,1,9
IE- Massager,FY24,2754810,2459652,1984297,490,475355,0.19326107920957925,2,1,11
