manual_channel_type,year,total_amount,base_amount,total_nlc,total_units,gm,gm_percent,total_unique_sku_code,total_unique_styleid,total_unique_pincode,total_unique_customer
1P,FY25,273871839,238544585,156764836,90612,81779749,0.34282794136785794,8352,2131,9,1
1P,FY26,1162362156,1033706509,649185243,560363,384521266,0.3719830170867193,18376,4339,36,3
3P,FY23,1703678386,1489688292,13868633785,752559.76,-12378945493,-8.309755510248717,5728,1409,11,2
3P,FY24,1476446337,1275504618,19138702279,648834,-17863197661,-14.004808300113893,10033,2159,19,1
3P,FY25,1377635642,1215974401,1308068330,774649,-92093929,-0.0757367333755244,15498,3313,48,8
3P,FY26,2290211735,2050036347,9769554598,832038,-7719518251,-3.765551894870867,17571,4211,104,63
B2B,FY23,135937526,120200161,34081965835,163060.59999999998,-33961765674,-282.54342915563984,1005,324,217,229
B2B,FY24,209486264,184920981,24367050662,775273,-24182129681,-130.7700702766659,539,133,393,438
B2B,FY25,347476264,310118773,10739048667,1460461.35,-10428929894,-33.62882483093018,1214,255,511,580
B2B,FY26,396862352,359311455,431568927,1367944,-72257472,-0.2010998285595988,9195,3046,1460,2353
B2B MP,FY23,491989592,432743674,2699609727,264385,-2266866053,-5.238357460079243,2383,491,41,4
B2B MP,FY24,779584168,674686573,699663987,154330,-24977414,-0.037020766381844095,4087,1024,43,5
B2B MP,FY25,1187503730,1034822834,808159417,456662.24999999994,226663417,0.21903596398608266,2863,758,68,10
B2B MP,FY26,966844498,876514756,645229517,749996,231285239,0.26386919035507944,3398,869,41,11
Commerical,FY23,229179173,192508361,9874010145,78032.68999999999,-9681501784,-50.29133141910652,751,322,58,42
Commerical,FY24,457902464,388545005,11549967669,148866.50999999998,-11161422664,-28.72620293754645,1312,973,114,116
Commerical,FY25,535683937,452637059,1345266466,212235,-892629407,-1.972064348800923,1207,931,128,156
Commerical,FY26,510117416,431788564,3304650414,257129,-2872861850,-6.653399579151429,1492,1144,142,154
EBO,FY25,3975447,3632774,1635749,4063,1997025,0.5497245355752931,1701,742,5,1
EBO,FY26,241957684,225710789,107300598,230664,118410191,0.5246102391676102,9707,2526,13,1
Liquidation,FY23,18003201,16811127,101908152,61748,-85097025,-5.061946471524485,1611,371,7,7
Liquidation,FY24,23303553,20550497,245733305,61652,-225182808,-10.957535868840544,2284,670,7,7
Liquidation,FY25,3293656,2795570,206100726,12573,-203305156,-72.72404411264965,86,48,8,8
Liquidation,FY26,5095160,4489640,20314393,39893,-15824753,-3.524726481410536,2467,1087,7,5
Offline,FY24,20520618,18971119,17377194,109477,1593925,0.08401850201877918,42,8,5,5
Offline,FY25,14121960,12065208,14250185,20156,-2184977,-0.18109733375504178,56,5,8,7
Offline,FY26,59259812,54472474,198214270,70684,-143741796,-2.638796908691902,954,285,143,145
Online,FY25,5087482,4426108,2781911,170,1644197,0.3714769273592059,53,31,86,90
Online,FY26,9385805,8113378,5901372,700,2212006,0.2726368720895292,152,74,451,526
Others,FY23,1233658,1045473,85771617,53,-84726144,-81.04096805943338,8,3,4,4
Others,FY24,239814,203232,1270580,80,-1067348,-5.251869784285939,20,17,4,4
To Check,FY23,0,0,0,2,0,NaN,1,1,1,1
To Check,FY24,97729802,87258751,74200700,5025,13058051,0.14964746630398137,27,1,2,2
To Check,FY25,80297,68102,24675,7,43427,0.6376758391824029,4,2,3,5
To Check,FY26,10882,9316,15603,18,-6287,-0.6748604551309575,17,17,3,3
,FY23,5236418,4456736,13992931,257,-9536195,-2.139726248088287,90,24,5,5
,FY24,5076828,4317104,3951525,472,365579,0.08468153651151328,67,38,6,6
,FY25,14585744,12463730,9587142,7185,2876588,0.2307967197620616,254,164,24,24
,FY26,253637897,225457343,1097166782,129989.5,-871709439,-3.866405180690877,1524,961,814,1095
