Date,Install Type - Source,Installs
2026-03-01T00:00:00Z,New - Organic,44151
2026-03-01T00:00:00Z,No Device ID - Organic,0
2026-03-01T00:00:00Z,Re-Install - Organic,23283
2026-03-01T00:00:00Z,TOTAL,191987
2026-03-01T00:00:00Z,New - Paid,98213
2026-03-01T00:00:00Z,No Device ID - Paid,0
2026-03-01T00:00:00Z,Re-Install - Paid,26340
2026-02-01T00:00:00Z,Re-Install - Paid,21678
2026-02-01T00:00:00Z,No Device ID - Organic,0
2026-02-01T00:00:00Z,New - Organic,36595
2026-02-01T00:00:00Z,TOTAL,167492
2026-02-01T00:00:00Z,No Device ID - Paid,0
2026-02-01T00:00:00Z,Re-Install - Organic,19594
2026-02-01T00:00:00Z,New - Paid,89625
2026-01-01T00:00:00Z,TOTAL,205848
2026-01-01T00:00:00Z,No Device ID - Organic,0
2026-01-01T00:00:00Z,New - Organic,49247
2026-01-01T00:00:00Z,Re-Install - Organic,24042
2026-01-01T00:00:00Z,New - Paid,105659
2026-01-01T00:00:00Z,No Device ID - Paid,0
2026-01-01T00:00:00Z,Re-Install - Paid,26900
2025-12-01T00:00:00Z,TOTAL,176161
2025-12-01T00:00:00Z,No Device ID - Organic,0
2025-12-01T00:00:00Z,New - Organic,41492
2025-12-01T00:00:00Z,New - Paid,88500
2025-12-01T00:00:00Z,Re-Install - Organic,21918
2025-12-01T00:00:00Z,Re-Install - Paid,24251
2025-12-01T00:00:00Z,No Device ID - Paid,0
2025-11-01T00:00:00Z,New - Organic,39280
2025-11-01T00:00:00Z,Re-Install - Organic,21487
2025-11-01T00:00:00Z,TOTAL,172977
2025-11-01T00:00:00Z,Re-Install - Paid,23243
2025-11-01T00:00:00Z,No Device ID - Paid,0
2025-11-01T00:00:00Z,No Device ID - Organic,0
2025-11-01T00:00:00Z,New - Paid,88967
2025-10-01T00:00:00Z,TOTAL,161469
2025-10-01T00:00:00Z,No Device ID - Organic,0
2025-10-01T00:00:00Z,New - Paid,76169
2025-10-01T00:00:00Z,New - Organic,42608
2025-10-01T00:00:00Z,Re-Install - Organic,22093
2025-10-01T00:00:00Z,No Device ID - Paid,0
2025-10-01T00:00:00Z,Re-Install - Paid,20599
2025-09-01T00:00:00Z,New - Organic,42785
2025-09-01T00:00:00Z,New - Paid,76649
2025-09-01T00:00:00Z,TOTAL,164484
2025-09-01T00:00:00Z,No Device ID - Organic,0
2025-09-01T00:00:00Z,No Device ID - Paid,0
2025-09-01T00:00:00Z,Re-Install - Paid,22108
2025-09-01T00:00:00Z,Re-Install - Organic,22942
2025-08-01T00:00:00Z,No Device ID - Paid,0
2025-08-01T00:00:00Z,TOTAL,190782
2025-08-01T00:00:00Z,No Device ID - Organic,0
2025-08-01T00:00:00Z,New - Paid,90009
