month,activitytype,users,days
"February 1, 2025",HEART_RATE_VARIABILITY,"29,694",6.72
"August 1, 2025",HEART_RATE_VARIABILITY,"26,648",6.82
"April 1, 2023",SLEEP,"15,865",17.72
"June 1, 2024",CALORIES_BURNT,"38,690",8.86
"September 1, 2023",CALORIES_BURNT,"9,368",6.4
"May 1, 2025",HEART_RATE,"30,549",8.59
"December 1, 2023",CALORIES_BURNT,"35,854",7.88
"August 1, 2024",HEART_RATE_VARIABILITY,"15,237",7.07
"February 1, 2024",STEPS_SERIES,"6,665",1.58
"June 1, 2024",STEPS_SERIES,"1,884",2.06
"March 1, 2026",HEART_RATE,"18,330",8.2
"April 1, 2025",HEART_RATE_VARIABILITY,"26,582",8.04
"July 1, 2025",HEART_RATE_SERIES,"20,378",5.51
"February 1, 2024",HEART_RATE_SERIES,"6,663",1.58
"June 1, 2024",HEART_RATE_SERIES,"1,884",2.06
"January 1, 2025",HEALTH_METRIC_TIME_SERIES,5,1.8
"March 1, 2025",WALK,"83,521",17.07
"March 1, 2024",HEART_RATE,"17,910",7.12
"July 1, 2024",SLEEP,"19,500",15.48
"November 1, 2025",WALK,"59,290",22.45
"December 1, 2024",HEART_RATE,"26,466",8.61
"July 1, 2024",HEART_RATE,"17,439",8.47
"February 1, 2024",WALK,"84,162",21.03
"October 1, 2023",CALORIES_BURNT,"8,618",6.64
"March 1, 2026",RESTING_HEART_RATE,"15,019",6.63
"September 1, 2024",HEART_RATE_SERIES,"1,191",1.64
"February 1, 2026",CALORIE_BURNT_SERIES,"17,277",5.31
"November 1, 2025",HEART_RATE,"24,554",6.96
"October 1, 2023",HEART_RATE_VARIABILITY,"3,324",6.55
"June 1, 2025",SLEEP,"6,468",11.2
"November 1, 2024",SLEEP,"12,728",12.63
"May 1, 2023",HEART_RATE_VARIABILITY,"4,085",6.46
"July 1, 2024",HEART_RATE_SERIES,"1,570",1.81
"December 1, 2024",HEALTH_METRIC_TIME_SERIES,5,2.8
"January 1, 2024",WALK,"81,774",22.23
"August 1, 2024",WALK,"100,180",22.18
"April 1, 2023",CALORIES_BURNT,"11,434",6.17
"September 1, 2023",HEART_RATE,"4,529",8.8
"March 1, 2024",STEPS_SERIES,"23,491",3.32
"January 1, 2025",HEART_RATE_SERIES,"15,131",3.59
"March 1, 2026",STEPS_SERIES,"17,384",6.1
"November 1, 2024",HEART_RATE,"25,179",7.61
"June 1, 2023",HEART_RATE,"5,114",8.36
"July 1, 2025",STEPS_SERIES,"20,378",5.51
"November 1, 2025",RESTING_HEART_RATE,"8,600",7.82
"December 1, 2025",RESTING_HEART_RATE,"10,357",8.33
"October 1, 2023",SLEEP,"4,609",10.66
"June 1, 2024",HEALTH_METRIC_TIME_SERIES,16,1.94
"November 1, 2024",HEALTH_METRIC_TIME_SERIES,8,1.13
"June 1, 2025",CALORIES_BURNT,"71,566",9.53
"July 1, 2024",WALK,"100,475",22.6
"January 1, 2026",HEART_RATE_VARIABILITY,"24,877",7.75
"January 1, 2025",CALORIES_BURNT,"80,303",10.24
"October 1, 2025",HEART_RATE,"25,341",6.78
"June 1, 2023",SLEEP,"14,669",17.58
"June 1, 2024",WALK,"96,860",21.71
"October 1, 2023",WALK,"58,568",21.18
"August 1, 2024",CALORIES_BURNT,"42,984",8.2
"January 1, 2024",HEART_RATE_VARIABILITY,"15,977",7.06
"July 1, 2024",CALORIES_BURNT,"42,339",8.91
"September 1, 2024",CALORIE_BURNT_SERIES,"1,191",1.64
"September 1, 2023",SLEEP,"4,991",10.94
"December 1, 2025",CALORIES_BURNT,"57,365",8.98
"December 1, 2025",HEART_RATE,"24,869",7.86
"May 1, 2023",CALORIES_BURNT,"10,818",6.56
"July 1, 2025",HEART_RATE_VARIABILITY,"28,790",7.38
"October 1, 2024",CALORIE_BURNT_SERIES,"1,143",1.57
"October 1, 2024",CALORIES_BURNT,"51,133",7.72
"March 1, 2025",HEART_RATE,"30,294",8.6
"September 1, 2025",HEART_RATE,"28,679",6.87
"December 1, 2023",SLEEP,"16,353",13.49
"November 1, 2023",WALK,"69,117",19.54
"January 1, 2025",WALK,"85,370",17
"January 1, 2025",HEART_RATE_VARIABILITY,"26,866",8.17
"January 1, 2025",STEPS_SERIES,"15,131",3.59
"June 1, 2025",WALK,"78,867",15.71
"November 1, 2025",SLEEP,"5,875",12.74
"October 1, 2024",HEART_RATE_VARIABILITY,"17,562",6.65
"February 1, 2026",SLEEP,"6,113",10.39
"September 1, 2025",SLEEP,"6,377",12.27
"November 1, 2023",CALORIES_BURNT,"34,369",6.27
"April 1, 2024",HEALTH_METRIC_TIME_SERIES,158,5.13
"December 1, 2024",CALORIE_BURNT_SERIES,601,1.25
"October 1, 2024",HEALTH_METRIC_TIME_SERIES,6,3.83
"May 1, 2024",HEART_RATE,"15,108",8.79
"June 1, 2025",HEART_RATE_SERIES,"22,374",5.87
"February 1, 2025",CALORIES_BURNT,"88,203",8.27
"March 1, 2026",CALORIES_BURNT,"47,027",9.12
"February 1, 2026",HEART_RATE_VARIABILITY,"21,025",5.45
"May 1, 2025",STEPS_SERIES,"20,174",6.19
"October 1, 2025",SLEEP,"6,078",13.24
"August 1, 2025",CALORIE_BURNT_SERIES,"15,029",4.96
"April 1, 2023",HEART_RATE_VARIABILITY,"4,214",6.14
"February 1, 2024",HEART_RATE,"18,437",7.59
"December 1, 2025",STEPS_SERIES,"13,697",5.51
"April 1, 2024",HEART_RATE,"13,346",8.45
"July 1, 2025",CALORIE_BURNT_SERIES,"20,378",5.51
"June 1, 2024",HEART_RATE,"16,350",8.36
"July 1, 2024",STEPS_SERIES,"1,570",1.81
"October 1, 2024",STEPS_SERIES,"1,143",1.57
"July 1, 2025",CALORIES_BURNT,"74,607",8.77
"May 1, 2023",SLEEP,"15,230",18.15
"September 1, 2024",HEART_RATE_VARIABILITY,"16,499",6.74
"February 1, 2025",SLEEP,"7,631",10.78
"December 1, 2023",HEART_RATE_VARIABILITY,"13,468",6.6
"July 1, 2025",WALK,"79,365",17.81
"November 1, 2025",HEART_RATE_SERIES,"12,487",4.78
"April 1, 2025",WALK,"83,564",17.05
"June 1, 2025",HEART_RATE_VARIABILITY,"27,836",7.89
