month,business_line,user_base
2026-01-01T00:00:00Z,ELITE,490606
2026-01-01T00:00:00Z,PRO,134174
2026-01-01T00:00:00Z,ELITE (B2B),128339
2026-01-01T00:00:00Z,LIVE (B2B),49129
2026-01-01T00:00:00Z,LIVE,47395
2026-01-01T00:00:00Z,PLAY,34291
2026-01-01T00:00:00Z,ONEPASS (B2B),27258
2026-01-01T00:00:00Z,LUX,18673
2026-01-01T00:00:00Z,GYM_PT,13868
2026-01-01T00:00:00Z,PLAY (B2B),4863
2026-01-01T00:00:00Z,TRANSFORM,3987
2026-01-01T00:00:00Z,PRO (B2B),1540
2026-01-01T00:00:00Z,TRANSFORM (B2B),387
2026-01-01T00:00:00Z,PLAY_PT,139
2026-01-01T00:00:00Z,ONEPASS,54
2026-01-01T00:00:00Z,ONLINE_PT,8
2026-01-01T00:00:00Z,OFFLINE_PT,7
2026-01-01T00:00:00Z,PLAY_ACADEMY,7
2026-01-01T00:00:00Z,SGT,1
2025-12-01T00:00:00Z,ELITE,477026
2025-12-01T00:00:00Z,PRO,129082
2025-12-01T00:00:00Z,ELITE (B2B),118814
2025-12-01T00:00:00Z,LIVE,48184
2025-12-01T00:00:00Z,LIVE (B2B),35364
2025-12-01T00:00:00Z,PLAY,34313
2025-12-01T00:00:00Z,ONEPASS (B2B),25649
2025-12-01T00:00:00Z,LUX,18266
2025-12-01T00:00:00Z,GYM_PT,12457
2025-12-01T00:00:00Z,PLAY (B2B),4026
2025-12-01T00:00:00Z,TRANSFORM,4010
2025-12-01T00:00:00Z,TRANSFORM (B2B),622
2025-12-01T00:00:00Z,PRO (B2B),569
2025-12-01T00:00:00Z,PLAY_PT,88
2025-12-01T00:00:00Z,ONEPASS,54
2025-12-01T00:00:00Z,PLAY_ACADEMY,21
2025-12-01T00:00:00Z,OFFLINE_PT,7
2025-12-01T00:00:00Z,ONLINE_PT,6
2025-12-01T00:00:00Z,SGT,1
2025-11-01T00:00:00Z,ELITE,482908
2025-11-01T00:00:00Z,PRO,128687
2025-11-01T00:00:00Z,ELITE (B2B),114624
2025-11-01T00:00:00Z,LIVE,48403
2025-11-01T00:00:00Z,PLAY,35733
2025-11-01T00:00:00Z,LIVE (B2B),31662
2025-11-01T00:00:00Z,ONEPASS (B2B),24644
2025-11-01T00:00:00Z,LUX,18449
2025-11-01T00:00:00Z,GYM_PT,12479
2025-11-01T00:00:00Z,TRANSFORM,4159
2025-11-01T00:00:00Z,PLAY (B2B),3635
2025-11-01T00:00:00Z,TRANSFORM (B2B),703
2025-11-01T00:00:00Z,PRO (B2B),220
2025-11-01T00:00:00Z,PLAY_PT,61
2025-11-01T00:00:00Z,ONEPASS,52
2025-11-01T00:00:00Z,PLAY_ACADEMY,33
2025-11-01T00:00:00Z,OFFLINE_PT,9
2025-11-01T00:00:00Z,ONLINE_PT,8
2025-11-01T00:00:00Z,SGT,1
2025-10-01T00:00:00Z,ELITE,480416
2025-10-01T00:00:00Z,PRO,127000
2025-10-01T00:00:00Z,ELITE (B2B),111540
2025-10-01T00:00:00Z,LIVE,48129
2025-10-01T00:00:00Z,PLAY,36815
2025-10-01T00:00:00Z,LIVE (B2B),28989
2025-10-01T00:00:00Z,ONEPASS (B2B),23712
2025-10-01T00:00:00Z,LUX,18558
2025-10-01T00:00:00Z,GYM_PT,11674
2025-10-01T00:00:00Z,TRANSFORM,4149
2025-10-01T00:00:00Z,PLAY (B2B),3341
2025-10-01T00:00:00Z,TRANSFORM (B2B),743
2025-10-01T00:00:00Z,PRO (B2B),201
2025-10-01T00:00:00Z,PLAY_PT,61
2025-10-01T00:00:00Z,PLAY_ACADEMY,51
2025-10-01T00:00:00Z,ONEPASS,49
2025-10-01T00:00:00Z,ONLINE_PT,11
2025-10-01T00:00:00Z,SGT,1
2025-10-01T00:00:00Z,OFFLINE_PT,1
2025-09-01T00:00:00Z,ELITE,479790
2025-09-01T00:00:00Z,PRO,124574
2025-09-01T00:00:00Z,ELITE (B2B),110266
2025-09-01T00:00:00Z,LIVE,49673
2025-09-01T00:00:00Z,PLAY,37934
2025-09-01T00:00:00Z,LIVE (B2B),26410
2025-09-01T00:00:00Z,ONEPASS (B2B),23782
2025-09-01T00:00:00Z,LUX,18538
2025-09-01T00:00:00Z,GYM_PT,11751
2025-09-01T00:00:00Z,TRANSFORM,4324
2025-09-01T00:00:00Z,PLAY (B2B),2554
2025-09-01T00:00:00Z,TRANSFORM (B2B),858
2025-09-01T00:00:00Z,PRO (B2B),194
2025-09-01T00:00:00Z,PLAY_PT,151
2025-09-01T00:00:00Z,PLAY_ACADEMY,77
2025-09-01T00:00:00Z,ONEPASS,49
2025-09-01T00:00:00Z,ONLINE_PT,9
2025-09-01T00:00:00Z,SGT,1
