Year,Month,month,liveMemberships,activeMemberships,monthlyActiveMemberships,avg_sessions
2023,4,2023-04-01T00:00:00Z,322220,188422,58.48,10.041210686650178
2023,5,2023-05-01T00:00:00Z,338613,197666,58.38,10.311884694383455
2023,6,2023-06-01T00:00:00Z,345364,202191,58.54,10.137187115153493
2023,7,2023-07-01T00:00:00Z,354220,208462,58.85,10.379383292878318
2023,8,2023-08-01T00:00:00Z,371873,221793,59.64,10.399381405184114
2023,9,2023-09-01T00:00:00Z,385361,223703,58.05,9.634694215097696
2023,10,2023-10-01T00:00:00Z,394945,229594,58.13,9.759758530275182
2023,11,2023-11-01T00:00:00Z,402941,220153,54.64,9.091336479630076
2023,12,2023-12-01T00:00:00Z,404296,223610,55.31,9.467716112875095
2024,1,2024-01-01T00:00:00Z,408056,234082,57.37,10.023372151639169
2024,2,2024-02-01T00:00:00Z,426701,250565,58.72,10.013936503502086
2024,3,2024-03-01T00:00:00Z,433637,253833,58.54,9.99342087120272
2024,4,2024-04-01T00:00:00Z,442436,261683,59.15,10.045509261205352
2024,5,2024-05-01T00:00:00Z,455690,275077,60.36,10.502761045089192
2024,6,2024-06-01T00:00:00Z,460837,276730,60.05,9.958811838253894
2024,7,2024-07-01T00:00:00Z,469883,288307,61.36,10.555709712216492
2024,8,2024-08-01T00:00:00Z,482273,291810,60.51,9.984496761591446
2024,9,2024-09-01T00:00:00Z,491951,299728,60.93,9.899845860246623
2024,10,2024-10-01T00:00:00Z,502233,297746,59.28,9.60640613140059
2024,11,2024-11-01T00:00:00Z,498399,290464,58.28,9.623684862840145
2024,12,2024-12-01T00:00:00Z,501873,288555,57.5,9.64154493943962
2025,1,2025-01-01T00:00:00Z,500196,304094,60.79,10.26837096424132
2025,2,2025-02-01T00:00:00Z,525727,316334,60.17,9.521113759507356
2025,3,2025-03-01T00:00:00Z,529889,320823,60.55,10.2373333582692
2025,4,2025-04-01T00:00:00Z,537048,331229,61.68,10.252163910768683
2025,5,2025-05-01T00:00:00Z,542689,329908,60.79,10.347263479515501
2025,6,2025-06-01T00:00:00Z,556143,345890,62.19,10.207583335742576
2025,7,2025-07-01T00:00:00Z,564297,359302,63.67,11.137196564449962
2025,8,2025-08-01T00:00:00Z,573744,349250,60.87,9.841603435934145
2025,9,2025-09-01T00:00:00Z,583803,357554,61.25,10.054682649334087
2025,10,2025-10-01T00:00:00Z,589242,343685,58.33,9.387968634068988
2025,11,2025-11-01T00:00:00Z,589158,355469,60.34,10.044273902928245
2025,12,2025-12-01T00:00:00Z,590589,350155,59.29,10.133963530436521
2026,1,2026-01-01T00:00:00Z,589967,361772,61.32,10.162016408124455
2026,2,2026-02-01T00:00:00Z,608775,375367,61.66,9.86707142609766
2026,3,2026-03-01T00:00:00Z,599294,374106,62.42,10.291313157233512
