Grain,city_name,service_type,sub_service_type,footfalls
2026-02-01T00:00:00Z,Others,At Home,At Home,28541
2021-08-01T00:00:00Z,Bangalore,At Home,At Home,273169
2021-09-01T00:00:00Z,Mumbai,At Home,At Home,49684
2021-11-01T00:00:00Z,Gurgaon,At Home,At Home,54496
2023-05-01T00:00:00Z,Bangalore,At Home,At Home,123606
2021-05-01T00:00:00Z,Mumbai,At Home,At Home,101822
2022-12-01T00:00:00Z,Bangalore,At Home,At Home,119742
2021-07-01T00:00:00Z,Hyderabad,At Home,At Home,52674
2020-08-01T00:00:00Z,Gurgaon,At Home,At Home,177214
2026-01-01T00:00:00Z,Bangalore,At Home,At Home,61275
2024-04-01T00:00:00Z,Mumbai,At Home,At Home,19882
2026-01-01T00:00:00Z,Hyderabad,At Home,At Home,13323
2026-05-01T00:00:00Z,Bangalore,At Home,At Home,55320
2024-05-01T00:00:00Z,Bangalore,At Home,At Home,87343
2021-06-01T00:00:00Z,Hyderabad,At Home,At Home,71673
2022-06-01T00:00:00Z,Bangalore,At Home,At Home,135136
2023-07-01T00:00:00Z,Bangalore,At Home,At Home,135152
2021-05-01T00:00:00Z,Others,At Home,At Home,212677
2024-07-01T00:00:00Z,Gurgaon,At Home,At Home,32131
2021-04-01T00:00:00Z,Hyderabad,At Home,At Home,57044
2023-12-01T00:00:00Z,Gurgaon,At Home,At Home,25735
2024-04-01T00:00:00Z,Gurgaon,At Home,At Home,29169
2025-03-01T00:00:00Z,Hyderabad,At Home,At Home,15053
2024-10-01T00:00:00Z,Gurgaon,At Home,At Home,23167
2023-12-01T00:00:00Z,Hyderabad,At Home,At Home,14973
2023-07-01T00:00:00Z,Hyderabad,At Home,At Home,22603
2021-09-01T00:00:00Z,Bangalore,At Home,At Home,232749
2023-01-01T00:00:00Z,Mumbai,At Home,At Home,23431
2022-05-01T00:00:00Z,Gurgaon,At Home,At Home,50864
2022-03-01T00:00:00Z,Gurgaon,At Home,At Home,58421
2021-03-01T00:00:00Z,Others,At Home,At Home,113492
2025-08-01T00:00:00Z,Gurgaon,At Home,At Home,23310
2026-04-01T00:00:00Z,Others,At Home,At Home,31436
