month,city_name,user_base
"March 1, 2026",Bangalore,"385,430"
"March 1, 2026",Hyderabad,"192,916"
"March 1, 2026",,"155,871"
"March 1, 2026",Gurgaon,"134,338"
"March 1, 2026",Mumbai,"43,664"
"March 1, 2026",Pune,"38,114"
"March 1, 2026",Chennai,"9,972"
"March 1, 2026",Navi_Mum_And_Thane,"4,404"
"March 1, 2026",Lucknow,"3,404"
"March 1, 2026",Mysore,"2,062"
"March 1, 2026",Bhubaneswar,"1,561"
"March 1, 2026",Chandigarh,"1,482"
"March 1, 2026",Coimbatore,"1,388"
"March 1, 2026",Jammu,"1,353"
"March 1, 2026",Jaipur,"1,335"
"March 1, 2026",Gulbarga,"1,099"
"March 1, 2026",Nagpur,996
"March 1, 2026",Visakhapatnam,995
"March 1, 2026",Kanpur,781
"March 1, 2026",Jabalpur,702
"March 1, 2026",Kota,693
"March 1, 2026",Bhopal,621
"March 1, 2026",Tumkur,615
"March 1, 2026",Patna,514
"March 1, 2026",Mangalore,513
"March 1, 2026",Kochi,403
"March 1, 2026",Indore,393
"March 1, 2026",Bathinda,391
"March 1, 2026",Moradabad,380
"March 1, 2026",Siliguri,300
"March 1, 2026",Belgaum,149
"March 1, 2026",Ahmedabad,62
"March 1, 2026",Kolkata,41
"March 1, 2026",Dehradun,12
"March 1, 2026",Ranchi,11
"March 1, 2026",Amritsar,10
"March 1, 2026",Ludhiana,9
"March 1, 2026",Jamshedpur,7
"March 1, 2026",Allahabad,7
"March 1, 2026",Khanna,3
"March 1, 2026",Agra,3
"March 1, 2026",Roorkee,3
"March 1, 2026",Nashik,3
"March 1, 2026",Guwahati,3
"March 1, 2026",Bareilly,2
"March 1, 2026",Rourkela,1
"March 1, 2026",Bilaspur,1
"March 1, 2026",Muzaffarpur,1
"March 1, 2026",Vadodara,1
"March 1, 2026",Surat,1
"February 1, 2026",Bangalore,"386,630"
"February 1, 2026",Hyderabad,"191,532"
"February 1, 2026",,"145,894"
"February 1, 2026",Gurgaon,"133,259"
"February 1, 2026",Mumbai,"43,641"
"February 1, 2026",Pune,"36,974"
"February 1, 2026",Chennai,"9,603"
"February 1, 2026",Navi_Mum_And_Thane,"4,363"
"February 1, 2026",Lucknow,"3,189"
"February 1, 2026",Mysore,"2,011"
"February 1, 2026",Bhubaneswar,"1,552"
"February 1, 2026",Chandigarh,"1,517"
"February 1, 2026",Jaipur,"1,400"
