Month,Source,User Install Type,#Installs
2017-04-01T00:00:00Z,Paid,New,2
2017-05-01T00:00:00Z,Paid,New,132
2017-05-01T00:00:00Z,Paid,Re-Install,9
2017-06-01T00:00:00Z,Paid,New,113
2017-06-01T00:00:00Z,Paid,Re-Install,5
2017-07-01T00:00:00Z,Paid,New,184
2017-07-01T00:00:00Z,Paid,Re-Install,5
2017-08-01T00:00:00Z,Paid,New,224
2017-08-01T00:00:00Z,Paid,Re-Install,13
2017-09-01T00:00:00Z,Paid,New,278
2017-09-01T00:00:00Z,Paid,Re-Install,17
2017-10-01T00:00:00Z,Paid,New,258
2017-10-01T00:00:00Z,Paid,Re-Install,15
2017-11-01T00:00:00Z,Paid,New,1105
2017-11-01T00:00:00Z,Paid,Re-Install,54
2017-12-01T00:00:00Z,Paid,New,1436
2017-12-01T00:00:00Z,Paid,Re-Install,52
2018-01-01T00:00:00Z,Paid,New,2133
2018-01-01T00:00:00Z,Paid,Re-Install,114
2018-02-01T00:00:00Z,Paid,New,2261
2018-02-01T00:00:00Z,Paid,Re-Install,92
2018-03-01T00:00:00Z,Paid,New,2511
2018-03-01T00:00:00Z,Paid,Re-Install,107
2018-04-01T00:00:00Z,Paid,New,2850
2018-04-01T00:00:00Z,Paid,Re-Install,153
2018-05-01T00:00:00Z,Paid,New,4454
2018-05-01T00:00:00Z,Paid,Re-Install,195
2018-06-01T00:00:00Z,Paid,New,7370
2018-06-01T00:00:00Z,Paid,Re-Install,316
2018-07-01T00:00:00Z,Paid,New,7639
2018-07-01T00:00:00Z,Paid,Re-Install,390
2018-08-01T00:00:00Z,Paid,New,9649
2018-08-01T00:00:00Z,Paid,Re-Install,414
2018-09-01T00:00:00Z,Paid,New,12545
2018-09-01T00:00:00Z,Paid,Re-Install,650
2018-10-01T00:00:00Z,Paid,New,20251
2018-10-01T00:00:00Z,Paid,Re-Install,1150
2018-11-01T00:00:00Z,Paid,New,23930
2018-11-01T00:00:00Z,Paid,Re-Install,1509
2018-12-01T00:00:00Z,Paid,New,50117
2018-12-01T00:00:00Z,Paid,Re-Install,2618
2019-01-01T00:00:00Z,Paid,New,31314
2019-01-01T00:00:00Z,Paid,Re-Install,2928
2019-02-01T00:00:00Z,Paid,New,26986
2019-02-01T00:00:00Z,Paid,Re-Install,3168
