month_start,fiscal_year,total_packs_sold,packs_12m_plus,pct_12m_plus
2023-04-01,FY24,41216,26517,64.340000000000000
2023-05-01,FY24,30094,19914,66.170000000000000
2023-06-01,FY24,33534,22814,68.030000000000000
2023-07-01,FY24,44790,31819,71.040000000000000
2023-08-01,FY24,39484,28967,73.360000000000000
2023-09-01,FY24,38145,28295,74.180000000000000
2023-10-01,FY24,31440,23543,74.880000000000000
2023-11-01,FY24,33723,25704,76.220000000000000
2023-12-01,FY24,41446,32071,77.380000000000000
2024-01-01,FY24,45262,34577,76.390000000000000
2024-02-01,FY24,36189,27501,75.990000000000000
2024-03-01,FY24,37060,28216,76.140000000000000
2024-04-01,FY25,48189,37315,77.430000000000000
2024-05-01,FY25,34553,24208,70.060000000000000
2024-06-01,FY25,39814,29465,74.010000000000000
2024-07-01,FY25,48600,37211,76.570000000000000
2024-08-01,FY25,45913,35851,78.080000000000000
2024-09-01,FY25,45699,35468,77.610000000000000
2024-10-01,FY25,32648,25667,78.620000000000000
2024-11-01,FY25,41707,32969,79.050000000000000
2024-12-01,FY25,46963,38853,82.730000000000000
2025-01-01,FY25,51057,42383,83.010000000000000
2025-02-01,FY25,35392,28733,81.190000000000000
2025-03-01,FY25,44214,36794,83.220000000000000
2025-04-01,FY26,43135,36590,84.830000000000000
2025-05-01,FY26,57390,49060,85.490000000000000
2025-06-01,FY26,42568,35033,82.300000000000000
2025-07-01,FY26,50481,42133,83.460000000000000
2025-08-01,FY26,49584,42235,85.180000000000000
2025-09-01,FY26,47931,40423,84.340000000000000
2025-10-01,FY26,37070,31249,84.300000000000000
2025-11-01,FY26,45581,38569,84.620000000000000
2025-12-01,FY26,49752,43186,86.800000000000000
2026-01-01,FY26,54062,46426,85.880000000000000
2026-02-01,FY26,38143,32533,85.290000000000000
2026-03-01,FY26,67117,59731,89.000000000000000
