month,monthly_hometab_openers,users_booked_class,users_purchased_pack,users_purchased_cultstore_via_app,users_any_activity_or_purchase,pct_users_booked_class,pct_users_purchased_pack,pct_users_purchased_cultstore_via_app,pct_users_any_activity_or_purchase
"April 1, 2023","776,939","318,330","54,999","7,177","333,482",40.97,7.08,0.92,42.92
"May 1, 2023","792,578","327,635","41,214","6,172","340,463",41.34,5.2,0.78,42.96
"June 1, 2023","835,828","338,994","44,481","6,407","352,679",40.56,5.32,0.77,42.2
"July 1, 2023","888,600","353,190","56,224","6,956","370,114",39.75,6.33,0.78,41.65
"August 1, 2023","868,061","357,939","49,580","7,156","373,966",41.23,5.71,0.82,43.08
"September 1, 2023","833,844","355,482","47,075","7,045","371,840",42.63,5.65,0.84,44.59
"October 1, 2023","842,580","358,888","39,741","6,185","372,826",42.59,4.72,0.73,44.25
"November 1, 2023","870,134","335,423","41,263","6,227","349,835",38.55,4.74,0.72,40.2
"December 1, 2023","855,567","344,311","49,702","10,190","366,049",40.24,5.81,1.19,42.78
"January 1, 2024","923,766","372,696","55,278","8,033","391,243",40.35,5.98,0.87,42.35
"February 1, 2024","880,359","381,438","45,140","7,424","396,087",43.33,5.13,0.84,44.99
"March 1, 2024","908,611","390,279","47,518","7,302","406,042",42.95,5.23,0.8,44.69
"April 1, 2024","936,575","410,336","59,182","7,533","426,546",43.81,6.32,0.8,45.54
"May 1, 2024","955,451","424,878","46,189","6,502","439,009",44.47,4.83,0.68,45.95
"June 1, 2024","966,110","433,703","51,264","6,062","448,173",44.89,5.31,0.63,46.39
"July 1, 2024","1,001,606","447,283","60,218","8,117","464,169",44.66,6.01,0.81,46.34
"August 1, 2024","989,347","451,426","56,854","8,625","468,026",45.63,5.75,0.87,47.31
"September 1, 2024","988,612","456,275","56,406","8,966","472,832",46.15,5.71,0.91,47.83
"October 1, 2024","945,399","436,017","41,467","7,499","449,536",46.12,4.39,0.79,47.55
"November 1, 2024","936,507","431,610","50,507","8,137","446,611",46.09,5.39,0.87,47.69
"December 1, 2024","925,678","423,439","55,023","7,841","445,009",45.74,5.94,0.85,48.07
"January 1, 2025","1,195,838","473,045","61,880","7,571","491,025",39.56,5.17,0.63,41.06
"February 1, 2025","1,493,458","467,259","45,052","5,935","480,311",31.29,3.02,0.4,32.16
"March 1, 2025","1,196,630","484,932","55,598","8,023","502,261",40.52,4.65,0.67,41.97
"April 1, 2025","1,169,704","501,592","54,729","8,825","516,864",42.88,4.68,0.75,44.19
"May 1, 2025","1,225,779","511,070","69,253","11,829","528,961",41.69,5.65,0.97,43.15
"June 1, 2025","1,236,489","526,762","54,428","9,761","541,796",42.6,4.4,0.79,43.82
"July 1, 2025","1,290,727","548,202","62,646","11,220","565,216",42.47,4.85,0.87,43.79
"August 1, 2025","1,245,846","530,980","61,258","10,035","550,212",42.62,4.92,0.81,44.16
"September 1, 2025","1,206,520","529,900","58,615","9,613","549,120",43.92,4.86,0.8,45.51
"October 1, 2025","1,211,345","502,036","46,733","10,042","517,745",41.44,3.86,0.83,42.74
"November 1, 2025","1,292,914","517,885","55,389","14,869","535,685",40.06,4.28,1.15,41.43
"December 1, 2025","1,341,017","504,445","60,300","12,016","528,817",37.62,4.5,0.9,39.43
"January 1, 2026","1,473,966","547,270","66,039","14,048","568,474",37.13,4.48,0.95,38.57
"February 1, 2026","1,335,831","538,092","49,104","11,840","553,541",40.28,3.68,0.89,41.44
"March 1, 2026","1,462,961","558,962","79,850","13,724","585,431",38.21,5.46,0.94,40.02
