year,business_category,base_amount,percentage
FY23,Apparel,176591559.0,7.822598951040692
FY23,Equipment and Accessories,1975387161.0,87.5050971917511
FY23,Footwear,105475102.0,4.6723038572082025
FY24,Apparel,91892761.0,3.5803968445458536
FY24,Equipment and Accessories,2232526086.0,86.98540849894265
FY24,Footwear,242133549.0,9.434194656511504
FY25,Apparel,171093288.0,5.252208959460598
FY25,Equipment and Accessories,2805618843.0,86.12667741843897
FY25,Footwear,280837013.0,8.621113622100431
FY26,Apparel,700572998.0,13.29458767958184
FY26,Equipment and Accessories,3994919441.0,75.81052500290708
FY26,Footwear,574118134.0,10.894887317511081
