year,channel_type,percentage
FY23,Ecommerce,0.6598975702104085
FY23,Other Offline/Online Channel,0.3401024297895915
FY24,Ecommerce,0.46849946717394036
FY24,Other Offline/Online Channel,0.5315005328260596
FY25,1P,0.07322823830282635
FY25,EBO,0.0011151862456752549
FY25,Ecommerce,0.36406953466363423
FY25,Other Offline/Online Channel,0.5615870407878641
FY26,1P,0.19616373830141234
FY26,EBO,0.0428325368561661
FY26,Ecommerce,0.38902995190609885
FY26,Other Offline/Online Channel,0.3719737729363227
