sales_type,category,order_id,order_created_date,order_month,user_id,fitso_user_id,source,pack_id,pack_name,membership_service_id,revenue_type,mrp,price,instant_discount,fitcash,platform_fee,total_amount_payable,fitcash_refunded,total_refund,gmv,max_payment_channel,selected_payment_mode,group_order_payment_channel,group_order_payment_mode,is_gift_card_used,gift_card_amount,final_center_name,final_center_service_id,fin_cen_type,fin_cen_city,fin_cen_state,fin_cen_ownership_type,purchase_center_name,purchase_center_service_id,pur_cen_type,pur_cen_city,pur_cen_state,attribution_status,attribution_date,attributed_centername,attributed_centerservice_id,payment_gateway,pg_method,method_detail,pg_charges,juspay_charges,is_ppc,gst_base_amt,gst%,gst_amt,cgst,sgst,pfgst_base,pfgst%,pfgst_amt,sellerdetails_gstinno,sellerdetails_sellerid,sellerdetails_name,invoice_no,extrachargeinvoiceid,subscription_id,purchase_token,test_flag,bill_details,Remarks
Atcenter Fitness(Elite & Pro & LUX),ELITE,4088774435,"March 31, 2026","March 1, 2026",90587981,,CUREFIT_APP,CULTPACK_LlWz5R,12 Month cultpass ELITE,"9,08,90,716",Credit,"43,380","15,099",,0,140,"15,239",,,"15,239",JUSPAY_RP,UPI,JUSPAY_RP,UPI,0,,Cult Gym Kalyani Nagar,3462,GYM,Pune,MAHARASHTRA,COCO,Cult Kalyani Nagar(Kalyani Nagar),3467,GX,Pune,MAHARASHTRA,Attributed,"April 11, 2026, 12:00 AM",Cult Gym Kalyani Nagar,3462,HDFC,UPI,Trns > 2K,0,16.76,0,"14,380",5,719,359.5,359.5,118.64,18,21.36,27AAGCC6845A1ZT,SELLER_CULT_BOM_2,CureFit Services Private Limited,0038555372,0000826373,,,,,
Atcenter Fitness(Elite & Pro & LUX),ELITE,4088526290,"March 31, 2026","March 1, 2026",83243080,,CUREFIT_APP,CULTPACK_WYaF4Z,12 Month cultpass ELITE,"9,08,88,457",Credit,"45,550","13,619","1,690",0,140,"13,759.75",,,"15,449.75",JUSPAY_RP,EMI,JUSPAY_RP,EMI,0,,Cult Hoodi,230,GX,Bangalore,Karnataka,COCO,Cult Hoodi(Mahadevpura),230,GX,Bangalore,Karnataka,Not_Yet_Attributed,,Cult Hoodi,230,PAYU,EMI Credit Card,Credit Trns,233.92,15.14,0,"12,971.19",5,648.56,324.28,324.28,118.64,18,21.36,29AAGCC6845A1ZP,SELLER_CFS_KARNATAKA,Curefit Services Private Limited,0038553443,0000824756,,,,,
Atcenter Fitness(Elite & Pro & LUX),ELITE,4089206654,"March 31, 2026","March 1, 2026",88505777,,CUREFIT_APP,CULTPACK_WYaF4Z,12 Month cultpass ELITE,"9,08,94,187",Credit,"45,550","14,614",696,0,140,"14,754.31",,,"15,450.31",JUSPAY_RP,EMI,JUSPAY_RP,EMI,0,,GK Wellness Studio,2274,GYM,Bangalore,,MARKETPLACE,GK Wellness Studio(Arekere),2274,GYM,Bangalore,,Attributed,"April 26, 2026, 12:00 AM",GK Wellness Studio,2274,PINELABS_ONLINE,EMI Credit Card,Credit Trns,,16.23,0,"13,918.39",5,695.92,347.96,347.96,118.64,18,21.36,29AAGCC5859A1ZL,SELLER_CULT_HEALTHCARE_KARNATAKA,Cultfit Healthcare Private Limited,0038558427,0000828995,,,,,
Atcenter Fitness(Elite & Pro & LUX),LUX,4088594147,"March 31, 2026","March 1, 2026",91826202,,GYMFIT_PARTNER,LUXPACK_HOM97M,12 Months SELECT PACK,"9,08,89,094",Credit,"31,981","26,000",,0,,"26,000",,,"26,000",PAYTM_POS,POS,PAYTM_POS,POS,0,,Gold's Gym (Eco World Bellandur),1676,GYM,Bangalore,,FOFO,Gold's Gym (Eco World Bellandur),1676,GYM,Bangalore,,Attributed,"March 31, 2026, 12:00 AM",Gold's Gym (Eco World Bellandur),1676,PAYTM_POS,CREDIT CARD,Credit Trns,260,,0,"24,761.9",5,"1,238.1",619.05,619.05,,,,29AAGCC6845A1ZP,SELLER_CFS_KARNATAKA,Curefit Services Private Limited,0038553994,,,,,,
Atcenter Fitness(Elite & Pro & LUX),LUX,4089068787,"March 31, 2026","March 1, 2026",94561285,,GYMFIT_PARTNER,LUXPACK_HOM97M,12 Months SELECT PACK,"9,08,93,181",Credit,"31,981","26,000",,0,,"26,000",,,"26,000",MANUAL,MANUAL,MANUAL,MANUAL,0,,Gold's Gym (Eco World Bellandur),1676,GYM,Bangalore,,FOFO,Gold's Gym (Eco World Bellandur),1676,GYM,Bangalore,,Attributed,"March 31, 2026, 12:00 AM",Gold's Gym (Eco World Bellandur),1676,CASH,CASH,CASH,,,0,"24,761.9",5,"1,238.1",619.05,619.05,,,,29AAGCC6845A1ZP,SELLER_CFS_KARNATAKA,Curefit Services Private Limited,0038557720,,,,,,
At home live sales,LIVE,4088960891,"March 31, 2026","March 1, 2026",106200290,,CUREFIT_NEW_WEBSITE,CFLIVE_2401,24 Months,,Credit,,,,0,,"2,779",,,"2,779",JUSPAY_RP,,JUSPAY_RP,,0,,,,,,,,,,,,,,,,,PINELABS_ONLINE,UPI,Trns > 2K,,3.06,0,"2,355.08",18,423.92,211.96,211.96,,,,27AAGCC6845A1ZT,SELLER_CULT_BOM_2,CureFit Services Private Limited,0038557035,,,,,,
At home live sales,LIVE,4088192539,"March 31, 2026","March 1, 2026",265755,,SUBSCRIPTION_RENEWAL,CFLIVE_IOS_1201,Yearly,,Credit,,,,0,,"1,999",,,"1,999",APPLE_IN_APP,,APPLE_IN_APP,,0,,,,,,,,,,,,,,,,,APPLE_IN_APP,APPLE_IN_APP,APPLE_IN_APP,0,,0,"1,694.07",18,304.93,,,,,,,,,,,,,,,
Atcenter Fitness(Elite & Pro & LUX),ELITE,4088809937,"March 31, 2026","March 1, 2026",100340886,,CUREFIT_APP,CULTPACK_ncU1Dg,12 Month cultpass ELITE,"9,08,91,153",Credit,"45,550","13,619","1,690",0,140,"13,759.75",,,"15,449.75",JUSPAY_RP,EMI,JUSPAY_RP,EMI,0,,Cult Gym Botanical Garden Rd,2660,GYM,Hyderabad,TELANGANA,COCO,Cult Botanical Garden Rd(Kondapur),194,GX,Hyderabad,Telangana,Attributed,"April 26, 2026, 12:00 AM",Cult Gym Botanical Garden Rd,2660,PAYU,EMI Credit Card,Credit Trns,233.92,15.14,0,"12,971.19",5,648.56,324.28,324.28,118.64,18,21.36,36AAGCC6845A1ZU,SELLER_CULT_HYD_2,Curefit Services Private Limited,0038555731,0000826707,,,,,
Atcenter Fitness(Elite & Pro & LUX),ELITE,4088772822,"March 31, 2026","March 1, 2026",106198712,,CUREFIT_APP,CULTPACK_ro7B7x,12 Month cultpass ELITE,"9,08,90,743",Credit,"58,150","18,200",,0,140,"18,340",,,"18,340",JUSPAY_RP,EMI,JUSPAY_RP,EMI,0,,Cult Gym Lajpat Nagar,2511,GYM,Gurgaon,,COCO,Cult Defence Colony(South Extension ),2513,GX,Gurgaon,DELHI,Attributed,"April 8, 2026, 12:00 AM",Cult Gym Lajpat Nagar,2511,HDFC,EMI Credit Card,HDFC,220.08,20.17,0,"17,333.33",5,866.67,433.33,433.33,118.64,18,21.36,07AAGCC6845A1ZV,SELLER_CULT_CFS_DELHI,Curefit Services Private Limited,0038555391,0000826390,,,,,
Atcenter Fitness(Elite & Pro & LUX),ELITE,4088749925,"March 31, 2026","March 1, 2026",103083880,,CUREFIT_APP,CULTPACK_WYaF4Z,12 Month cultpass ELITE,"9,08,90,683",Credit,"45,550","13,619","1,690",0,140,"13,759.75",,,"15,449.75",JUSPAY_RP,EMI,JUSPAY_RP,EMI,0,,Cult Neeladri Road ECity,1192,GX,Bangalore,Karnataka,FOFO,Cult Neeladri Road ECity(Electronic City),1192,GX,Bangalore,Karnataka,Curefit_Attributed,"April 1, 2026, 5:30 AM",cure.fit GX Bangalore,2153,HDFC,EMI Credit Card,HDFC,165.12,15.14,0,"12,971.19",5,648.56,324.28,324.28,118.64,18,21.36,29AAGCC6845A1ZP,SELLER_CFS_KARNATAKA,Curefit Services Private Limited,0038555343,0000826344,,,,,
